"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag"
"1","2019-12-16 16:56:04-03","NYBG","NYBG","00996964","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pereskia","aculeata","Pereskia aculeata","Mill.","N. P. Taylor","753","1990","12","13","South America","Brazil","Minas Gerais","Iapu","na rod. BR 458, 14 km W do acesso para a cidade.","-42.2178","-19.4367","-42.2178","-19.4367","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140592 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00996964","NY00996964",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-28 12:59:36-03","UTFPR","HCF","29886","S","Plantae",NA,NA,"Fabaceae","Dioclea","violacea","Dioclea violacea","Mart. ex Benth.","A. Pujals",NA,"2019","01","18",NA,"Brasil","MG","Iapu",NA,"-42.325","-19.257222","42°19'30 W","19°15'26 S",NA,"liana. Mata nativa.",NA,NA,"V. Ariati","2019","05","20","204","204",NA,NA
"3","2019-12-06 14:47:56-03","MBM","MBM","420906","S","Plantae",NA,NA,"Fabaceae","Dioclea","violacea","Dioclea violacea","Mart. ex Benth.","Pujals, A.; Molina, J.M.P.; Molina, J.M.P.","s.n.","2019","01","18","Southern America","Brazil","Minas Gerais","Iapu",NA,"-42.325","-19.257222","-42.325","-19.257222",NA,NA,"MBM420906",NA,"Ariati, V.","2019","05","20","204","204",NA,NA
"4","2019-10-02 14:51:46-03","UFMG","BHCB","20957","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pereskia","aculeata","Pereskia aculeata","Mill.","Taylor, NP; Zappi, DC","753","1990","12","13","Southern America","Brasil","Minas Gerais","Iapu",NA,"-42.2178001403809","-19.4367008209229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31163","auto"
"5","2019-10-02 14:51:46-03","UFMG","BHCB","20957","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pereskia","aculeata","Pereskia aculeata","Mill.","Taylor, NP; Zappi, DC","753","1990","12","13","Southern America","Brasil","Minas Gerais","Iapu",NA,"-42.2178001403809","-19.4367008209229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31163","auto"
"6","2019-10-02 15:01:11-03","UFMG","BHCB","69062","PreservedSpecimen","Plantae","Dicotyledon",NA,"Oxalidaceae","Oxalis","polymorpha","Oxalis polymorpha","Mart. & Zucc.","Mendes Magalhães","s.n.","1943","09","12","Southern America","Brasil","Minas Gerais","Iapu","Bugre.","-42.2178001403809","-19.4367008209229",NA,NA,NA,"Muito frequente.; Subarbusto de 0,40 m de altura. Flor amarela.; Mata em clareira.","BHCB008964",NA,NA,NA,NA,NA,NA,NA,"31163","auto"
"7","2019-10-02 14:51:45-03","UFMG","BHCB","20956","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","Salm-Dyck","Taylor, NP; Zappi, DC","752","1990","12","13","Southern America","Brasil","Minas Gerais","Iapu","Rodovia BR 458, 14 Km W do acesso para a cidade","-42.2178001403809","-19.4367008209229",NA,NA,NA,"Ramos mais ou menos prostrados, verde-escuros. Flores fechadas, 25cm comprimento, noturnas. Frutos verdes; Rochas graníticas à beira da estrada, com Pereskia aculeata, Talinum sp., Selaginella sp. e musgos","BHCB024553",NA,NA,"2015","05","13",NA,NA,"31163","auto"
"8","2019-12-15 13:40:49-03","UNESP-RC","HRCB","13470","S","Plantae",NA,NA,"Cactaceae","Pereskia","aculeata","Pereskia aculeata","Mill.","Taylor, N. P.","753","1990","12","13",NA,"Brasil","Minas Gerais","Iapu",NA,"-42.2178001403809","-19.4367008209229",NA,NA,NA,"Arbusto escandente, estéril",NA,NA,NA,NA,NA,NA,NA,NA,"31163","auto"
"9","2019-12-15 13:40:51-03","UNESP-RC","HRCB","13472","S","Plantae",NA,NA,"Cactaceae","Selenicereus","setaceus","Selenicereus setaceus","(Salm-Dyck) A. Berger ex Werderm.","Taylor, N. P.","752","1990","12","13",NA,"Brasil","Minas Gerais","Iapu",NA,"-42.2178001403809","-19.4367008209229",NA,NA,NA,"ramos mais ou menos prostados, verde escuros. Flores fechadas 25 cm compr., noturnas, frutos verdes",NA,NA,NA,NA,NA,NA,NA,NA,"31163","auto"
"10","2020-03-02 13:47:47-03","UFSC","FLOR","63231","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Dorstenia",NA,"Dorstenia",NA,"Fiaschi, P.; Vaio, M.; Costa, T.S.","4781","2017","02","11",NA,"Brasil","Minas Gerais","Iapu","Fragmento de mata na beira da rodovia de Iapu para Bugre.","-42.2178001403809","-19.4367008209229",NA,NA,NA,"Erva terrestre. Inflorescência ligeiramente vinácea","FLOR0063231","FLOR0063231",NA,NA,NA,NA,NA,NA,"31163","auto"
"11","2020-03-02 13:43:59-03","UFSC","FLOR","63232","PreservedSpecimen","Plantae",NA,"Malpighiales","Erythroxylaceae","Erythroxylum",NA,"Erythroxylum",NA,"Fiaschi, P.; Vaio, M.; Costa, T.S.","4782","2017","02","11",NA,"Brasil","Minas Gerais","Iapu","Fragmento de mata na beira da rodovia de Iapu para Bugre.","-42.2178001403809","-19.4367008209229",NA,NA,NA,"Arbusto delicado, ca. 1.8 m alt. Frutos passando de verdes a avermelhados","FLOR0063232","FLOR0063232",NA,NA,NA,NA,NA,NA,"31163","auto"
"12","2020-03-02 13:45:53-03","UFSC","FLOR","63230","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Piper",NA,"Piper",NA,"Fiaschi, P.; Vaio, M.; Costa, T.S.","4780","2017","02","11",NA,"Brasil","Minas Gerais","Iapu","Fragmento de mata na beira da rodovia de Iapu para Bugre.","-42.2178001403809","-19.4367008209229",NA,NA,NA,"Arvoreta comum em área em regeneração, ca. 3 m alt. Inflorescências creme. Amostra em sílica-gel","FLOR0063230","FLOR0063230",NA,NA,NA,NA,NA,NA,"31163","auto"
