"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","previousCatalogNumber","typeStatus","class","relatedCatalogItem"
"1","2019-12-16 18:36:02-03","NYBG","NYBG","556134","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","corcovadensis","blanchetii","Piper corcovadensis blanchetii","(Moric.) Callejas","R. Callejas Posada","1986","G. G. Hatschbach","48608","1984","12","04","South America","Brazil","Espírito Santo","Ibatiba","Corrego Espraiado","-41.5106","-20.2342","-41.5106","-20.2342","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407691 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00556134","NY00556134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:36:34-03","NYBG","NYBG","556839","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","lucaeanum",NA,"Piper lucaeanum","Kunth","R. Callejas Posada","1985","G. G. Hatschbach","48611","1984","12","04","South America","Brazil","Espírito Santo","Ibatiba","Corrego Sao José II","-41.5106","-20.2342","-41.5106","-20.2342","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186495 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00556839","NY00556839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 16:41:59-03","NYBG","NYBG","617210","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","longepetiolata",NA,"Schefflera longepetiolata","(Pohl ex DC.) Frodin & Fiaschi",NA,NA,"G. G. Hatschbach","46679","1983","08","03","South America","Brazil","Espírito Santo","Ibatiba","Ibatiba, 22 km L","-41.5106","-20.2342","-41.5106","-20.2342","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601525 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00617210","NY00617210","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:58:34-03","NYBG","NYBG","514544","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","laruotteana",NA,"Serjania laruotteana","Cambess.","P. Acevedo-Rodríguez",NA,"G. G. Hatschbach","49396","1985","06","11","South America","Brazil","Espírito Santo","Ibatiba","Corrego S. Joao (mun. Ibatiba).","-41.5106","-20.2342","-41.5106","-20.2342","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103893 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00514544","NY00514544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 19:04:09-03","NYBG","NYBG","00701002","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","hoehnei",NA,"Solanum hoehnei","C.V.Morton","M. H. Nee","1985","G. G. Hatschbach","46684","1983","08","03","South America","Brazil","Espírito Santo","Ibatiba","Ibatiba, 22 km L","-41.5106","-20.2342","-41.5106","-20.2342","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=838985 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00701002","NY00701002","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 16:48:50-03","NYBG","NYBG","788052","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","platypoda",NA,"Baccharis platypoda","DC.","G. G. Hatschbach","1985","G. G. Hatschbach","49395","1985","06","14","South America","Brazil","Espírito Santo","Ibatiba","Corrego S. Joao.","-41.5106","-20.2342","-41.5106","-20.2342","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=15993 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00788052","NY00788052",NA,NA,"07","01",NA,NA,NA,NA,NA,NA
"7","2019-12-16 17:19:04-03","NYBG","NYBG","2481424","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cratylia","spectabilis",NA,"Cratylia spectabilis","Tul.",NA,NA,"G. G. Hatschbach","49398","1985","06","14","South America","Brazil","Espírito Santo","Ibatiba","Corrego S. João","-41.5106010437012","-20.2339000701904",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2739936 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02481424","NY02481424",NA,NA,NA,NA,"18895","auto",NA,NA,NA,NA
"8","2019-12-16 17:50:35-03","NYBG","NYBG","564315","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lantana",NA,NA,"Lantana",NA,"R. W. Sanders","2006","G. G. Hatschbach","45156","1982","07","21","South America","Brazil","Espírito Santo","Ibatiba","Rod. BR-262","-41.5106","-20.2342","-41.5106","-20.2342","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=741785 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00564315","NY00564315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 16:58:01-03","NYBG","NYBG","00907846","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","schumanniana",NA,"Maytenus schumanniana","Loes.","L. Biral","2013","P. Fiaschi","3120","2006","07","19","South America","Brazil","Espírito Santo","Ibatiba","Ca. 22 km de Ibatiba , na estrada para Vitória. Ramal à esquerda, ca. 1,5km.","-41.34342","-20.2303","-41.34342","-20.2303","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989243 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00907846","NY00907846","1050","1050",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 18:24:22-03","NYBG","NYBG","1519467","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","paniculata",NA,"Miconia paniculata","(DC.) Naudin","R. Goldenberg","2013","P. Fiaschi","3119","2006","07","19","South America","Brazil","Espírito Santo","Ibatiba","Ca. 22 km de Ibatiba , na estrada para Vitória. Ramal à esquerda, ca. 1,5km.","-41.34342","-20.2303","-41.34342","-20.2303","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1744077 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01519467","NY01519467","1050","1050","06","27",NA,NA,NA,NA,NA,NA
"11","2019-11-04 10:45:05-03","UFRJ","RFA","19284","Preservedecimen","Plantae",NA,NA,"Cleomaceae","Cleome",NA,NA,"Cleome",NA,NA,NA,"Cézio","730","1977","07","28",NA,"Brasil","Espírito Santo","Ibatiba",NA,"-41.5106010437012","-20.2339000701904",NA,NA,NA,"Subarbusto. Flores lilás","RFA16093",NA,NA,NA,NA,NA,"18895","auto",NA,NA,NA,NA
"12","2019-10-09 11:25:40-03","UFBA","ALCB","60372","PreservedSpecimen","Plantae","Dicotyledon",NA,"Violaceae","Anchietea","pyrifolia",NA,"Anchietea pyrifolia","(Mart.) D. Don","Hatschbach, G",NA,"Hatschbach, G","45157","1982","07","21","Southern America","Brasil","Espírito Santo","Ibatiba","Rod. BR-262","-41.5106010437012","-20.2339000701904",NA,NA,NA,"flor alvacenta.; orla da mata.","ALCB043027","ALCB043027",NA,NA,NA,NA,"18895","auto",NA,NA,NA,NA
"13","2019-07-11 08:49:43-03","ESALQ","ESA","125951","S","Plantae","Magnoliophyta",NA,"Aristolochiaceae","Aristolochia","cymbifera",NA,"Aristolochia cymbifera",NA,"Saka, M.N.","1905","Lombardi, J.A.","8933","2011",NA,NA,NA,"Brasil","Espírito Santo","Ibatiba",NA,"-41.5106010437012","-20.2339000701904",NA,NA,NA,NA,"ESA125951","ESA125951",NA,NA,"07","03","18895","auto",NA,NA,NA,NA
