"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","infraspecificEpithet","typeStatus","class","individualCount","relatedCatalogItem"
"1","2019-12-16 18:13:58-03","NYBG","NYBG","407259","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","malacophylla","Pavonia malacophylla","(Link & Otto) Garcke","A. Krapovickas","1998","G. G. Hatschbach","58598","1992","10","13","South America","Brazil","Espírito Santo","Ibiraçu","Rod. BR-101, 5km S de Joao Neiva","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=221277 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00407259","NY00407259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 16:47:33-03","NYBG","NYBG","533758","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Prescottia","plantaginea","Prescottia plantaginea","Lindl.","C. A. Vargas",NA,"R. P. Belém","3829","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitoria. 45km leste de Colatina","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=279915 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00533758","NY00533758_01 NY00533758_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:37:43-03","NYBG","NYBG","376879","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Pseudananas","sagenarius","Pseudananas sagenarius",NA,"L. B. Smith","1970","R. P. Belém","3831","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitoria. 45 km leste de Colatina","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33584 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00376879","NY00376879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 17:42:06-03","NYBG","NYBG","501754","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","deflexa","Psychotria deflexa","DC.","J. H. Kirkbride Jr.","1984","G. G. Hatschbach","47703","1984","04","07","South America","Brazil","Espírito Santo","Ibiraçu","Rod. BR-101; 2 km S de Ibiraçu","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663244 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00501754","NY00501754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:58:32-03","NYBG","NYBG","821986","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","clematidifolia","Serjania clematidifolia","Cambess.","P. Acevedo-Rodríguez","2005","G. G. Hatschbach","46727","1983","08","05","South America","Brazil","Espírito Santo","Ibiraçu","Rod. Rio-Salvador","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=909047 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00821986","NY00821986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:27:46-03","NYBG","NYBG","02736607","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","radula","Tibouchina radula","Markgr.",NA,NA,"A. P. Fontana","2802","2007","02","07","South America","Brazil","Espírito Santo","Ibiraçu","Piabas, propriedade de Francisco Tófoli. Floresta Ombrófila Densa, Mata de Encosta. APA Goiapaba-açu","-40.5883334","-19.8658333","-40.5883334","-19.8658333","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3244435 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02736607","NY02736607","689","689",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 17:45:31-03","NYBG","NYBG","402981","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Adenocalymma","salmoneum","Adenocalymma salmoneum","J.C.Gomes","A. H. Gentry",NA,"R. P. Belém","3815","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitória. 45 Km leste de Colatina. Zona calcárea.","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696034 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00402981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:37:07-03","NYBG","NYBG","376302","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","capixabae","Aechmea capixabae","L.B.Sm.","L. B. Smith","1970","R. P. Belém","3830","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitoria. 45 km leste de Colatina. Zona calcárea","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282015 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00376302","NY00376302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:37:07-03","NYBG","NYBG","376303","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","capixabae","Aechmea capixabae","L.B.Sm.","L. B. Smith","1970","R. P. Belém","3830","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitoria. 45 km leste de Colatina. Zona calcárea","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282016 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00376303","NY00376303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 16:40:33-03","NYBG","NYBG","495278","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Anthurium","solitarium","Anthurium solitarium","(Vell.) Schott","T. B. Croat","1988","R. P. Belém","3833","1968",NA,NA,"South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitoria. 45 km leste de Colatina","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=622114 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00495278","NY00495278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-12-16 16:40:33-03","NYBG","NYBG","495279","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Anthurium","solitarium","Anthurium solitarium","(Vell.) Schott","T. B. Croat","1988","R. P. Belém","3833","1968",NA,NA,"South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitoria. 45 km leste de Colatina","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=622115 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00495279","NY00495279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 16:46:10-03","NYBG","NYBG","414741","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Beadlea","congesta","Beadlea congesta","(Vell.) Garay",NA,NA,"R. P. Belém","3816","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem de Rodovia Colatina-Vitória. 45 km este de Colatina","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373889 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00414741","NY00414741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-16 17:32:37-03","NYBG","NYBG","634616","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Caamembeca","grandifolia","Caamembeca grandifolia","(A.St.-Hil. & Moq.) J.F.B.Pastore","J. R. Abbott","2016","G. G. Hatschbach","46896","1983","10","16","South America","Brazil","Espírito Santo","Ibiraçu","Rod BR 101, 1 km S de Ibiraçu","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757072 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00634616","NY00634616","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-12-16 18:12:49-03","NYBG","NYBG","393858","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Callianthe","rufivela","Callianthe rufivela","Donnell & Hochr.","A. A. Donnell","2013","R. P. Belém","3818","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia. Colatina-Vitoria. 45km leste de Colatina","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=326546 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00393858","NY00393858_01 NY00393858_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-12-16 18:12:49-03","NYBG","NYBG","393907","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Callianthe","rufivela","Callianthe rufivela","Donnell & Hochr.","A. A. Donnell","2013","G. G. Hatschbach","58008","1992","10","13","South America","Brazil","Espírito Santo","Ibiraçu","Rod. BR-101, 5 km S de Joao Neiva","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171321 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00393907","NY00393907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
