"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","infraspecificEpithet","class","previousCatalogNumber","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","3426","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","amoena","Billbergia amoena","(Lodd.) Lindl.","Machado, T.M.","2010","11","30","Machado, T.M.; Forzza, R.C.; Stehmann, J.R.; Amorin, A.M.","301","2010","11","30","Brasil","Espírito Santo","Ibitirama","Rio Norte","-41.6671981811523","-20.5414009094238","41° 41'","20°26'","22282","1140","1140","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","3423","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","euphemiae","Billbergia euphemiae","E.Morren","Machado, T.M.","2010","10","24","Machado,T.M.; Stehmann, J.R.; Martins da Costa, I","182","2010","10","24","Brasil","Espírito Santo","Ibitirama","Pedra Roxa","-41.6671981811523","-20.5414009094238","41°44' 09,1","20° 23' 36,9","22282","1172","1172","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","3427","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","brownii","Neoregelia brownii","Leme","Machado, T.M.","2010","12","17","Machado, T.M.; Souza, F. S.; Gomides, S.C.","323","2010","12","17","Brasil","Espírito Santo","Ibitirama","Rio Norte","-41.6671981811523","-20.5414009094238","41°44'087","20°26' 438","22282","1176","1176","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:37:06-03","NYBG","NYBG","02610081","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","viminifolium","Piper viminifolium",NA,NA,NA,NA,NA,"D. Monteiro","618","2012","03","08","Brazil","Espírito Santo","Ibitirama","Parna do Caparaó, mata da Cachoeira do Rio Calçado, entrando pela Tecnotruta.","-41.733056","-20.467778","-41.733056","-20.467778",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916874 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY02610081","NY02610081",NA,NA,NA,NA,NA
"5","2019-12-16 17:17:38-03","NYBG","NYBG","2423267","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","nictitans","Chamaecrista nictitans","(L.) Moench",NA,NA,NA,NA,"T. B. Flores","1632","2012","10","27","Brazil","Espírito Santo","Ibitirama","Estrada entre o centro do município de Ibitirama e o vilarejo de São José","-41.66856","-20.46936","-41.66856","-20.46936",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685675 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY02423267","NY02423267",NA,NA,NA,NA,NA
"6","2019-12-16 18:26:56-03","NYBG","NYBG","2423283","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","arborea","Tibouchina arborea","(Gardner) Cogn.",NA,NA,NA,NA,"Collector unknown","1459","2012","10","23","Brazil","Espírito Santo","Ibitirama","Santa Marta-Estrada que ramifica a esquerda logo após a ponte, rumo ao alojamento do ICMBIO. Mata de Encosta.","-41.72644","-20.50742","-41.72644","-20.50742",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685697 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY02423283","NY02423283",NA,NA,NA,NA,NA
"7","2019-12-16 18:27:46-03","NYBG","NYBG","02104114","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","sebastianopolitana","Tibouchina sebastianopolitana hirsuta","Cogn.","F. S. Meyer","2014","09",NA,"L. F. Bacci","44","2014",NA,NA,"Brazil","Espírito Santo","Ibitirama","Cachoeirinha, Serra do Caparaó, Vale de Santa Marta","-41.743333","-20.49","-41.743333","-20.490000",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2624364 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY02104114","NY02104114","hirsuta",NA,NA,NA,NA
"8","2015-02-10 11:46:42-02","BM","SOLANACEAE_SOURCE_BR","96261","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","pseudoquina","Solanum pseudoquina","A.St.-Hil.","Giacomin, L.L.","2012","01","01","Giacomin, L.L.; Machado, T.M.; Souza, F.S.","1244","2011","02","10","Brazil","Espírito Santo","Ibitirama","Parque Nacional do Caparão, as margens da estrada de acesso ao alojamiento do IBAMA Santa Marta","-41.72","-20.504722","-41.72","-20.504722",NA,"858","858",NA,"arvoreta 6 m; frutos verdes; em ambiente degradado, amexo a pastagem",NA,"Southern America",NA,"BM001120465",NA,NA,"Dicotyledoneae",NA,NA,NA
"9","2015-02-10 11:46:42-02","BM","SOLANACEAE_SOURCE_BR","96261","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","pseudoquina","Solanum pseudoquina","A.St.-Hil.","Giacomin, L.L.","2012","01","01","Giacomin, L.L.; Machado, T.M.; Souza, F.S.","1244","2011","02","10","Brazil","Espírito Santo","Ibitirama","Parque Nacional do Caparão, as margens da estrada de acesso ao alojamiento do IBAMA Santa Marta","-41.72","-20.504722","-41.72","-20.504722",NA,"858","858",NA,"arvoreta 6 m; frutos verdes; em ambiente degradado, amexo a pastagem",NA,"Southern America",NA,NA,NA,NA,"Dicotyledoneae","152279",NA,NA
"10","2019-10-09 11:21:56-03","UFBA","ALCB","133391","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ochnaceae","Ouratea",NA,"Ouratea",NA,NA,NA,NA,NA,"Nadruz, M; Temponi, L; Carmelo, M; Ribeiro, R","3283","2017","11","14","Brasil","Espírito Santo","Ibitirama","Parque Nacional do Caparaó, Rio Pedra Roxa.","-41.755556","-20.396667","-41.755556","-20.396667",NA,"1056","1056",NA,"Área alterada. Lamina foliar membranácea esverdeada discolor; pedúnculo e pedicelo esverdeados, cálice esverdeado-amarelado, corola amarelado, corola amarelada, androceu alaranjado. Frquência: raro.",NA,"Southern America",NA,"ALCB053128","ALCB053128",NA,NA,NA,NA,NA
"11","2019-02-22 15:08:55-03","ESALQ","ESA","112560","S","Plantae","Magnoliophyta",NA,"Acanthaceae","Staurogyne",NA,"Staurogyne",NA,NA,NA,NA,NA,"Colletta, G.D.","502","2010","04","12","Brasil","Espírito Santo","Ibitirama",NA,"-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,NA,"auto",NA,NA,"ESA112560",NA,NA,NA,NA,NA,NA
"12","2019-07-11 10:04:29-03","ESALQ","ESA","122628","S","Plantae","Magnoliophyta",NA,"Acanthaceae","Staurogyne",NA,"Staurogyne",NA,NA,NA,NA,NA,"Flores, T.B.","1499","2012","10","24","Brasil","Espírito Santo","Ibitirama","Santa Marta - Sítio do Alemão (Claus - Diva), depois do sítio da Jacutinga.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","1168","1168",NA,"Erva, ca. 90cm de alt. Frutos amarelos","auto",NA,NA,"ESA122628",NA,NA,NA,NA,NA,NA
"13","2019-07-11 10:05:13-03","ESALQ","ESA","122773","S","Plantae","Magnoliophyta",NA,"Araliaceae","Dendropanax",NA,"Dendropanax",NA,NA,NA,NA,NA,"Flores, T.B.","1644","2012","10","28","Brasil","Espírito Santo","Ibitirama","Santa Marta #?# ao lado do alojamento do ICMBIO.","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,"Árvore, ca. 13m de alt. Flores alvas.","auto",NA,NA,"ESA122773",NA,NA,NA,NA,NA,NA
"14","2019-07-11 10:06:55-03","ESALQ","ESA","121901","S","Plantae","Magnoliophyta",NA,"Commelinaceae","Dichorisandra","hexandra","Dichorisandra hexandra",NA,"Pelegrini, M.O.O.","2013","10",NA,"Kuntz, J.","644","2012","03","23","Brasil","Espírito Santo","Ibitirama","Distrito Santa Marta. Mata do Calçado. Parque Nacional do Caparaó.","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,"Arbuto ca. 1,5 m alt., flores e frutos roxos.","auto",NA,NA,"ESA121901","ESA121901",NA,NA,NA,NA,NA
"15","2019-07-11 10:11:06-03","ESALQ","ESA","122584","S","Plantae","Magnoliophyta",NA,"Moraceae","Dorstenia",NA,"Dorstenia",NA,NA,NA,NA,NA,"Flores, T.B.","1455","2012","10","23","Brasil","Espírito Santo","Ibitirama","Santa Marta - Estrada que ramifica a esquerda logo após a ponte, rumo ao alojamento do ICMBIO. Mata de Encosta.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","920","920",NA,"Subarbusto, ca. 40cm de alt. Frutos esbranquiçados. Látex.","auto",NA,NA,"ESA122584",NA,NA,NA,NA,NA,NA
"16","2019-07-11 10:11:06-03","ESALQ","ESA","122676","S","Plantae","Magnoliophyta",NA,"Moraceae","Dorstenia",NA,"Dorstenia",NA,NA,NA,NA,NA,"Flores, T.B.","1547","2012","10","25","Brasil","Espírito Santo","Ibitirama","Santa Marta -Propriedade abandonada, depois do sítio da Jacutinga e antes do sítio do Alemão (Cláus #?# Diva) #?# Trilha atrás das ruínas da casa.","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,"Erva, ca. 80cm de alt. Frutos verdes.","auto",NA,NA,"ESA122676",NA,NA,NA,NA,NA,NA
