"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","order","imagecode","coordinatePrecision","geoFlag","typeStatus","class","dayIdentified","infraspecificEpithet"
"1","2019-11-21 14:54:02-03","UFJF","CESJ","72284","PreservedSpecimen","Plantae","Polypodiopsida","Pteridaceae","Adiantum","deflectens","Adiantum deflectens","Mart.","V.A.O. Dittrich","2015","06","V.A.O. Dittrich","2150","2015","06","06","América do Sul","Brasil","Minas Gerais","Inhapim","Margem esquerda do rio Manhuaçu, na divisa de Inhapim e Alvarenga","-41.664528","-19.475","-41.664528","-19.475","260","260","Terrícola em barranco de estrada de terra no domínio da Floresta Estacional Semidecidual, em área relativamente sombreada","CESJ072284",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:51:21-03","UFJF","CESJ","72285","PreservedSpecimen","Plantae","Polypodiopsida","Anemiaceae","Anemia","luetzelburgii","Anemia luetzelburgii","Rosenst.","V.A.O. Dittrich","2015","06","V.A.O. Dittrich","2149","2015","06","06","América do Sul","Brasil","Minas Gerais","Inhapim","Estrada de terra entre São Domingos das Dores e Alvarenga","-41.877111","-19.532056","-41.877111","-19.532056","375","375","Terrícola em barranco de estrada de terra em área relativamente iluminada no domínio da Floresta Estacional Semidecidual","CESJ072285",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-27 14:49:42-03","UCS","HUCS","50287","PreservedSpecimen","Plantae","Pteridophyta","Anemiaceae","Anemia","luetzelburgii","Anemia luetzelburgii","Rosenst.","Dittrich, V.A.O.","2015","06","Dittrich, V.A.O.","2149","2015","06","06",NA,"Brasil","Minas Gerais","Inhapim","estrada de terra entre São Domingos das Dores e Alvarenga.","-41.877222","-19.531944","-41.877222","-19.531944","375","375","DOação CESJ: 72285.; terrícola em barranco de estrada de terra em área relativamente iluminada no domínio da Floresta Estacional Semidecidual.","HUCS003853","Schizaeales","HUCS003853",NA,NA,NA,NA,NA,NA
"4","2019-12-06 15:03:16-03","MBM","MBM","14921","S","Plantae",NA,"Malvaceae","Malvastrum","tomentosum","Malvastrum tomentosum","(L.) S.R. Hill",NA,NA,NA,"Lindeman, J.; Haas, H.; Haas, H.","4562","1967","02","01","Southern America","Brazil","Minas Gerais","Inhapim","Inhapim","-42.1199989318848","-19.5492000579834",NA,NA,NA,NA,NA,"MBM014921",NA,"MBM014921","46891","auto",NA,NA,NA,NA
"5","2019-12-06 15:10:37-03","MBM","MBM","105171","S","Plantae",NA,"Nyctaginaceae","Ramisia","brasiliensis","Ramisia brasiliensis","Oliv.","Furlan, A.",NA,NA,"Furlan, A.","3",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Inhapim","6km de Inhapim, km 499 da Rod. BR-116","-42.1199989318848","-19.5492000579834",NA,NA,NA,NA,NA,"MBM105171",NA,"MBM105171","46891","auto",NA,NA,NA,NA
"6","2019-12-06 15:03:56-03","MBM","MBM","12117","S","Plantae",NA,"Malvaceae","Wissadula","amplissima","Wissadula amplissima","(L.) R.E. Fries",NA,NA,NA,"Lindeman, J.; Haas, H.; Haas, H.","4567","1967","02","01","Southern America","Brazil","Minas Gerais","Inhapim","Inhapim","-42.1199989318848","-19.5492000579834",NA,NA,NA,NA,NA,"MBM012117",NA,"MBM012117","46891","auto",NA,NA,NA,NA
"7","2019-12-06 15:02:41-03","MBM","MBM","14920","S","Plantae",NA,"Malvaceae","Abutilon","hirtum","Abutilon hirtum","(Lam.) Sweet",NA,NA,NA,"Lindeman, J.; Haas, H.; Haas, H.","4568","1967","02","01","Southern America","Brazil","Minas Gerais","Inhapim","Inhapim","-42.1199989318848","-19.5492000579834",NA,NA,NA,NA,NA,"MBM014920",NA,"MBM014920","46891","auto",NA,NA,NA,NA
"8","2020-01-07 18:14:55-03","UFMG","BHCB","131877","PreservedSpecimen","Plantae","Dicotyledon","Achariaceae","Carpotroche","brasiliensis","Carpotroche brasiliensis","(Raddi) Endl.",NA,"2009","06","Souza, DT; Almeida, TE; Cota, MMT","768","2009","05","30","Southern America","Brasil","Minas Gerais","Inhapim","Às margens do Rio Manhaçu.","-41.744444","-19.591667","-41.744444","-19.591667","225","225","Árvore, 8m. Frutos imaturos verdes.; Borda de Floresta Estacional Semidecidual. Vegetação Ciliar. Ambientes dominados por pastagens, com pequenas manchas de Vegetação Ciliar e Floresta Estacional Semidecidual.","BHCB052194",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-02 14:54:44-03","UFMG","BHCB","131864","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Swartzia",NA,"Swartzia",NA,NA,NA,NA,"Souza, DT; Almeida, TE","755","2009","05","29","Southern America","Brasil","Minas Gerais","Inhapim","Rio Manhuaçu, Às margens do rio","-41.751944","-19.596389","-41.751944","-19.596389","253","253","Arvore em borda de FESD. Frutos alaranjados, sementes pretas com arilo branco.; Ambientes dominados por pastagens com pequenas manchas de vegetação ciliar e Floresta Estacional Semidecidual","BHCB013432",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-02 15:02:29-03","UFMG","BHCB","131876","PreservedSpecimen","Plantae","Dicotyledon","Rubiaceae","Kerianthera","longiflora","Kerianthera longiflora","Zappi & C.T.Oliveira",NA,"2009","06","Souza, DT; Almeida, TE; Cota, MMT","767","2009","05","30","Southern America","Brasil","Minas Gerais","Inhapim","Vegetação ciliar ás margens do rio Manhuaçu.","-42.1199989318848","-19.5492000579834",NA,NA,"225","225","Árvore de 8 metros na borda de FESD. Frutos imaturos verdes, brácteas vermelhas.; Ambientes dominados por pastagens, com pequenas manchas de Vegetação Ciliar e Floresta Estacional Semidecidual","BHCB5407",NA,NA,"46891","auto","Paratypus",NA,NA,NA
