"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","specificEpithet","identifiedBy","scientificNameAuthorship","yearIdentified","monthIdentified","continentOcean","locality","occurrenceRemarks","dayIdentified","typeStatus","order","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem"
"1","2019-02-22 15:18:31-03","ESALQ","ESA","101248","S","Plantae","Magnoliophyta","Fabaceae","Machaerium","Machaerium","França, G.S.","650","2004","11","09","Brasil","Minas Gerais","Ipaba","-42.4193992614746","-19.4136009216309","14483","ESA101248","ESA101248","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-07-11 08:57:00-03","ESALQ","ESA","132495","S","Plantae","Magnoliophyta","Poaceae","Eremitis","Eremitis","Ferreira, F.M. et al.","2158","2009","07","10","Brasil","Minas Gerais","Ipaba","-42.4193992614746","-19.4136009216309","14483","ESA132495","ESA132495","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-07-11 08:55:12-03","ESALQ","ESA","101706","S","Plantae","Magnoliophyta","Myrtaceae","Eugenia","Eugenia melanogina","França, G.S.","626","2004","09","23","Brasil","Minas Gerais","Ipaba","-42.4193992614746","-19.4136009216309","14483","ESA101706","ESA101706","auto","melanogina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-07-11 08:54:44-03","ESALQ","ESA","101205","S","Plantae","Magnoliophyta","Meliaceae","Guarea","Guarea kunthiana","França, G.S.","640","2004","09","23","Brasil","Minas Gerais","Ipaba","-42.4193992614746","-19.4136009216309","14483","ESA101205","ESA101205","auto","kunthiana","França, G.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-07-11 08:54:44-03","ESALQ","ESA","101206","S","Plantae","Magnoliophyta","Meliaceae","Guarea","Guarea macrophylla","França, G.S.","623","2004","09","23","Brasil","Minas Gerais","Ipaba","-42.4193992614746","-19.4136009216309","14483","ESA101206","ESA101206","auto","macrophylla","França, G.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-07-11 08:54:55-03","ESALQ","ESA","101704","S","Plantae","Magnoliophyta","Moraceae","Clarisia","Clarisia ilicifolia","França, G.S.","630","2004","09","23","Brasil","Minas Gerais","Ipaba","-42.4193992614746","-19.4136009216309","14483","ESA101704","ESA101704","auto","ilicifolia","França, G.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-07-11 08:51:59-03","ESALQ","ESA","101238","S","Plantae","Magnoliophyta","Fabaceae","Acacia","Acacia mangium","França, G.S.","643","2004","10","04","Brasil","Minas Gerais","Ipaba","-42.4193992614746","-19.4136009216309","14483","ESA101238","ESA101238","auto","mangium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-07-11 08:52:27-03","ESALQ","ESA","101245","S","Plantae","Magnoliophyta","Fabaceae","Inga","Inga capitata","França, G.S.","627","2004","09","23","Brasil","Minas Gerais","Ipaba","-42.4193992614746","-19.4136009216309","14483","ESA101245","ESA101245","auto","capitata","França, G.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-07-11 08:52:28-03","ESALQ","ESA","101246","S","Plantae","Magnoliophyta","Fabaceae","Inga","Inga marginata","França, G.S.","633","2004","09","22","Brasil","Minas Gerais","Ipaba","-42.4193992614746","-19.4136009216309","14483","ESA101246","ESA101246","auto","marginata","França, G.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-07-11 08:54:44-03","ESALQ","ESA","101220","S","Plantae","Magnoliophyta","Meliaceae","Trichilia","Trichilia casaretti","França, G.S.","632","2004","09","22","Brasil","Minas Gerais","Ipaba","-42.4193992614746","-19.4136009216309","14483","ESA101220","ESA101220","auto","casaretti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
