"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","recordedBy","year","month","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","recordNumber","locality","identifiedBy","yearIdentified","monthIdentified","dayIdentified","day","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","class","individualCount","relatedCatalogItem"
"1","2019-12-16 16:52:03-03","NYBG","NYBG","01080719","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Praxelis","Praxelis","L. Riedel","1826","01","South America","Brazil","Minas Gerais","Ipanema","-41.7131","-19.8008","-41.7131","-19.8008","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1208777 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01080719","NY01080719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 16:52:35-03","NYBG","NYBG","798926","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","Stevia collina","L. Riedel","1834","02","South America","Brazil","Minas Gerais","Ipanema","-41.7131","-19.8008","-41.7131","-19.8008","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349551 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00798926","NY00798926","collina","Gardner","2081","Itú, Sorocaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 16:48:51-03","NYBG","NYBG","788242","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","Baccharis subdentata","L. Riedel","1834","03","South America","Brazil","Minas Gerais","Ipanema","-41.7131","-19.8008","-41.7131","-19.8008","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727526 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00788242","NY00788242","subdentata","DC.","2103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:02:55-03","NYBG","NYBG","1027924","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Dalechampia","Dalechampia clausseniana","C. Farney","1985","01","South America","Brazil","Minas Gerais","Ipanema","-41.7131","-19.8008","-41.7131","-19.8008","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143276 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01027924","NY01027924","clausseniana","Baill.","544","estrada Ipanema/Santana, km 14.","M. A. Nadruz Coelho","1987","03","17","17","400","400",NA,NA,NA,NA,NA,NA
"5","2020-03-04 11:48:15-03","UFRJ","RFA","Fungos 44948","Preservedecimen","Fungi",NA,NA,"Phyllostictaceae","Phyllosticta","Phyllosticta qualeae","A. Puttemans","1903",NA,NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Herbário Puttemans 717. Herbário RFA 654","RFAFungos57468",NA,"qualeae","Allesch.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26330","auto",NA,NA,NA,NA
"6","2019-11-21 14:39:55-03","UFJF","CESJ","33297","PreservedSpecimen","Plantae","Angiosperma",NA,"Moraceae","Ficus","Ficus clusiifolia","L.V. Costa","1999","09","América do Sul","Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Hábitat: margem do rio Manhuaçu. Habitus: árvore - 15m. EX: BHCB 50351","CESJ033297",NA,"clusiifolia","(Miq.) Schott ex Spreng.","s.n.","UHE - Pipoca","C.C. Berg","2001","03",NA,NA,NA,NA,"26330","auto",NA,NA,NA,NA
"7","2019-11-06 09:56:07-03","UFOP","OUPR","15533","PreservedSpecimen","Plantae",NA,NA,"Lygodiaceae","Lygodium","Lygodium venustum","Messias, M.C.T.B.","2004","06",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Trepadeira. Ruderal",NA,NA,"venustum","Sw.","898",NA,"Jascone, C.E.","2005","06","08","05",NA,NA,"26330","auto",NA,NA,NA,NA
"8","2019-11-06 09:56:59-03","UFOP","OUPR","7479","PreservedSpecimen","Plantae",NA,NA,"Phytolaccaceae","Rivina","Rivina humilis","Messias, M.C.T.B.","1996","04",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Erva. Ruderal",NA,NA,"humilis","L.","124",NA,"Messias, M.C.T.B.","1996","04","18","07",NA,NA,"26330","auto",NA,NA,NA,NA
"9","2019-11-06 09:56:59-03","UFOP","OUPR","10228","PreservedSpecimen","Plantae",NA,NA,"Phytolaccaceae","Rivina","Rivina humilis","Messias, M.C.T.B.","2001","07",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Erva, flores com pétalas brancas, frutos vermelhos quando maduros. Ruderal",NA,NA,"humilis","L.","467",NA,"Messias, M.C.T.B.","2001","07","29","29",NA,NA,"26330","auto",NA,NA,NA,NA
"10","2019-11-05 16:46:20-03","UFOP","OUPR","7454","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","Tabebuia","Messias, M.C.T.B.","1997","07",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Árvore, 15m, DAP 23cm, flores lilases, graganta da corola pilosa internamente. Cultivada.",NA,NA,NA,NA,"116",NA,NA,NA,NA,NA,"08",NA,NA,"26330","auto",NA,NA,NA,NA
"11","2019-11-05 16:46:46-03","UFOP","OUPR","18918","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","Licania tomentosa","Messias, M.C.T.B.","2004","08",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Árvore ~ 7m. flor amarelo clara. Cultivada",NA,NA,"tomentosa","(Benth.) Fritsch.","922",NA,NA,NA,NA,NA,"30",NA,NA,"26330","auto",NA,NA,NA,NA
"12","2019-11-06 09:55:39-03","UFOP","OUPR","18661","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Senna","Senna bacillaris","Messias, M.C.T.B.","1997","06",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Mata. Árvore. Flores amarelas",NA,NA,"bacillaris","(L.f.) H.S.Irwin & Barneby","196",NA,"Dutra, V.F.","2001","11","23","08",NA,NA,"26330","auto",NA,NA,NA,NA
"13","2019-11-06 09:57:53-03","UFOP","OUPR","7480","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Priva","Priva","Messias, M.C.T.B.","1996","04",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Ruderal. Erva. Flores lilases. Frutos aderem à pele de animais",NA,NA,NA,NA,"121",NA,"Messias, M.C.T.B.","1996","04","18","07",NA,NA,"26330","auto",NA,NA,NA,NA
