"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","typeStatus","minimumElevationInMeters","maximumElevationInMeters","relationshipType","relatedCatalogItem"
"1","2019-12-16 17:48:55-03","NYBG","NYBG","01919162","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Salvia","Salvia","L.","K. Mizoguchi","1491","1981","02","12","South America","Brazil","Minas Gerais","Ipatinga","Cidade Ipatinga, Usiminas Iron works. (Under joint Japanese-Brazilian management), in the outskirts of Usiminas.","-42.5367","-19.4683","-42.5367","-19.4683","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2142161 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01919162","NY01919162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:46:54-03","NYBG","NYBG","931591","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Sparattosperma","Sparattosperma",NA,"K. Mizoguchi","1486","1981","02","12","South America","Brazil","Minas Gerais","Ipatinga","Cidade Ipatinga, Usiminas Iron works (under joint Japanese-Brazilian management) in the outskirts of Usiminas.","-42.5367","-19.4683","-42.5367","-19.4683","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013920 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00931591","NY00931591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 19:15:57-03","NYBG","NYBG","821569","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Adiantum","Adiantum latifolium","Lam.","K. Mizoguchi","1498","1981","02","12","South America","Brazil","Minas Gerais","Ipatinga","Cidade Ipatinga, Usiminas Iron works. (under joint Japanese-Brazilian management) in the outskirts of Usiminas.","-42.5367","-19.4683","-42.5367","-19.4683","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=898737 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00821569","NY00821569","latifolium","J. Prado","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 17:18:13-03","NYBG","NYBG","00978602","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","Chamaecrista rotundifolia",NA,"K. Mizoguchi","1495","1981","02","12","South America","Brazil","Minas Gerais","Ipatinga","Cidade Ipatinga, Usiminas Iron works (under joint Japanese-Brazilian management) in the outskirts of Usiminas","-42.5367","-19.4683","-42.5367","-19.4683","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061198 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00978602","NY00978602","rotundifolia","R. C. Barneby","1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:15:55-03","NYBG","NYBG","00940051","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","Cuphea melvilla","Lindl.","K. Mizoguchi","1485","1981","02","12","South America","Brazil","Minas Gerais","Ipatinga","Usina Iron Works. (Under joint Japanese-Brazilian management) in the outskirts of Usiminas.","-42.5367","-19.4683","-42.5367","-19.4683","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985756 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00940051","NY00940051","melvilla","S. A. T. Graham","2002","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 19:11:41-03","NYBG","NYBG","821578","PreservedSpecimen","Plantae","Pteridophyta","Gleicheniales","Gleicheniaceae","Dicranopteris","Dicranopteris flexuosa",NA,"K. Mizoguchi","1492","1981","02","12","South America","Brazil","Minas Gerais","Ipatinga","Cidade Ipatinga, Usiminas Iron works. (Under joint Japanese-Brazilian management), in the outskirts of Usiminas.","-42.5367","-19.4683","-42.5367","-19.4683","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=898749 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00821578","NY00821578","flexuosa","J. Prado","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 19:11:41-03","NYBG","NYBG","920448","PreservedSpecimen","Plantae","Pteridophyta","Gleicheniales","Gleicheniaceae","Dicranopteris","Dicranopteris flexuosa",NA,"K. Mizoguchi","1492","1981","02","12","South America","Brazil","Minas Gerais","Ipatinga","Usiminas Iron works. (Under Japanese-Brazilian management) in the outskirts of Usiminas.","-42.5367","-19.4683","-42.5367","-19.4683","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989661 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00920448",NA,"flexuosa","J. Prado","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:03:10-03","NYBG","NYBG","1281205","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia","Lanj.","K. Mizoguchi","1504","1981","02","12","South America","Brazil","Minas Gerais","Ipatinga","Cidade Ipatinga, Usiminas Iron works. (Under joint Japanese-Brazilian management), in the outskirts of Usiminas.","-42.5367","-19.4683","-42.5367","-19.4683","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1679465 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01281205","NY01281205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 16:55:47-03","NYBG","NYBG","00837967","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","Gomphrena serrata","L.","K. Mizoguchi","1505","1981","02","12","South America","Brazil","Minas Gerais","Ipatinga","Cidade Ipatinga, Usiminas Iron works. (Under joint Japanese-Brazilian management), in the outskirts of Usiminas.","-42.5367","-19.4683","-42.5367","-19.4683","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930976 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00837967","NY00837967","serrata","M. H. Nee","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 16:54:26-03","NYBG","NYBG","00858193","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Heliotropium","Heliotropium indicum","L.","K. Mizoguchi","1502","1981","02","12","South America","Brazil","Minas Gerais","Ipatinga","Cidade Ipatinga, Usiminas Iron works in the outskirts of Usiminas.","-42.5367","-19.4683","-42.5367","-19.4683","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953719 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00858193","NY00858193","indicum","J. A. Kallunki","1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-12-16 18:51:06-03","NYBG","NYBG","00644397","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Passovia","Passovia podoptera","(Mart.) Kuijt","K. Mizoguchi","1487","1981","02","12","South America","Brazil","Minas Gerais","Ipatinga","Cidade Ipatinga, Usiminas Iron works (under joint Japanese-Brazilian management) in the outskirts of Usiminas.","-42.5367","-19.4683","-42.5367","-19.4683","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121845 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00644397","NY00644397","podoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 19:16:48-03","NYBG","NYBG","920402","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","Thelypteris",NA,"K. Mizoguchi","1497","1981","02","12","South America","Brazil","Minas Gerais","Ipatinga","Usina Iron Works. (Under joint Japanese-Brazilian management) in the outskirts of Usiminas.","-42.5367","-19.4683","-42.5367","-19.4683","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989007 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00920402","NY00920402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-16 16:52:50-03","NYBG","NYBG","908806","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Tridax","Tridax procumbens","L.","K. Mizoguchi","1500","1981","02","12","South America","Brazil","Minas Gerais","Ipatinga","Usiminas Iron works. In the outskirts of Usiminas.","-42.5367","-19.4683","-42.5367","-19.4683","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978307 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00908806","NY00908806","procumbens","M. H. Nee","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-12-16 17:32:02-03","NYBG","NYBG","1523081","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","Zornia latifolia","Sm.","K. Mizoguchi","1496","1981","02","12","South America","Brazil","Minas Gerais","Ipatinga","Cidade Ipatinga, Usiminas Iron works (under joint Japanese-Brazilian management) in the outskirts of Usiminas","-42.5367","-19.4683","-42.5367","-19.4683","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1791239 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01523081","NY01523081","latifolia","A. P. Fortuna Perez","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-07-11 10:13:56-03","ESALQ","ESA","114517","S","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","Allophylus racemosus",NA,"Coelho, R.","424","2011","03",NA,NA,"Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,"ESA114517","ESA114517","racemosus","Coelho, R.L.G.","2014",NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"16","2019-07-11 10:13:56-03","ESALQ","ESA","114518","S","Plantae","Magnoliophyta",NA,"Sapindaceae","Allophylus","Allophylus semidentatus",NA,"Coelho, R.","425","2011","03",NA,NA,"Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,"ESA114518","ESA114518","semidentatus","Coelho, R.L.G.","2014",NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
