"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","scientificName","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","specificEpithet","scientificNameAuthorship","identifiedBy","dayIdentified","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-11-21 14:41:29-03","UFJF","CESJ","68132","PreservedSpecimen","Plantae","Angiosperma","Piperaceae","Peperomia","Peperomia","2016","08","S.G. Furtado; L. Menini Neto; K. Antunes; F.R.G. Salimena; P.H. Nobre; B. Cosenza; T.H.G. Alv","356","2016","08","05","América do Sul","Brasil","Espírito Santo","Irupi","Parque Nacional do Caparaó, Floresta ciliar, Rio Pedregulho","-42.456389","-20.725833","-42.456389","-20.725833","Terrícola e saxícola. Folhas discolores, inflorescência esverdeada, frutos imaturos verdes e maduros castanhos.","CESJ068132",NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:53:40-03","UFJF","CESJ","68108","PreservedSpecimen","Plantae","Polypodiopsida","Polypodiaceae","Pleopeltis","Pleopeltis hirsutissima","2016","08","S.G. Furtado; L. Menini Neto; K. Antunes; F.R.G. Salimena; P.H. Nobre; B. Cosenza; T.H.G. Alv","332","2016","08","05","América do Sul","Brasil","Espírito Santo","Irupi","Parque Nacional do Caparaó, Floresta Estacional Semidecidual e Floresta ciliar, Rio Pedregulho","-42.456389","-20.725833","-42.456389","-20.725833","Epífita","CESJ068108","hirsutissima","(Raddi) de la Sota","S.G. Furtado",NA,NA,NA
"3","2019-11-21 14:30:49-03","UFJF","CESJ","68133","PreservedSpecimen","Plantae","Angiosperma","Araceae","Anthurium","Anthurium",NA,NA,"S.G. Furtado; L. Menini Neto; K. Antunes; F.R.G. Salimena; P.H. Nobre; B. Cosenza; T.H.G. Alv","357","2016","08","05","América do Sul","Brasil","Espírito Santo","Irupi","Parque Nacional do Caparaó, Floresta ciliar, Rio Pedregulho","-42.456389","-20.725833","-42.456389","-20.725833","Epífita. Espata verde matizada de vermelho, inflorescência verde-acastanhada, fruto imaturo verde","CESJ068133",NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:30:50-03","UFJF","CESJ","68126","PreservedSpecimen","Plantae","Angiosperma","Araceae","Anthurium","Anthurium scandens","2016","08","S.G. Furtado; L. Menini Neto; K. Antunes; F.R.G. Salimena; P.H. Nobre; B. Cosenza; T.H.G. Alv","350","2016","08","05","América do Sul","Brasil","Espírito Santo","Irupi","Parque Nacional do Caparaó, Floresta ciliar, Rio Pedregulho","-42.456389","-20.725833","-42.456389","-20.725833","Epífita. Folhas discolores, verde-escuras na face adaxial e verde-claras na abaxial, inflorescência verde-clara com frutos alvo-lilacíneos.","CESJ068126","scandens","(Aubl.) Engl.","L. Menini Neto; S.G. Furtado",NA,NA,NA
"5","2019-11-21 14:51:26-03","UFJF","CESJ","68111","PreservedSpecimen","Plantae","Polypodiopsida","Aspleniaceae","Asplenium","Asplenium",NA,NA,"S.G. Furtado; L. Menini Neto; K. Antunes; F.R.G. Salimena; P.H. Nobre; B. Cosenza; T.H.G. Alv","335","2016","08","05","América do Sul","Brasil","Espírito Santo","Irupi","Parque Nacional do Caparaó, Floresta Estacional Semidecidual e Floresta ciliar, Rio Pedregulho","-42.456389","-20.725833","-42.456389","-20.725833","Epífita","CESJ068111",NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:51:29-03","UFJF","CESJ","68124","PreservedSpecimen","Plantae","Polypodiopsida","Aspleniaceae","Asplenium","Asplenium jucundum","2019","11","S.G. Furtado; L. Menini Neto; K. Antunes; F.R.G. Salimena; P.H. Nobre; B. Cosenza; T.H.G. Alv","348","2016","08","05","América do Sul","Brasil","Espírito Santo","Irupi","Parque Nacional do Caparaó, Floresta ciliar, Rio Pedregulho","-42.456389","-20.725833","-42.456389","-20.725833","Epífita.","CESJ068124","jucundum","Fée","V.A.O. Dittrich",NA,NA,NA
"7","2019-11-21 14:40:53-03","UFJF","CESJ","68131","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Octomeria","Octomeria","2016","08","S.G. Furtado; L. Menini Neto; K. Antunes; F.R.G. Salimena; P.H. Nobre; B. Cosenza; T.H.G. Alv","355","2016","08","05","América do Sul","Brasil","Espírito Santo","Irupi","Parque Nacional do Caparaó, Floresta ciliar, Rio Pedregulho","-42.456389","-20.725833","-42.456389","-20.725833","Epífita, interior de mata. Sépalas e pétalas hialinas, labelo com base amarela pasano a vinho no ápice.","CESJ068131",NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:40:58-03","UFJF","CESJ","68106","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Pleurothallis","Pleurothallis hypnicola","2016","08","S.G. Furtado; L. Menini Neto; K. Antunes; F.R.G. Salimena; P.H. Nobre; B. Cosenza; T.H.G. Alv","330","2016","08","05","América do Sul","Brasil","Espírito Santo","Irupi","Parque Nacional do Caparaó, Floresta Estacional Semidecidual e Floresta ciliar, Rio Pedregulho","-42.456389","-20.725833","-42.456389","-20.725833","Epífita. Sétalas amarelas por vezes pintalgadas de vinho e pétalas vináceas","CESJ068106","hypnicola","Lindl.","L. Menini Neto",NA,NA,NA
"9","2019-11-21 14:33:03-03","UFJF","CESJ","68116","PreservedSpecimen","Plantae","Angiosperma","Cactaceae","Rhipsalis","Rhipsalis elliptica","2016","08","S.G. Furtado; L. Menini Neto; K. Antunes; F.R.G. Salimena; P.H. Nobre; B. Cosenza; T.H.G. Alv","340","2016","08","05","América do Sul","Brasil","Espírito Santo","Irupi","Parque Nacional do Caparaó, Floresta Estacional Semidecidual e Floresta ciliar, Rio Pedregulho","-42.456389","-20.725833","-42.456389","-20.725833","Epífita. Frutos imaturos verdes com ápice avermelhado.","CESJ068116","elliptica","G.Lindb. ex K.Schum.","D.R. Gonzaga",NA,NA,NA
"10","2019-11-21 14:33:08-03","UFJF","CESJ","68118","PreservedSpecimen","Plantae","Angiosperma","Cactaceae","Rhipsalis","Rhipsalis juengeri","2016","08","S.G. Furtado; L. Menini Neto; K. Antunes; F.R.G. Salimena; P.H. Nobre; B. Cosenza; T.H.G. Alv","342","2016","08","05","América do Sul","Brasil","Espírito Santo","Irupi","Parque Nacional do Caparaó, Floresta Estacional Semidecidual e Floresta ciliar, Rio Pedregulho","-42.456389","-20.725833","-42.456389","-20.725833","Epífita. Frutos imaturos verdes com ápice avermelhado.","CESJ068118","juengeri","Barthlott & N.P. Taylor","D.R. Gonzaga",NA,NA,NA
