"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","locality","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:53-03","FZB-BH","CVJBFZB","2563","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Anthurium","aff. sellowianum","Anthurium aff. sellowianum","Kunth","Eduardo G. Gonçalves","2011","Rubens Mota;","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","2561","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Rhodospatha","arborescens","Rhodospatha arborescens","Temponi & Croat","Eduardo G. Gonçalves","2011","Rubens Mota;","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:36:17-03","NYBG","NYBG","00957418","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Piperales","Piperaceae","Piper","fuligineum","Piper fuligineum","Kunth","T. G. Yuncker",NA,"C. A. W. Schwacke","Brazil","Minas Gerais","Itabira","-43.2267","-19.6194",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096160 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"5926","1887","10","12","South America","Rio das Velhas.","-43.2267","-19.6194","sheet","NY00957418","NY00957418",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 17:29:10-03","NYBG","NYBG","00979784","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabales","Fabaceae","Senna","multijuga","Senna multijuga lindleyana","(Gardner) H.S.Irwin & Barneby",NA,NA,"H. P. Bautista","Brazil","Minas Gerais","Santa Maria de Itabira","-43.07","-19.35",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085333 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"584","1982","05","20","South America","Folha SE.23-Z-D. Ponto 293","-43.07","-19.35","sheet","NY00979784","NY00979784","lindleyana",NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:55:41-03","NYBG","NYBG","1552036","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindales","Meliaceae","Guarea","kunthiana","Guarea kunthiana","A.Juss.",NA,NA,"A. A. da Luz","Brazil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1434171 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","125","2003","12","06","South America",NA,NA,NA,"sheet","NY01552036","NY01552036",NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 17:51:21-03","NYBG","NYBG","00956345","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Verbenaceae","Lippia","velutina","Lippia velutina","Schauer","H. N. Moldenke",NA,"G. M. Magalhaes","Brazil","Minas Gerais","Itabira","-43.2267","-19.6194",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1055365 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"4329","1943","01","30","South America","Pico do Caué.","-43.2267","-19.6194","sheet","NY00956345","NY00956345",NA,NA,NA,NA,NA,NA,NA
"7","2019-05-14 12:15:03-03","MCN-PUC-MINAS","HPUC-MG","BRI205","S","Plantae","Bryophyta",NA,NA,"Lophocoleaceae","Lophocolea","matiana","Lophocolea matiana",NA,"Dr. Denilson Fernandes Peralta",NA,"Souza, I. E.","Brasil","Minas Gerais","Itabira","-43.22","-19.618889",NA,NA,NA,NA,NA,"2003","02","07",NA,"Mata do Intelecto","43°13'12'' W","19°37'08'' S",NA,NA,NA,NA,"807","807",NA,NA,NA,NA
"8","2020-01-28 13:11:36-03","MCN-PUC-MINAS","HPUC-MG","ANG5135","S","Plantae",NA,NA,NA,"Verbenaceae","Stachytarpheta","cf. cayennensis","Stachytarpheta cf. cayennensis",NA,NA,NA,"Ludivanelem A.S","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Folhas opostas,simples. Uso medicinal: para torção do pé","auto","39",NA,NA,NA,NA,"Barro preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-01-28 13:11:14-03","MCN-PUC-MINAS","HPUC-MG","ANG5107","S","Plantae",NA,NA,NA,"Fabaceae","Melanoxylon","brauna","Melanoxylon brauna",NA,NA,NA,"JLPR","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Madeira usada para construção. Planta não espinhosa, não latescente, não urticante","auto","(143) 036",NA,NA,NA,NA,"Barro Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-03-20 11:47:15-03","MCN-PUC-MINAS","HPUC-MG","ANG955","S","Plantae",NA,NA,NA,"Lauraceae","Nectandra","rigida","Nectandra rigida",NA,NA,NA,"Inês R. de Andrade","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,NA,"auto",NA,"1988","04","01",NA,"Candidopolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
