"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","class","relationshipType","relatedCatalogItem","individualCount"
"1","2019-12-16 19:15:17-03","NYBG","NYBG","921477","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Pecluma","Pecluma","L. Emygdio de Mello Filho","3225","1972","03","11","South America","Brazil","Minas Gerais","Itabirito","Pico do Itabirito","-43.8014","-20.2533","-43.8014","-20.2533","1500","1500","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996207 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00921477","NY00921477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:34:53-03","NYBG","NYBG","00956905","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","Peperomia decora pilosa","L. Emygdio de Mello Filho","3232","1972","07","11","South America","Brazil","Minas Gerais","Itabirito","Pico do Itabirito.","-43.8014","-20.2533","-43.8014","-20.2533","1500","1500","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082943 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00956905","NY00956905","decora","pilosa","Yunck.","R. Callejas Posada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:53:46-03","NYBG","NYBG","00918224","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Phoebe","Phoebe tetragona","J. M. Pires","57929","1964","06","18","South America","Brazil","Minas Gerais","Itabirito","40 km SE de Belo Horizonte.","-43.8014","-20.2533","-43.8014","-20.2533",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989218 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00918224","NY00918224","tetragona",NA,NA,"H. H. van der Werff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 19:15:36-03","NYBG","NYBG","921450","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","Polypodium hirsutissimum","L. Emygdio de Mello Filho","3217","1972","07","11","South America","Brazil","Minas Gerais","Itabirito","Pico do Itabirito","-43.8014","-20.2533","-43.8014","-20.2533","1600","1600","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995831 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00921450","NY00921450","hirsutissimum",NA,"Raddi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:40:29-03","NYBG","NYBG","00938358","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora consanguinea","W. A. Teixeira","23290","1994","01","04","South America","Brazil","Minas Gerais","Itabirito","Pico do Itabirito. Coletada na Serra dos Inconfidentes em local periodicamente encharcado, M. B. R.","-43.8014","-20.2533","-43.8014","-20.2533",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007085 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00938358","NY00938358","consanguinea",NA,"(Kunth) Boeckeler","A. C. Araújo","2001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:40:29-03","NYBG","NYBG","00938375","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora consanguinea","J. P. Souza","257","1995","10","14","South America","Brazil","Minas Gerais","Itabirito","ca. 7 km da cidade em direção a Belo Horizonte.","-43.8014","-20.2533","-43.8014","-20.2533",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007314 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00938375","NY00938375","consanguinea",NA,"(Kunth) Boeckeler","W. W. Thomas","2001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:40:45-03","NYBG","NYBG","00938680","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora exaltata","W. A. Teixeira","25070","1994","06","10","South America","Brazil","Minas Gerais","Itabirito","Pico do Itabirito. Coletada na Serra dos Inconfidentes, M. B. R.","-43.8014","-20.2533","-43.8014","-20.2533",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010382 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00938680","NY00938680","exaltata",NA,"Kunth","W. W. Thomas","1995",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:40:46-03","NYBG","NYBG","00938777","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora globosa","W. A. Teixeira","24073","1994","05","07","South America","Brazil","Minas Gerais","Itabirito","Pico do Itabirito. Coletada em locais mais úmidos entre afloramentos de quartzito, M.B.R. Inflorescências amarelo - palha.","-43.8014","-20.2533","-43.8014","-20.2533",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=927985 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00938777","NY00938777","globosa",NA,"(Kunth) Roem. & Schult.","W. W. Thomas","1995",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:40:46-03","NYBG","NYBG","00938805","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora globosa","L. O. Williams","7384","1945","06","21","South America","Brazil","Minas Gerais","Itabirito","Pico da Cata Branca.","-43.8014","-20.2533","-43.8014","-20.2533","1300","1300","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929080 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00938805","NY00938805","globosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 18:41:02-03","NYBG","NYBG","00938922","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora patuligluma","P. L. Krieger","9686","1970","12","19","South America","Brazil","Minas Gerais","Itabirito",NA,"-43.8014","-20.2533","-43.8014","-20.2533",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933930 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00938922","NY00938922","patuligluma",NA,"Lindm.","P. J. Silva Filho","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA
