"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","infraspecificEpithet","typeStatus","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","individualCount","relatedCatalogItem"
"1","2020-03-04 15:25:13-03","UNESC","CRI","2961","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","radula","Tibouchina radula","Markgr.","A. C. Brade","A. C. Brade; et al.","1946","05","13","Brasil","Espírito Santo","Itaguaçu","Jatiboca.","-40.855833","-19.8025","40º51'21''W","19º48'9''S","CRI004493","CRI004493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:34:38-03","NYBG","NYBG","558694","PreservedSpecimen","Plantae","Piperaceae","Peperomia","alata","Peperomia alata","Ruiz & Pav.",NA,"A. C. Brade","1946","05","17","Brazil","Espírito Santo","Itaguaçu","Limoeiro; Santa Maria","-40.8556","-19.8019","-40.8556","-19.8019","NY00558694","NY00558694","Magnoliophyta","Piperales","18301","South America","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499748 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:34:52-03","NYBG","NYBG","558769","PreservedSpecimen","Plantae","Piperaceae","Peperomia","blanda","Peperomia blanda","(Jacq.) Kunth",NA,"A. C. Brade","1946","05","13","Brazil","Espírito Santo","Itaguaçu","Jatiboca","-40.884085","-19.954583","-40.884085","-19.954583","NY00558769","NY00558769","Magnoliophyta","Piperales","18193","South America","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=262939 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:34:52-03","NYBG","NYBG","558839","PreservedSpecimen","Plantae","Piperaceae","Peperomia","catharinae","Peperomia catharinae","Miq.",NA,"A. C. Brade","1946","05","15","Brazil","Espírito Santo","Itaguaçu","Jatiboca","-40.884085","-19.954583","-40.884085","-19.954583","NY00558839","NY00558839","Magnoliophyta","Piperales","18251","South America","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=51802 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:34:53-03","NYBG","NYBG","558924","PreservedSpecimen","Plantae","Piperaceae","Peperomia","corcovadensis","Peperomia corcovadensis","Gardner","T. G. Yuncker","A. C. Brade","1946","05","23","Brazil","Espírito Santo","Itaguaçu","Santa Maria","-40.8556","-19.8019","-40.8556","-19.8019","NY00558924","NY00558924","Magnoliophyta","Piperales","18398","South America","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14278 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:34:53-03","NYBG","NYBG","250350","PreservedSpecimen","Plantae","Piperaceae","Peperomia","cordigera","Peperomia cordigera pililamina","Yunck.",NA,"A. C. Brade","1946",NA,NA,"Brazil","Espírito Santo","Itaguaçu","Alto Limoneiro","-40.8556","-19.8019","-40.8556","-19.8019","NY00250350","NY00250350 NY00250350_01","Magnoliophyta","Piperales","18078","South America","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203482 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","pililamina","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:34:53-03","NYBG","NYBG","250351","PreservedSpecimen","Plantae","Piperaceae","Peperomia","cordigera","Peperomia cordigera pililamina","Yunck.",NA,"A. C. Brade","1946",NA,NA,"Brazil","Espírito Santo","Itaguaçu","Alto Limoneiro","-40.8556","-19.8019","-40.8556","-19.8019","NY00250351","NY00250351 NY00250351_01","Magnoliophyta","Piperales","18078","South America","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203483 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","pililamina","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:34:54-03","NYBG","NYBG","559151","PreservedSpecimen","Plantae","Piperaceae","Peperomia","glabella","Peperomia glabella","(Sw.) A.Dietr.",NA,"A. C. Brade","1946","05","17","Brazil","Espírito Santo","Itaguaçu","Limoeiro - Santa Maria","-40.8556","-19.8019","-40.8556","-19.8019","NY00559151","NY00559151","Magnoliophyta","Piperales","18305","South America","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=264077 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:34:54-03","NYBG","NYBG","559149","PreservedSpecimen","Plantae","Piperaceae","Peperomia","glabella","Peperomia glabella","(Sw.) A.Dietr.",NA,"A. C. Brade","1946","05","23","Brazil","Espírito Santo","Itaguaçu","Santa Maria","-40.8556","-19.8019","-40.8556","-19.8019","NY00559149","NY00559149","Magnoliophyta","Piperales","18395","South America","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=264076 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 18:34:54-03","NYBG","NYBG","559177","PreservedSpecimen","Plantae","Piperaceae","Peperomia","glabella","Peperomia glabella","(Sw.) A.Dietr.","T. G. Yuncker","A. C. Brade","1946","05","23","Brazil","Espírito Santo","Itaguaçu","Santa Maria","-40.8556","-19.8019","-40.8556","-19.8019","NY00559177","NY00559177","Magnoliophyta","Piperales","18395","South America","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=264024 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"1959",NA,NA,NA,NA,NA,NA,NA,NA,NA
