"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","individualCount","relatedCatalogItem"
"1","2019-12-16 18:10:17-03","NYBG","NYBG","1065442","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","klotzschianus","Phyllanthus klotzschianus","Müll.Arg.","I. Cordeiro","J. R. Pirani","3949","1998","01","13","South America","Brazil","Minas Gerais","Itamarandiba","Santa Joana, estrada Coluna-Itamarandiba. Carrascal a W da rodovia","-42.865","-18.2308","-42.8650","-18.2308","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1228737 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01065442","NY01065442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:58:50-03","NYBG","NYBG","1144790","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","purpurascens","Serjania purpurascens","Radlk.","M. S. Ferrucci","J. R. Pirani","3955","1998","01","13","South America","Brazil","Minas Gerais","Itamarandiba","Santa Joana, estrada Coluna-Itamarandiba. Carrascal a W da rodovia","-42.865","-18.2308","-42.8650","-18.2308","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299196 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01144790","NY01144790","2007",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:25:46-03","NYBG","NYBG","00957834","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","pogocephala","Mimosa pogocephala","Benth.","J. Santos Silva","J. R. Pirani","3953","1998","01","13","South America","Brazil","Minas Gerais","Itamarandiba","Santa Joana, estrada Coluna-Itamarandiba. Carrascal a W da rodovia","-42.865","-18.2308","-42.8650","-18.2308","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018153 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957834","NY00957834","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:06:18-03","NYBG","NYBG","00859028","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","campestris","Banisteriopsis campestris","(A.Juss.) Little","B. Gates","B. Gates","343","1976","03","06","South America","Brazil","Minas Gerais","Itamarandiba","ca 7 km NE of Itamarandiba on road from Capelinha to Itamarandiba.","-42.8589","-17.8572","-42.8589","-17.8572",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957222 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00859028","NY00859028","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 19:00:30-03","NYBG","NYBG","910937","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Brunfelsia","brasiliensis","Brunfelsia brasiliensis","(Spreng.) L.B.Sm. & Downs","M. H. Nee","R. M. Harley","CFCR6648","1984","12","01","South America","Brazil","Minas Gerais","Itamarandiba","7 km sudoeste de Itamarandiba, perto da estrada p/ Coluna. BR 120.","-42.8589","-17.8572","-42.8589","-17.8572","970","970","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989578 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00910937","NY00910937","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:55:24-03","NYBG","NYBG","00841359","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Cabralea","canjerana","Cabralea canjerana polytricha","(A.Juss.) T.D.Penn.","J. R. Pirani","B. L. Stannard","CFCR6668","1984","12","01","South America","Brazil","Minas Gerais","Itamarandiba","7 km sudoeste de Itamarandiba, perto da estrada para Coluna. BR 120.970","-42.8589","-17.8572","-42.8589","-17.8572","970","970","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=925329 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00841359","NY00841359","1985","polytricha",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 17:15:49-03","NYBG","NYBG","3821","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cassia","ixodes","Cassia ixodes","H.S.Irwin & Barneby",NA,"G. M. Magalhaes","18053","1960","07",NA,"South America","Brazil","Minas Gerais","Itamarandiba","Chapada de Itamarandiba","-42.8589","-17.8572","-42.8589","-17.8572",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33184 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00003821","NY00003821 NY00003821_01",NA,NA,"holotype",NA,NA,NA,NA,NA,NA,NA
"8","2020-03-04 11:49:09-03","UFRJ","RFA","5811","Preservedecimen","Plantae",NA,NA,"Fabaceae","Cassia",NA,"Cassia",NA,NA,"M. Magalhães","18053","1960","07",NA,NA,"Brasil","Minas Gerais","Itamarandiba","Chapada de Itamarandiba","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"arbusto de 0.50 a 1.50m, flor amarela, frequente Habito: arbusto","RFA25943",NA,NA,NA,NA,"39586","auto",NA,NA,NA,NA,NA
"9","2019-09-24 10:51:22-03","EAO","IAN","13255","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Sapium","longipes","Sapium longipes","(Müll.Arg.) Huber",NA,"Barreto, M","10010","1937","12","24","Southern America","Brasil","Minas Gerais","Itamarandiba","Fazenda Itanguá; Penha de França.","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,NA,"IAN013255",NA,NA,NA,NA,"39586","auto",NA,NA,NA,NA,NA
"10","2019-09-24 10:55:30-03","EAO","IAN","107938","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Senna","cana","Senna cana","(Nees & Mart.) H.S. Irwin & Barneby","Nascimento, EAP","Magalhães, MG","18053","1960","07",NA,"Southern America","Brasil","Minas Gerais","Itamarandiba",NA,"-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"Arbusto, 0,50-1,50m; flor amarela-frequente.","IAN107938",NA,"2011",NA,NA,"39586","auto","09","28",NA,NA,NA
