"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","monthIdentified","locality","coordinatePrecision","geoFlag","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus"
"1","2019-12-16 18:14:30-03","NYBG","NYBG","00942741","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Sida","cordifolia","Sida cordifolia","L.","A. Krapovickas","1975","Z. A. Trinta","736","1964","04","19","South America","Brazil","Minas Gerais","Itambacuri","-41.685","-18.0311","-41.6850","-18.0311","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1054825 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00942741","NY00942741",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:14:30-03","NYBG","NYBG","00942744","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Sida","cordifolia","Sida cordifolia","L.",NA,NA,"Z. A. Trinta","736","1964","04","19","South America","Brazil","Minas Gerais","Itambacuri","-41.685","-18.0311","-41.6850","-18.0311","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1054829 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00942744","NY00942744",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:14:46-03","NYBG","NYBG","00942955","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Sidastrum","micranthum","Sidastrum micranthum","(A.St.-Hil.) Fryxell",NA,NA,"Z. A. Trinta","733","1964","04","19","South America","Brazil","Minas Gerais","Itambacuri","-41.685","-18.0311","-41.6850","-18.0311","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061603 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00942955","NY00942955",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:48:39-03","NYBG","NYBG","00859423","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Ranunculaceae","Clematis","brasiliana","Clematis brasiliana","DC.","N. P. Moreno","1992","Z. A. Trinta","838","1964","04","21","South America","Brazil","Minas Gerais","Itambacuri","-41.685","-18.0311","-41.6850","-18.0311","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959257 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00859423","NY00859423","09","Itambacuri.",NA,NA,NA,NA,NA,NA,NA
"5","2019-09-24 11:05:08-03","EAO","IAN","106791","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","Pirani, JR","2009","Magalhães, MG","s.n.","1956","09","26","Southern America","Brasil","Minas Gerais","Itambacurí","-41.685001373291","-18.031099319458",NA,NA,NA,"Arbusto de 2-3m de altura. Flor. Fruto.","IAN106791",NA,NA,"3Km NE de Frei Inocêncio. Mata secular muito devastada.","58342","auto",NA,NA,NA,NA,NA
"6","2019-09-24 10:55:45-03","EAO","IAN","106679","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Cercidoideae","Bauhinia",NA,"Bauhinia","L.",NA,NA,"Magalhães, MG","17410","1958","08",NA,"Southern America","Brasil","Minas Gerais","Itambacurí","-41.685001373291","-18.031099319458",NA,NA,NA,NA,"IAN106679",NA,NA,"Buro verde. Caatinga","58342","auto",NA,NA,NA,NA,NA
"7","2019-09-24 10:44:25-03","EAO","IAN","102550","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","scorpioides","Vernonia scorpioides","(Lam.) Pers.",NA,NA,"Magalhães, MG","2872","1943","09","08","Southern America","Brasil","Minas Gerais","Itambacurí","-41.685001373291","-18.031099319458",NA,NA,NA,"Subarbusto de 1m de altura, em pequenos grupos. Flor violácea.","IAN102550",NA,NA,"Nas clareiras e orlas de mata secular. Ponte Suassuí.","58342","auto",NA,NA,NA,NA,NA
"8","2019-09-24 10:58:42-03","EAO","IAN","106678","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Helicteres","macropetala","Helicteres macropetala","A.St.-Hil.","Cristobal, CL","1981","Magalhães, MG","17409","1958","08",NA,"Southern America","Brasil","Minas Gerais","Itambacurí","-41.685001373291","-18.031099319458",NA,NA,NA,NA,"IAN106678",NA,"01","Ouro Verde. Caatinga.","58342","auto",NA,NA,NA,NA,NA
"9","2019-09-24 10:44:30-03","EAO","IAN","106669","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Begoniaceae","Begonia",NA,"Begonia",NA,NA,NA,"Magalhães, MG","17399","1958","08",NA,"Southern America","Brasil","Minas Gerais","Itambacurí","-41.685001373291","-18.031099319458",NA,NA,NA,"Herva de 0,50 a 0,60m, em grupos isolados; flor rósea-palida.","IAN106669",NA,NA,"Afloramento de rocha (caatinga dispersa).&nf;Local: Ouro Verde.","58342","auto",NA,NA,NA,NA,NA
"10","2019-09-24 11:06:02-03","EAO","IAN","104790","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum","(Mart. & Eichler) Engl.","Lima, LF","2016","Magalhães, MG","9769","1957","09",NA,"Southern America","Brasil","Minas Gerais","Itambacurí","-41.685001373291","-18.031099319458",NA,NA,NA,"Árvore de 8m de altura mais ou menos freqüênte, mais frutos; remanescente de mata secular; esparsa.","IAN104790",NA,"07","Margem do Rio Urupuca; Distrito de Hambruca. lugar úmido, em baixada.","58342","auto","21",NA,NA,NA,NA
