"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","identifiedBy","yearIdentified","recordNumber","year","month","day","continentOcean","locality","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","monthIdentified","dayIdentified","previousCatalogNumber"
"1","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2078","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Laelia","gloriosa","Laelia gloriosa","(Rchb.f.) L.O.Williams","Rubens Custódio;","Brasil","Minas Gerais","Itambé do Mato Dentro","-43.3210983276367","-19.414400100708","22479","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:41:04-03","NYBG","NYBG","00939107","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poales","Cyperaceae","Rhynchospora","rugosa","Rhynchospora rugosa","(Vahl) Gale","J. R. Stehmann","Brazil","Minas Gerais","Itambé do Mato Dentro","-43.3208","-19.4144",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951775 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"W. W. Thomas","1997","1135","1992","08","08","South America","Estrada para a Serra da Cabeça de Boi.","-43.3208","-19.4144","sheet","NY00939107","NY00939107",NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:42:10-03","NYBG","NYBG","00897768","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poales","Eriocaulaceae","Paepalanthus","candidus","Paepalanthus candidus","Silveira","N. Hensold","Brazil","Minas Gerais","Itambé do Mato Dentro","-43.3210983276367","-19.414400100708","22479",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963317 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","N. Hensold","1991","803","1982","05","11","South America","Serra do Cipó, (Sa. das Bandeirinhas), about 18 km by foot trail WNW of settlement of Serra das Alves, N. Sra. do Carmo.",NA,NA,"sheet","NY00897768","NY00897768","1300","1500",NA,NA,NA,NA,NA
"4","2019-12-16 18:42:29-03","NYBG","NYBG","00898374","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poales","Eriocaulaceae","Syngonanthus","arenarius","Syngonanthus arenarius","(Gardner) Ruhland","N. Hensold","Brazil","Minas Gerais","Itambé do Mato Dentro","-43.3210983276367","-19.414400100708","22479",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968655 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","L. R. Parra","1998","806","1982","05","11","South America","Serra do Cipó, (Sa. das Bandeirinhas), about 18 km by foot trail WNW of settlement of Serra das Alves, N. Sra. do Carmo.",NA,NA,"sheet","NY00898374","NY00898374","1300","1500",NA,NA,NA,NA,NA
"5","2019-12-16 17:03:36-03","NYBG","NYBG","00994634","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericales","Ericaceae","Gaylussacia","oleifolia","Gaylussacia oleifolia","Dunal","N. Hensold","Brazil","Minas Gerais","Itambé do Mato Dentro","-43.3210983276367","-19.414400100708","22479",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069148 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","J. W. Floyd","1999","812","1982","05","11","South America","Serra do Cipó, (Sa. das Bandeirinhas), about 18 km by foot trail WNW of settlement of Serra das Alves, N. Sra. do Carmo.",NA,NA,"sheet","NY00994634","NY00994634","1300","1500",NA,NA,NA,NA,NA
"6","2019-12-16 18:41:54-03","NYBG","NYBG","00860608","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poales","Eriocaulaceae","Leiothrix","crassifolia","Leiothrix crassifolia","Ruhland","N. Hensold","Brazil","Minas Gerais","Itambé do Mato Dentro","-43.3210983276367","-19.414400100708","22479",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959774 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","A. M. Giulietti","1982","794","1982","05","11","South America","Serra do Cipó, (Sa. das Bandeirinhas), about 18 km by foot trail WNW of settlemtn of Serra das Alves, N. Sra. do Carmo.",NA,NA,"sheet","NY00860608","NY00860608","1300","1500",NA,NA,NA,NA,NA
"7","2019-12-16 18:41:53-03","NYBG","NYBG","00898436","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poales","Eriocaulaceae","Comanthera","vernonioides","Comanthera vernonioides","(Kunth) L.R.Parra & Giul.","N. Hensold","Brazil","Minas Gerais","Itambé do Mato Dentro","-43.531","-19.456",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970525 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"L. Echternacht","2011","813","1982","05","11","South America","Serra do Cipó, (Sa. das Bandeirinhas), about 18 km by foot trail WNW of settlement of Serra das Alves, N. Sra. do Carmo.","-43.531","-19.456","sheet","NY00898436","NY00898436","1300","1500",NA,NA,NA,NA,NA
"8","2019-12-16 18:42:09-03","NYBG","NYBG","00898413","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poales","Eriocaulaceae","Paepalanthus",NA,"Paepalanthus",NA,"N. Hensold","Brazil","Minas Gerais","Itambé do Mato Dentro","-43.531","-19.456",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970396 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"818","1982","05","11","South America","Serra do Cipó, (Sa. das Bandeirinhas), about 18 km by foot trail WNW of settlement of Serra das Alves, N. Sra. do Carmo.","-43.531","-19.456","sheet","NY00898413","NY00898413","1300","1500",NA,NA,NA,NA,NA
"9","2019-12-16 18:42:28-03","NYBG","NYBG","00898113","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poales","Eriocaulaceae","Paepalanthus","senaeanus","Paepalanthus senaeanus","Ruhland","N. Hensold","Brazil","Minas Gerais","Itambé do Mato Dentro","-43.531","-19.456",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966722 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"N. Hensold","1986","815","1982","05","11","South America","Serra do Cipó, (Sa. das Bandeirinhas), about 18 km by foot trail WNW of settlement of Serra das Alves, N. Sra. do Carmo.","-43.531","-19.456","sheet","NY00898113","NY00898113","1300","1500",NA,NA,NA,NA,NA
"10","2019-12-16 18:42:27-03","NYBG","NYBG","00898074","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poales","Eriocaulaceae","Paepalanthus","nigrescens","Paepalanthus nigrescens","Silveira","N. Hensold","Brazil","Minas Gerais","Itambé do Mato Dentro","-43.531","-19.456",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966246 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"N. Hensold","1986","819","1982","05","11","South America","Serra do Cipó, (Sa. das Bandeirinhas), about 18 km by foot trail WNW of settlement of Serra das Alves, N. Sra. do Carmo.","-43.531","-19.456","sheet","NY00898074","NY00898074","1300","1500",NA,NA,NA,NA,NA
