"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","typeStatus","class","individualCount"
"1","2019-12-16 18:36:49-03","NYBG","NYBG","02422364","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","mollicomum","Piper mollicomum","Kunth","R. de Mello-Silva","1576","1999","02","14","South America","Brazil","Espírito Santo","Itarana","Estrada de terra para Jatiboca, 12 km da estrada Itarana-Santa Tereza","-40.875301361084","-19.8738994598389","23320","530","530","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2635469 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02422364","NY02422364","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:57:10-03","NYBG","NYBG","2422869","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae",NA,NA,NA,NA,"R. C. Forzza","7522","2013","04","19","South America","Brazil","Espírito Santo","Itarana","Alto Varzea Alegre, Pedra da Onça","-40.8128","-19.8958",NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2674862 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02422869","NY02422869",NA,"-40.8128","-19.8958",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:38:17-03","NYBG","NYBG","02281685","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coccocypselum","condalia","Coccocypselum condalia","Pers.","R. de Mello-Silva","1580","1999","02","14","South America","Brazil","Espírito Santo","Itarana","Jatiboca, Alto da Jatiboca, Fazenda da família Seidler","-40.875301361084","-19.8738994598389","23320","800","800","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523572 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02281685","NY02281685","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-04 14:17:01-03","UNESP-IBB","BOTU","27646","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Beadlea",NA,"Beadlea",NA,"Kollmann, L.","5693","2002","08","07",NA,"Brasil","Espírito Santo","Itarana","Jatiboca, Fazenda Stuhr","-40.875301361084","-19.8738994598389","23320",NA,NA,NA,NA,"BOTU027646",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-07-11 08:56:43-03","ESALQ","ESA","126339","S","Plantae","Magnoliophyta",NA,"Plantaginaceae","Achetaria","platychila","Achetaria platychila","(Radlk.) V.C. Souza","Oliveira, J.A.","326","2013",NA,NA,NA,"Brasil","Espírito Santo","Itarana",NA,"-40.875301361084","-19.8738994598389","23320",NA,NA,NA,NA,"ESA126339",NA,"auto",NA,NA,"Scatigna, A.V.","2015","09","15",NA,NA,NA,NA
"6","2020-02-13 14:07:50-03","MN","R","215829","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","cariacicaense","Nidularium cariacicaense","(W.Weber) Leme","T.S. Coser; V.B. Sarnaglia-Junior, M.S. Wangler","479","2011","06","08",NA,"Brasil","Espirito Santo","Itarana",NA,"-40.875301361084","-19.8738994598389","23320",NA,NA,NA,NA,"R010006381",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-13 14:06:25-03","MN","R","111326","S","Plantae",NA,NA,"Anemiaceae","Anemia","tomentosa","Anemia tomentosa var.anthriscifolia","(Schrad.) Mickel","Brade, A.C. 18436; Barbosa, A. & Duarte, A.P.",NA,"1946","05","27",NA,"Brasil","Espírito Santo","Itarana",NA,"-40.875301361084","-19.8738994598389","23320",NA,NA,NA,"Ex Jardim Botânico do Rio de Janeiro nº 56918","R010045323","R010045323","auto",NA,NA,"Mickel, J.T.","2005",NA,NA,"var.anthriscifolia",NA,NA,NA
"8","2020-02-13 14:12:00-03","MN","R","205646","S","Plantae",NA,NA,"Moraceae","Dorstenia","milaneziana","Dorstenia milaneziana","Carauta, C. Valente & Sucre","Kollmann, L.; Bausen, E. & Vervloet, R.R.","5701","2002","08","07",NA,"Brasil","Espírito Santo","Itarana","Jatiboca","-40.875301361084","-19.8738994598389","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"Vianna-Filho, M.D.M.","2006","06",NA,NA,NA,NA,NA
"9","2015-07-02 14:01:22-03","JBP","HPL","2287","S","Plantae",NA,NA,"Cannaceae","Canna","glauca","Canna glauca","L.","E.R. Salviani & H. Lorenzi","1625","2000","10","11",NA,"Brasil","ES","Itarana","Estrada para Colatina-ES.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"A. Campos-Rocha","2013","04","12",NA,NA,NA,NA
"10","2015-07-02 14:04:17-03","JBP","HPL","10116","S","Plantae",NA,NA,"Sapotaceae","Pouteria",NA,"Pouteria",NA,"J.A. Lombardi, H. Lorenzi, R. Tsuji & L. Lorenzoni","7100","2008","01","22",NA,"Brasil","ES","Itarana","Coletado na margem da estrada de terra (BR-484), sentido Afonso Cláudio/Itarana. S 19° 52'; W 40° 53' (150m.s.m.)","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-07-02 14:04:17-03","JBP","HPL","7219","S","Plantae",NA,NA,"Sapotaceae","Pouteria",NA,"Pouteria",NA,"E.R. Salviani & H. Lorenzi","1867","2000","12","20",NA,"Brasil","ES","Itarana","Coletado entre os municípios de Itarana e Colatina - em estrada de terra, a beira do caminho.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-07-02 14:02:03-03","JBP","HPL","4394","S","Plantae",NA,NA,"Fabaceae-Faboideae","Swartzia","aff. acutifolia","Swartzia aff. acutifolia","Vog.","E.R. Salviani & H. Lorenzi","1626","2000","10","11",NA,"Brasil","ES","Itarana","Coletada no caminho para Colatina a beira da estrada de chão.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"E.R. Salviani & H. Lorenzi","2000","10","11",NA,NA,NA,NA
"13","2015-07-02 14:41:56-03","JBP","HPL","524","S","Plantae",NA,NA,"Apocynaceae","Tabernaemontana","salzmannii","Tabernaemontana salzmannii","A. DC.","E.R. Salviani & H. Lorenzi","1631","2000","10","11",NA,"Brasil","ES","Itarana","Estrada Itarana-Colatina/ES.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"L. Monguilhott","2005","10","10",NA,NA,NA,NA
"14","2015-07-02 14:01:15-03","JBP","HPL","4042","S","Plantae",NA,NA,"Boraginaceae","Cordia","brasiliensis","Cordia brasiliensis","(I.M.Johnst) Gottschling & J.S. Mill","J.A. Lombardi, H. Lorenzi, R. Tsuji et al.","7098","2008","01","22",NA,"Brasil","ES","Itarana","Coletado a margem de estrada de terra (BR-484), Afonso Cláudio/Itarana, ca. S 19° 52'; W 40° 53' (150m.s.m.)","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"V.C. Souza","2013","05","10",NA,NA,NA,NA
"15","2015-07-02 14:01:16-03","JBP","HPL","3849","S","Plantae",NA,NA,"Boraginaceae","Cordia","trichoclada","Cordia trichoclada",NA,"J.A. Lombardi, H. Lorenzi, R. Tsuji & L. Lorenzoni","7097","2008","01","22",NA,"Brasil","ES","Itarana","Coletado na margem da BR-484 Serra Pelada/Sossego, ca. S 19° 52'; W 40° 53' (150m.s.m.)","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"R. Tsuji","2008","04","24",NA,NA,NA,NA
"16","2015-07-02 14:04:12-03","JBP","HPL","7523","S","Plantae",NA,NA,"Sapindaceae","Cupania","platycarpa","Cupania platycarpa",NA,"E.R. Salviani","131","1998","07","21",NA,"Brasil","ES","Itarana","Coletado de Itarana para Afonso Cláudio - no Sítio do Alemão, 700m.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"M.S. Ferrucci","2005","01","10",NA,NA,NA,NA
"17","2015-07-02 14:03:04-03","JBP","HPL","5228","S","Plantae",NA,NA,"Moraceae","Ficus","clusiifolia","Ficus clusiifolia","Summerhayes","E.R. Salviani & H. Lorenzi","1624","2000","10","11",NA,"Brasil","ES","Itarana","Coletada na estrada entre Itarana seguindo em direção a Colatina.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"E.R. Salviani & H. Lorenzi","2000","10","11",NA,NA,NA,NA
"18","2015-07-02 14:02:32-03","JBP","HPL","11183","S","Plantae",NA,NA,"Lecythidaceae","Lecythis","lurida","Lecythis lurida",NA,"H. Lorenzi","6257","2007","05","22",NA,"Brasil","ES","Itarana","Coletada na estrada para Santa Tereza em área de pastagem de terreno declivoso.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"H. Lorenzi","2007","05","22",NA,NA,NA,NA
"19","2015-07-02 14:02:41-03","JBP","HPL","4912","S","Plantae",NA,NA,"Malpighiaceae","Lophopterys","floribunda","Lophopterys floribunda","W.R. Anderson & Chas.C. Davis","E.R. Salviani & H. Lorenzi","1632","2000","10","11",NA,"Brasil","ES","Itarana","Coletada na fazenda Guandú nas proximidades de Itarana.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"M.C.H. Mamede","2007","09","10",NA,NA,NA,NA
"20","2015-07-02 14:04:14-03","JBP","HPL","7756","S","Plantae",NA,NA,"Sapindaceae","Toulicia","laevigata","Toulicia laevigata",NA,"E.R. Salviani","130","1998","07","21",NA,"Brasil","ES","Itarana","Coletado no caminho de Itarana para Afonso Cláudio (Sítio do Alemão Naimec - 700 m.s.m.).","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"M.S. Ferrucci","2005","01","10",NA,NA,NA,NA
"21","2015-07-02 14:04:14-03","JBP","HPL","7754","S","Plantae",NA,NA,"Sapindaceae","Toulicia","subsquamulata","Toulicia subsquamulata",NA,"E.R. Salviani","1844","2000","11","22",NA,"Brasil","ES","Itarana","Coletado nas proximidades do município de Itarana.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"M.S. Ferrucci","2005","01","10",NA,NA,NA,NA
"22","2015-07-02 14:04:14-03","JBP","HPL","7755","S","Plantae",NA,NA,"Sapindaceae","Toulicia","subsquamulata","Toulicia subsquamulata",NA,"E.R. Salviani","129","1998","07","21",NA,"Brasil","ES","Itarana","Coletado no caminho de Santa Tereza-Itarana.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"M.S. Ferrucci","2005","01","10",NA,NA,NA,NA
"23","2015-07-02 14:00:18-03","JBP","HPL","1052","S","Plantae",NA,NA,"Annonaceae","Xylopia","frutescens","Xylopia frutescens","Aubl.","E.R. Salviani & H. Lorenzi","1628","2000","10","11",NA,"Brasil","ES","Itarana","Estrada que liga Itarana - Colatina-ES.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"R.Tsuji","2004","08","07",NA,NA,NA,NA
"24","2020-03-10 08:29:31-03","UFV","VIC","37509","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Senegalia","tenuifolia","Senegalia tenuifolia","(L.) Britton & Rose","Terra, V.; Batista, M.L.","643","2012","05","05",NA,"Brasil","Espírito Santo","Itarana",NA,"-40.875301361084","-19.8738994598389","23320",NA,NA,NA,"Liana. Beira do rio. Florsta estacional.","VIC037509","VIC037509","auto",NA,NA,"Terra, V.","2012","05","05",NA,NA,NA,NA
"25","2019-11-21 14:47:04-03","UFJF","CESJ","71526","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Aloysia","virgata","Aloysia virgata","(Ruiz & Pavon) Adr. Juss.","P.H. Cardoso; A. Cabral; C. Nardy; M.C. Silva","39","2018","09","20","América do Sul","Brasil","Espirito Santo","Itarana","Pedra da Onça, Coordenada geográfica aproximada","-40.815556","-19.898611",NA,NA,NA,NA,"Arbusto 2,5 m alt., flores aromáticas, brácteas e cálice verde, corola branca, caduca. Coletada em beira de estrada, na subida do caminho da Pedra da Onça.","CESJ071526",NA,NA,"-40.815556","-19.898611","P.H. Cardoso","2018","10",NA,NA,NA,NA,NA
"26","2020-02-10 19:56:36-03","UFJF","CESJ","71528","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lantana","fucata","Lantana fucata","Lindl.","P.H. Cardoso; A. Cabral; C. Nardy; M.C. Silva","41","2018","09","20","América do Sul","Brasil","Espirito Santo","Itarana","Pedra da Onça, coordenadas geográficas aproximadas","-40.815556","-19.898611",NA,NA,NA,NA,"Subarbusto 50 cm alt., brácteas verdes, 2 basais maiores que as internas, corola lilás, fauce amarela, frutos maduros roxos. Encontrada em área antropizada próximo a uma capela no topo do inselbergue. Os espécimes apresentavam variações no tamanho das fo","CESJ071528",NA,NA,"-40.815556","-19.898611","P.H. Cardoso","2018","10",NA,NA,NA,NA,NA
