"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","locality","occurrenceRemarks","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","order","infraspecificEpithet","relatedCatalogItem"
"1","2019-07-11 10:14:50-03","ESALQ","ESA","66075","S","Plantae","Magnoliophyta","Violaceae","Pombalia","atropurpurea","Pombalia atropurpurea","(A.St.-Hil.) Paula-Souza","Souza, J.P.","2000","06","01","Tameirão Neto, E.","2450","1997","10","28","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","ESA066075","ESA066075","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-22 15:06:46-03","ESALQ","ESA","137372","S","Plantae",NA,"Meliaceae","Trichilia","pallida","Trichilia pallida","Sw.","T.B. Flores","2014",NA,NA,"A.A. Luz","393","2007","04","11","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","ESA137372",NA,"auto","Mariane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:27:52-03","UFV","VIC","24443","PreservedSpecimen","Plantae",NA,"Caesalpinioideae","Chamaecrista",NA,"Chamaecrista","Moench.","Garcia, F.C.P.","2000","03","14","Tameirão Neto, E.","2426","1997","07","10","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","VIC024443","VIC024443","auto","UHE Aimorés, Fazenda Adolfo Shumaker, Floresta Semidecidual.","Arbóreo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:36:55-03","UFJF","CESJ","33316","PreservedSpecimen","Plantae","Angiosperma","Fabaceae","Myroxylon","peruiferum","Myroxylon peruiferum","L.f.","E. Tameirão-Neto",NA,NA,NA,"E. Tameirão-Neto","2427","1997","07","10","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","CESJ033316",NA,"auto",NA,"Floresta Semidecidual. Arbóreo. UHE Aimorés. Fazenda Adolfo Shumaker.","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-01-10 18:17:05-03","UFJF","CESJ","72917","PreservedSpecimen","Plantae","Angiosperma","Lamiaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","D.A. Folli","2005","03","22","A.A. da Luz","278","2005","03","22","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","CESJ072917",NA,"auto","estrada Quatituba a Com. Sta. Angélica","N.v.: Tarumã preto. Capoeirão. Arbóreo, terrestre; com 5m; e 1m fuste; com CAP 20 e com o diâmetro de copa 2. Fruto preto; verde. Exsudação incolor, seiva.","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:36:48-03","UFJF","CESJ","37757","PreservedSpecimen","Plantae","Angiosperma","Fabaceae","Lonchocarpus","cultratus","Lonchocarpus cultratus","(Vell.) A.M.G.Azevedo & H.C.Lima","E. Tameirão-Neto",NA,NA,NA,"E. Tameirão-Neto","2402","1997","03","26","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","CESJ037757",NA,"auto","UHE Aimorés","Habitat: Floresta Semidecidual. Habitus: Arbóreo.","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:36:59-03","UFJF","CESJ","33315","PreservedSpecimen","Plantae","Angiosperma","Fabaceae","Platymiscium","pubescens","Platymiscium pubescens","Micheli","E. Tameirão-Neto",NA,NA,NA,"E. Tameirão-Neto","2463","1997","10","28","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","CESJ033315",NA,"auto","UHE Aimorés","Floresta Semidecidual. Arbórea.","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:36:59-03","UFJF","CESJ","37756","PreservedSpecimen","Plantae","Angiosperma","Fabaceae","Pterocarpus","rohrii","Pterocarpus rohrii","Vahl","E. Tameirão-Neto","1997",NA,NA,"E. Tameirão-Neto","2397","1997","03","26","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","CESJ037756",NA,"auto","UHE Aimorés. Fazenda Adolfo Schumaker","Floresta semidecidual. Arbórea. N.V: Pau-sangue.","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:36:59-03","UFJF","CESJ","33313","PreservedSpecimen","Plantae","Angiosperma","Fabaceae","Pterocarpus","rohrii","Pterocarpus rohrii","Vahl","E. Tameirão-Neto","1997",NA,NA,"E. Tameirão-Neto","2449","1997","10","28","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","CESJ033313",NA,"auto","UHE Aimorés. Fazenda Adolfo Schumaker","Floresta semidecidual. Arbóreo. N.V: Pau sangue.","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:36:48-03","UFJF","CESJ","33314","PreservedSpecimen","Plantae","Angiosperma","Fabaceae","Lonchocarpus","cultratus","Lonchocarpus cultratus","(Vell.) A.M.G.Azevedo & H.C.Lima","E. Tameirão-Neto",NA,NA,NA,"E. Tameirão-Neto","2457","1997","10","28","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","CESJ033314",NA,"auto","UHE Aimorés. Fazenda Adolfo Schumaker","Habitat: Floresta Semidecidual. Habitus: Arbóreo.","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-03-19 11:41:03-03","UFES","VIES","32089","S","Plantae",NA,"Fabaceae","Samanea","inopinata","Samanea inopinata","(Harms) Barneby & J.W.Grimes","Folli, D.A.","2004","09","29","Luz, A.A. da","234","2001","09","29","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","VIES032089","VIES032089","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
