"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","typeStatus","dayIdentified","infraspecificEpithet","individualCount","relatedCatalogItem"
"1","2019-12-16 16:39:42-03","NYBG","NYBG","1017051","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","badinianus","Phlegmariurus badinianus","(B.Øllg. & P.G.Windisch) B.Øllg.","W. L. Testo","2017","11","D. M. Vital","11812","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparao, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1197195 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01017051","NY01017051",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:36:00-03","NYBG","NYBG","555920","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","bowiei","Piper bowiei","Yunck.","R. Callejas Posada","1983",NA,"G. G. Hatschbach","31351","1973","02","07","South America","Brazil","Espírito Santo","Iúna","Iúna","-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=575455 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00555920","NY00555920",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:36:51-03","NYBG","NYBG","557221","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","richardiifolium","Piper richardiifolium","Kunth","R. Callejas Posada","1983",NA,"G. G. Hatschbach","31355","1973","02","07","South America","Brazil","Espírito Santo","Iúna","Iúna","-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684915 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00557221","NY00557221",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 16:37:24-03","NYBG","NYBG","02589135","PreservedSpecimen","Plantae","Bryophyta",NA,"Polytrichaceae","Pogonatum","pensilvanicum","Pogonatum pensilvanicum","(Hedw.) P.Beauv.","J. Hyvönen","1989",NA,"D. M. Vital","11747","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirão to the summit of Pico da Bandeira","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2863288 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02589135",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 19:16:31-03","NYBG","NYBG","671902","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","propinqua","Pteris propinqua","J.Agardh","A. Sehnem",NA,NA,"G. G. Hatschbach","31353","1973","02","07","South America","Brazil","Espírito Santo","Iúna","Iuna.","-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810346 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00671902","NY00671902",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 19:16:31-03","NYBG","NYBG","812714","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","splendens","Pteris splendens","Kaulf.","A. Sehnem",NA,NA,"G. G. Hatschbach","31352","1973","02","07","South America","Brazil","Espírito Santo","Iúna","Iuna.","-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807459 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00812714","NY00812714",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 16:33:31-03","NYBG","NYBG","02317041","PreservedSpecimen","Plantae","Bryophyta",NA,"Grimmiaceae","Racomitrium","crispipilum","Racomitrium crispipilum","(Taylor) A.Jaeger","H. Bednarek-Ochyra; R. Ochyra","1998",NA,"D. M. Vital","11787","1984","09","16","South America","Brazil","Espirito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02317041",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 16:33:31-03","NYBG","NYBG","02317042","PreservedSpecimen","Plantae","Bryophyta",NA,"Grimmiaceae","Racomitrium","crispipilum","Racomitrium crispipilum","(Taylor) A.Jaeger","H. Bednarek-Ochyra; R. Ochyra","1998",NA,"D. M. Vital","11766","1984","09","16","South America","Brazil","Espirito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523711 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02317042",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 16:34:07-03","NYBG","NYBG","2121397","PreservedSpecimen","Plantae","Bryophyta",NA,"Hedwigiaceae","Rhacocarpus","purpurascens","Rhacocarpus purpurascens","(Brid.) Paris",NA,NA,NA,"D. M. Vital","11770","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2280777 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02121397","NY02121397",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 19:03:01-03","NYBG","NYBG","1579485","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cladotrichum","Solanum cladotrichum","Vand. ex Dunal","J. R. Stehmann","2006",NA,"G. G. Hatschbach","31342","1973","02","07","South America","Brazil","Espírito Santo","Iúna",NA,"-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1786009 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01579485","NY01579485",NA,NA,NA,NA,NA,NA,NA,NA
