"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","minimumElevationInMeters","maximumElevationInMeters","individualCount","infraspecificEpithet","relatedCatalogItem"
"1","2019-12-16 18:48:22-03","NYBG","NYBG","00897688","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Menispermaceae","Cissampelos","Cissampelos","A. Salino","3742","1997","11","06","South America","Brazil","Minas Gerais","Jequeri","Área de inundação da Usina de Providência.","-43.4792","-20.0961","-43.4792","-20.0961","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978844 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00897688","NY00897688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:48:23-03","NYBG","NYBG","00897652","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Menispermaceae","Cissampelos","Cissampelos pareira","A. Salino","3722","1997","11","06","South America","Brazil","Minas Gerais","Jequeri","Área de inundação da Usina de Providência.","-43.4792","-20.0961","-43.4792","-20.0961","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978471 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00897652","NY00897652","pareira","L.","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-04 14:16:00-03","UNESP-IBB","BOTU","3384","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","Erythroxylum buxus","Salino, A.","3750","1997","11","19",NA,"Brasil","Minas Gerais","Jequeri","Área de inundação da Usina de Previdência.","-42.6657981872559","-20.4557991027832",NA,NA,NA,NA,"BOTU003384",NA,"buxus","Peyr.",NA,"22280","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-03 10:31:13-03","UNESP-IBB","BOTU","3437","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","Erythroxylum daphnites","Salino, A.","3529","1997","09","29",NA,"Brasil","Minas Gerais","Jequeri",NA,"-42.6657981872559","-20.4557991027832",NA,NA,NA,"Arbusto com flores esbranquiçadas","BOTU003437",NA,"daphnites","Mart.","Amaral Jr., A.","22280","auto","1998","08","25",NA,NA,NA,NA,NA,NA
"5","2020-02-04 14:16:05-03","UNESP-IBB","BOTU","3444","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","Erythroxylum subracemosum","Salino, A.","3799","1997","11","27",NA,"Brasil","Minas Gerais","Jequeri",NA,"-42.6657981872559","-20.4557991027832",NA,NA,NA,"Árvore de 6 m de altura, folhas cartáceas e discolor, frutos imaturos verde acastanhos","BOTU003444",NA,"subracemosum","Turcz.","Amaral Jr., A.","22280","auto","1998","08","25",NA,NA,NA,NA,NA,NA
"6","2019-02-22 15:24:22-03","ESALQ","ESA","69962","S","Plantae","Magnoliophyta",NA,"Moraceae","Sorocea","Sorocea guilleminiana","Salino, A.","3733","1997","11","06",NA,"Brasil","Minas Gerais","Jequeri",NA,"-42.6657981872559","-20.4557991027832",NA,NA,NA,NA,"ESA069962","ESA069962","guilleminiana","Gaudich.","Berg, C.C.","22280","auto","1999","10",NA,NA,NA,NA,NA,NA,NA
"7","2019-07-11 08:55:12-03","ESALQ","ESA","61759","S","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","Eugenia florida","Salino, A.","3485","1997","09","27",NA,"Brasil","Minas Gerais","Jequeri",NA,"-42.6657981872559","-20.4557991027832",NA,NA,NA,NA,"ESA061759",NA,"florida",NA,NA,"22280","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-07-11 08:53:44-03","ESALQ","ESA","76897","S","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","Byrsonima sericea","Salino, A.","3797","1997","11","27",NA,"Brasil","Minas Gerais","Jequeri",NA,"-42.6657981872559","-20.4557991027832",NA,NA,NA,NA,"ESA076897",NA,"sericea","DC.","Anderson, W.R.","22280","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-07-11 08:53:44-03","ESALQ","ESA","76896","S","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","Byrsonima sericea","Salino, A.","3748","1997","11","19",NA,"Brasil","Minas Gerais","Jequeri",NA,"-42.6657981872559","-20.4557991027832",NA,NA,NA,NA,"ESA076896",NA,"sericea","DC.","Anderson, W.R.","22280","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-02-22 15:19:03-03","ESALQ","ESA","48518","S","Plantae","Magnoliophyta",NA,"Fabaceae","Pseudopiptadenia","Pseudopiptadenia","Salino, A.","3478","1997","09","27",NA,"Brasil","Minas Gerais","Jequeri",NA,"-42.6657981872559","-20.4557991027832",NA,NA,NA,NA,"ESA048518","ESA048518",NA,NA,NA,"22280","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
