"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","identifiedBy","yearIdentified","monthIdentified","recordNumber","year","month","day","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","dayIdentified","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2134","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Brasiliorchis","marginata","Brasiliorchis marginata","(Lindl.) R.B.Singer et al.","Eugenio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2149","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Brasiliorchis","marginata","Brasiliorchis marginata","(Lindl.) R.B.Singer et al.","Eugenio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2154","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Epidendrum","cf. nocturnum","Epidendrum cf. nocturnum","Jacq.","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197",NA,"254","auto","Rubens Custódio Mota","2008","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2147","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Erycina","pumilio","Erycina pumilio","(Rchb.f.) N.H.Williams & M.W.Chase","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2142","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Erycina","pumilio","Erycina pumilio","(Rchb.f.) N.H.Williams & M.W.Chase","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2153","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Heterotaxis","valenzuelana","Heterotaxis valenzuelana","(A.Rich.) Ojeda & Carnevali.","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","1","254","auto","Rubens Custódio Mota","2008","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2118","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Laelia","gloriosa","Laelia gloriosa","(Rchb.f.) L.O.Williams","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2146","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Leptotes","bicolor","Leptotes bicolor","Lindl.","Eugenio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2141","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Octomeria","sp.","Octomeria sp.","Lindl.","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2139","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Schombocattleya","y calimaniana","Schombocattleya y calimaniana","L.C.Menezes","Eugênio Tameirão;","Brasil","Minas Gerais","Joanesia","Usina Porto Estrela","-42.6786003112793","-19.1721992492676","21197","2","254","auto","Carlos Alberto Ferreira Júnior","2016","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
