"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class"
"1","2019-12-16 18:54:50-03","NYBG","NYBG","984865","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","spruceanum","Protium spruceanum","(Benth.) Engl.","D. C. Daly","1996","P. Pequeno","54","1989","09","14","South America","Brazil","Minas Gerais","João Monlevade","Rio Piracicaba.","-43.1733","-19.81","-43.1733","-19.8100","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1053390 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00984865","NY00984865",NA,NA,NA,NA,NA,NA,NA
"2","2019-07-11 10:14:32-03","ESALQ","ESA","33865","S","Plantae","Magnoliophyta",NA,"Trigoniaceae","Trigonia",NA,"Trigonia",NA,NA,NA,"Pequeno, P.H.A. et al.","47","1989","09","14",NA,"Brasil","Minas Gerais","João Monlevade",NA,"-43.1735992431641","-19.8099994659424",NA,NA,NA,NA,"ESA033865",NA,"9985","auto",NA,NA,NA,NA,NA
"3","2020-03-10 08:29:12-03","UFV","VIC","37779","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Albizia",NA,"Albizia",NA,"Batista, M.L.","2012","Batista, M.L.; Vieira, D.M.","s.n.","2012","09","06",NA,"Brasil","Minas Gerais","João Monlevade","Estrada de terra às margens do rio Santa Bárbara.","-43.131944","-19.775278","-43.131944","-19.775278",NA,"Árvore, c.a. de 9,0 metros de altura, com frutos.","VIC037779",NA,NA,NA,"09","06",NA,NA,NA
"4","2020-03-10 08:29:24-03","UFV","VIC","37791","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Mimosa","bimucronata","Mimosa bimucronata","(DC.) Kuntze","Batista, M.L.","2012","Batista, M.L.; Vieira, D.M.","s.n.","2012","09","06",NA,"Brasil","Minas Gerais","João Monlevade","Estrada para Itabira","-43.133889","-19.804722","-43.133889","-19.804722",NA,"Árvore 4,5m alt., com frutos e acúleos nos ramos e tronco.","VIC037791",NA,NA,NA,"09","06",NA,NA,NA
"5","2020-03-10 08:28:29-03","UFV","VIC","38756","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.",NA,NA,"Vieira, G.T.","s.n.","2013",NA,NA,NA,"Brasil","Minas Gerais","João Monlevade","Embaúbas tênis clube, Próximo ao hospital Margarida, Mata atlântica.","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Árvore, 10 metros.","VIC038756","VIC038756","9985","auto",NA,NA,NA,NA,NA
"6","2020-03-10 08:31:01-03","UFV","VIC","021470","PreservedSpecimen","Plantae",NA,NA,"Vitaceae","Vitis","vinifera","Vitis vinifera","L.",NA,NA,"Silveira, W.J.","s.n.","2007","10",NA,NA,"Brasil","Minas Gerais","João Monlevade","Rua Juscelino Kubitschek 180","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Folhas verdes, em frutificação, baga vinácea.","VIC021470","VIC021470","9985","auto",NA,NA,NA,NA,NA
"7","2016-07-12 11:11:18-03","FFCLRP","LBMBP","944","S","Plantae",NA,NA,"Orchidaceae","Catasetum","hookeri","Catasetum hookeri","Lindl.","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","João Monlevade",NA,"-43.166667","-19.8","43°10'W","19°48'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-07-12 11:11:18-03","FFCLRP","LBMBP","945","S","Plantae",NA,NA,"Orchidaceae","Catasetum","hookeri","Catasetum hookeri","Lindl.","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","João Monlevade",NA,"-43.166667","-19.8","43°10'W","19°48'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:28:05-03","UNICAMP","UEC","62879","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Callisthene","major","Callisthene major","Mart.","Shimizu, GH","2014","Pequeno, PHA; et al.","48","1989","09","14",NA,"Brazil","Minas Gerais","João Monlevade",NA,"-43.1735992431641","-19.8099994659424",NA,NA,NA,"Herbáceo. Flor perfumada. Polinização por abelha.; Mata Atlântica- Mata doçada e pesca.","UEC072601",NA,"9985","auto","06",NA,NA,NA,NA
"10","2019-08-20 10:08:09-03","UNICAMP","UEC","65520","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Stizophyllum","perforatum","Stizophyllum perforatum","(Cham.) Miers","Zuntini, AR",NA,"Pequeno, PHA","58","1989","09","14",NA,"Brazil","Minas Gerais","João Monlevade",NA,"-43.1735992431641","-19.8099994659424",NA,NA,NA,"flor, Liana. Mata Atlântica.","UEC100509","UEC100509","9985","auto",NA,NA,NA,NA,NA
"11","2019-08-20 10:08:04-03","UNICAMP","UEC","66078","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Mansoa",NA,"Mansoa",NA,NA,NA,"Pequeno, PHA","78","1989","09","14",NA,"Brazil","Minas Gerais","João Monlevade",NA,"-43.1735992431641","-19.8099994659424",NA,NA,NA,"flor, Hábito herbáceo. Mata Atlântica.","UEC100728","UEC100728","9985","auto",NA,NA,NA,NA,NA
