"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","phylum","continentOcean","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","order","imagecode","infraspecificEpithet","typeStatus","class"
"1","2020-02-13 14:07:50-03","MN","R","215806","S","Plantae","Bromeliaceae","Alcantarea","extensa","Alcantarea extensa","(L.B.Sm.) J.R.Grant","T.S. Coser; Coser, N.","536","2012","01","23","Brasil","Espirito Santo","João Neiva","Monte Negro","-40.3836068976671","-19.7850538697094","-40.3836068976671","-19.7850538697094","R010004451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-13 14:07:50-03","MN","R","215808","S","Plantae","Bromeliaceae","Aechmea","orlandiana","Aechmea orlandiana","L.B. Sm.","Coser, T.S.; Coser, N.","547","2012","01","26","Brasil","Espírito Santo","João Neiva",NA,"-40.3856010437012","-19.7574996948242",NA,NA,"R010003467","16286","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-13 14:07:50-03","MN","R","215807","S","Plantae","Bromeliaceae","Aechmea","purpureorosea","Aechmea purpureorosea","Wawra","T.S. Coser; N. Coser","538","2012","01","23","Brasil","Espirito Santo","João Neiva",NA,"-40.3856010437012","-19.7574996948242",NA,NA,"R010002944","16286","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-13 14:07:50-03","MN","R","215805","S","Plantae","Bromeliaceae","Alcantarea","extensa","Alcantarea extensa","(L.B.Sm.) J.R.Grant","Coser, T.S.; Coser, N.","534","2012","01","23","Brasil","Espírito Santo","João Neiva",NA,"-40.3856010437012","-19.7574996948242",NA,NA,"R010004418","16286","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-13 14:07:50-03","MN","R","215795","S","Plantae","Bromeliaceae","Aechmea","purpureorosea","Aechmea purpureorosea","Wawra","Coser, T.S.; Coser, N.","541","2012","01","23","Brasil","Espírito Santo","João Neiva",NA,"-40.3856010437012","-19.7574996948242",NA,NA,"R010004137","16286","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:04:17-03","JBP","HPL","6929","S","Plantae","Sapotaceae","Pouteria","bullata","Pouteria bullata",NA,"R. Tsuji & H. Lorenzi et al.","1506","2007","01","24","Brasil","ES","João Neiva","Coletado na BR101 8,4km do trevo de Colatina, 19°42'13,4''S; 40°19'24,7''W.","-40.3856","-19.7575",NA,NA,NA,"16286","auto","R. Tsuji & H. Lorenzi et al.","2007","01","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:04:17-03","JBP","HPL","7233","S","Plantae","Sapotaceae","Pouteria","bullata","Pouteria bullata",NA,"E.R. Salviani","127","1998","07","21","Brasil","ES","João Neiva","Coletado nas proximidades do município de João Neiva - onde existiam mais umas 2 plantas.","-40.3856","-19.7575",NA,NA,NA,"16286","auto","E.R. Salviani","1998","07","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-07-02 14:04:17-03","JBP","HPL","6930","S","Plantae","Sapotaceae","Pouteria","pachycalyx","Pouteria pachycalyx",NA,"R. Tsuji & H. Lorenzi et al.","1507","2007","01","24","Brasil","ES","João Neiva","Coletado na BR101 8,4km do trevo de Colatina, 19°42'13,4''S; 40°19'24,7''W.","-40.3856","-19.7575",NA,NA,NA,"16286","auto","R. Tsuji & H. Lorenzi et al.","2007","01","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-01-10 18:17:05-03","UFJF","CESJ","72944","PreservedSpecimen","Plantae","Verbenaceae","Lantana","camara","Lantana camara","L.","R. Reis","47","2005","07","07","Brasil","Espirito Santo","João Neiva","linha 1, Km 85+900","-40.3856010437012","-19.7574996948242",NA,NA,"CESJ072944","16286","auto",NA,NA,NA,NA,"Angiosperma","América do Sul","N.v.: Mal-me-quer amarelo. Macega. Arbustivo, terrestre.",NA,NA,NA,NA,NA,NA,NA
"10","2019-11-19 14:06:53-03","UFRPE","PEUFR","52799","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","ficifolia","Dalechampia ficifolia","Lam.","L. Kollmann; A. P. Fontana; K. A. Brahim","10064","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.3856010437012","-19.7574996948242",NA,NA,"PEUFR052799","16286","auto","R. A. Pereira-Silva","2016","12","01",NA,NA,"Planta 2m no sol; brácteas e flores verdes, pétalas esbranquiçadas.","355","355",NA,NA,NA,NA,NA
