"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag","phylum","minimumElevationInMeters","maximumElevationInMeters","continentOcean","order","typeStatus"
"1","2020-03-10 08:29:17-03","UFV","VIC","37770","PreservedSpecimen","Plantae","Mimosoideae","Inga","edulis","Inga edulis","(Vell.) Mart.","Batista, M.L.","2011","12","10","Batista, M.L.; Vieira, D.M.","s.n.","2011","12","10","Brasil","Minas Gerais","Lajinha","Estrada de terra.","-41.659167","-20.131111","-41.659167","-20.131111","Árvore, c.a. de 5,5 metros de altura, com flores.","VIC037770",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:26:36-03","UFV","VIC","23232","PreservedSpecimen","Plantae","Acanthaceae","Thunbergia","alata","Thunbergia alata","Bojer ex Sims","Braz, D.M.","1999","04","13","Souza, I.D. de","s.n.","1999","03","04","Brasil","Minas Gerais","Lajinha","Fazenda Lagoa Azul, Estrada para o Córrego Rico, em frente à casa sede da Fazenda Lagoa Azul.","-41.6227989196777","-20.1513996124268",NA,NA,"Pétala (limbo laranja e unha roxa), trepadeira, epífita, rara no local. Trabalho prático de BVE 230.","VIC023232","21962","VIC023232","auto",NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:08:42-03","UNICAMP","UEC","202556","S","Plantae","Cactaceae","Coleocephalocereus","diersianus","Coleocephalocereus diersianus","P.J.Braun & Esteves","Olsthoorn, G","2018","10","30","Olsthoorn, G; Alencar, LD","GO811","2018","10","30","Brazil","Minas Gerais","Lajinha","Saída da cidade de Lajinha para Durandé","-41.636667","-20.136944","-41.636667","-20.136944","Cacto colunar, com aproximadamente 1 metro de altura ramificado na base, cephalio de espinhos pretos, flores brancas e noturnas; Afloramento de granito ao lado esquerdo do rio","UEC190712",NA,"UEC190712 UEC190712_v01 UEC190712_v02",NA,"Magnoliopsida","519","519",NA,NA,NA
"4","2019-12-06 15:01:38-03","MBM","MBM","64725","S","Plantae","Malpighiaceae","Banisteriopsis","membranifolia","Banisteriopsis membranifolia","(A. Juss.) B. Gates","Gates, B.",NA,NA,NA,"Anderson, W.R.","11732",NA,NA,NA,"Brazil","Minas Gerais","Lajinha","13km north of Lajinha","-41.6227989196777","-20.1513996124268",NA,NA,NA,"MBM064725","21962","MBM064725","auto",NA,NA,NA,"Southern America",NA,NA
"5","2019-01-21 14:35:42-02","JBB","HEPH","21308","S","Plantae","Amaryllidaceae",NA,NA,NA,NA,"Salles, AEH",NA,NA,NA,"Salles, AEH","3509","2004","11","27","Brasil","Minas Gerais","Lajinha",NA,"-41.6227989196777","-20.1513996124268",NA,NA,"Erva",NA,"21962",NA,"auto","Monocotyledon",NA,NA,"Southern America","Asparagales",NA
"6","2018-08-17 11:59:08-03","JBB","HEPH","21320","S","Plantae","Orchidaceae","Cyrtopodium","andersonii","Cyrtopodium andersonii","(Lamb. ex Andrews) R.Br.","Salles, AEH","2005","07",NA,"Salles, AEH; Moreira, KRS; Azevedo, INC de; Oliveira, MS; Carvalho, FJ de; Jesus, FPR de","3521","2004","11","27","Brasil","Minas Gerais","Lajinha","Estrada de acesso ao Município","-41.6227989196777","-20.1513996124268",NA,NA,"Erva . Planta com pétalas e sépalas amarelo-esverdeado e labelo com colo amarelo e duas pintas late",NA,"21962",NA,"auto","Monocotyledon",NA,NA,"Southern America","Asparagales",NA
"7","2018-08-17 11:59:08-03","JBB","HEPH","21319","S","Plantae","Orchidaceae","Cyrtopodium","andersonii","Cyrtopodium andersonii","(Lamb. ex Andrews) R.Br.","Salles, AEH","2004","11","27","Salles, AEH; Moreira, KRS; Azevedo, INC de; Oliveira, MS; Jesus, FPR de; Carvalho, FJ de","3520A,B","2004","11","27","Brasil","Minas Gerais","Lajinha","Estrada de acesso ao Município","-41.6227989196777","-20.1513996124268",NA,NA,"Erva . Planta haste floral de aproximadamente 1m e com flor amarelo-esverdeada, sépalas e pétals ama",NA,"21962",NA,"auto","Monocotyledon",NA,NA,"Southern America","Asparagales",NA
"8","2018-08-17 11:59:08-03","JBB","HEPH","21319","S","Plantae","Orchidaceae","Cyrtopodium","andersonii","Cyrtopodium andersonii","(Lamb. ex Andrews) R.Br.","Salles, AEH","2004","11","27","Salles, AEH; Moreira, KRS; Azevedo, INC de; Oliveira, MS; Carvalho, FJ de; Jesus, FPR de","3520","2004","11","27","Brasil","Minas Gerais","Lajinha","Estrada de acesso ao Município","-41.6227989196777","-20.1513996124268",NA,NA,"Erva . Planta haste floral de aproximadamente 1m e com flor amarelo-esverdeado, pétalas e sépalas a",NA,"21962",NA,"auto","Monocotyledon",NA,NA,"Southern America","Asparagales",NA
"9","2018-08-17 11:59:08-03","JBB","HEPH","21311","S","Plantae","Orchidaceae","Cyrtopodium","andersonii","Cyrtopodium andersonii","(Lamb. ex Andrews) R.Br.","Salles, AEH","2005","07",NA,"Salles, AEH; Moreira, KRS; Azevedo, INC de; Oliveira, MS; Carvalho, FJ de; Jesus, FPR de","3512A,B","2004","11","27","Brasil","Minas Gerais","Lajinha","Estrada de acesso ao Município","-41.6227989196777","-20.1513996124268",NA,NA,"Erva rupícola. Flor amarela; Solo rochoso",NA,"21962",NA,"auto","Monocotyledon",NA,NA,"Southern America","Asparagales",NA
"10","2019-10-02 15:05:20-03","UFMG","BHCB","52470","PreservedSpecimen","Plantae","Vochysiaceae","Qualea",NA,"Qualea","Aubl.",NA,NA,NA,NA,"Costa, LV","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Lajinha","PCH São Romão. Cachoeira São Romão.","-41.6227989196777","-20.1513996124268",NA,NA,NA,NA,"21962",NA,"auto","Dicotyledon",NA,NA,"Southern America",NA,NA
