"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","day","barcode","locality","imagecode","dayIdentified","continentOcean","infraspecificEpithet","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","49","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","euphemiae","Billbergia euphemiae","E.Morren","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Roberto Menescal; R. Bello; R. A. Kautsky","1985","07","Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-13 14:07:50-03","MN","R","215825","S","Plantae",NA,NA,"Bromeliaceae","Billbergia","horrida","Billbergia horrida","Regel",NA,NA,NA,"T.S. Coser; V.B. Sarnaglia-Junior","2011","06","Brasil","Espirito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","485","09","R010004956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:30:51-03","UFV","VIC","42482","PreservedSpecimen","Plantae",NA,NA,"Stachybotriaceae","Myrothecium","roridum","Myrothecium roridum","Tode",NA,NA,NA,"Costa, Hélcio","2013","11","Brasil","Espirito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,"Coffea canephora Pierre ex A.Froehner","auto","DOA 881","18","VIC042482","Laranja da Terra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-27 10:24:56-03","UFES","VIES","32084","S","Plantae",NA,NA,"Fabaceae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip ex Record","A.P. Chagas","2015",NA,"Folli, D.A.","1991","12","Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","1531","15","VIES032084",NA,"VIES032084",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-09-27 18:06:05-03","UFES","VIES","38207","S","Plantae",NA,NA,"Portulacaceae","Portulaca","oleracea","Portulaca oleracea","L.","Moura, R.","2015","10","Julkoski, D.","2014","11","Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","367","17","VIES038207",NA,"VIES038207","29",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-27 10:23:59-03","UFES","VIES","9109","S","Plantae",NA,NA,"Araceae","Anthurium","coriaceum","Anthurium coriaceum","(Graham) G.Don","Valadares, R.T.",NA,NA,"Sarnaglia Júnior, V.B.","2011","08","Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","412","27","VIES009109","Cinco Pontões.","VIES009109",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-09-27 18:03:40-03","UFES","VIES","9110","S","Plantae",NA,NA,"Araceae","Anthurium","viridispathum","Anthurium viridispathum","E.G.Gonç.","R.T. Valadares","2018","02","Sarnaglia Júnior, V.B.","2011","08","Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","413","27","VIES009110","Cinco Pontões.","VIES009110","09",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-27 10:23:59-03","UFES","VIES","9112","S","Plantae",NA,NA,"Araceae","Anthurium","gomesianum","Anthurium gomesianum","Nadruz","Valadares, R.T.",NA,NA,"Sarnaglia Júnior, V.B.","2011","08","Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","414","27","VIES009112","Cinco Pontões.","VIES009112",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-27 10:24:02-03","UFES","VIES","9108","S","Plantae",NA,NA,"Araceae","Philodendron","edmundoi","Philodendron edmundoi","G.M.Barroso","Valadares, R.T.",NA,NA,"Sarnaglia Júnior, V.B.","2011","08","Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","411","27","VIES009108","Cinco Pontões.","VIES009108",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-27 10:26:17-03","UFES","VIES","28440","S","Plantae",NA,NA,"Piperaceae","Piper",NA,"Piper",NA,NA,NA,NA,"Sarnaglia-Jr., V.B.","2011","08","Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","415",NA,"VIES028440","Cinco Pontões. Floresta e afloramento rochoso.","VIES028440",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-06-27 10:26:17-03","UFES","VIES","28441","S","Plantae",NA,NA,"Piperaceae","Piper",NA,"Piper",NA,NA,NA,NA,"Sarnaglia-Jr., V.B.",NA,NA,"Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","416",NA,"VIES028441","Cinco Pontões. Floresta e afloramento rochoso.","VIES028441",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-06-27 10:26:18-03","UFES","VIES","29207","S","Plantae",NA,NA,"Piperaceae","Piper","arboreum","Piper arboreum","(Trel.) Yunck.","V.B. Sarnaglia-Jr.",NA,NA,"Sarnaglia-Jr., V.B.",NA,NA,"Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","410",NA,"VIES029207","Cinco Pontões. Floresta e Afloramento Rochoso.","VIES029207",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-06-27 10:26:17-03","UFES","VIES","29209","S","Plantae",NA,NA,"Piperaceae","Peperomia","rubricaulis","Peperomia rubricaulis","(Nees) A.Dietr.","V.B. Sarnaglia-Jr.",NA,NA,"Sarnaglia-Jr., V.B.",NA,NA,"Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","409",NA,"VIES029209","Cinco Pontões. Floresta e Afloramento Rochoso.","VIES029209",NA,NA,NA,NA,NA,NA,NA,NA,NA
