"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","specificEpithet","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","coordinatePrecision","geoFlag","scientificNameAuthorship","imagecode","class","order","relatedCatalogItem"
"1","2019-10-09 11:17:41-03","UFBA","ALCB","19608","PreservedSpecimen","Plantae","Dicotyledon","Hypericaceae","Vismia","Vismia","Pinto, GCP","379/81","1981","11","09","Southern America","Brasil","Minas Gerais","Malacacheta","-42.2","-17.8","-42.2","-17.8","920","920","Folhas e flores ferrugíneas.; Semidecidual Secundária. Solo Argiloso","ALCB039010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:03:19-03","JBP","HPL","9511","S","Plantae",NA,"Myrtaceae","Myrcia","Myrcia splendens","R. Tsuji","2352","2007","11","30",NA,"Brasil","MG","Malacacheta","-42.0767","-17.8422",NA,NA,NA,NA,NA,NA,"splendens","Osny Tadeu de Aguiar","2008","10","13","Coletado nas proximidades do município de Malacacheta, no trevo Malacacheta/Poté; em frente à tapera do Bejo Ferreira.","20809","auto",NA,NA,NA,NA,NA
"3","2015-07-02 14:03:20-03","JBP","HPL","9510","S","Plantae",NA,"Myrtaceae","Myrciaria","Myrciaria","R. Tsuji","2351","2007","11","30",NA,"Brasil","MG","Malacacheta","-42.0767","-17.8422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coletado nas proximidades do município de Malacacheta, no trevo Malacacheta/Poté; Sítio Bejo Ferreira.","20809","auto",NA,NA,NA,NA,NA
"4","2015-07-02 14:02:30-03","JBP","HPL","9508","S","Plantae",NA,"Lauraceae","Nectandra","Nectandra oppositifolia","R. Tsuji","2349","2007","11","30",NA,"Brasil","MG","Malacacheta","-42.0767","-17.8422",NA,NA,NA,NA,NA,NA,"oppositifolia","J. Baitello","2008","11","18","Coletado na estrada Água Boa-Malacacheta, quase chegando no município de Malacacheta.","20809","auto",NA,NA,NA,NA,NA
"5","2015-07-02 14:03:24-03","JBP","HPL","9349","S","Plantae",NA,"Myrtaceae","Plinia","Plinia spiritosantensis","R. Tsuji","2058","2007","08","25",NA,"Brasil","MG","Malacacheta","-42.0767","-17.8422",NA,NA,NA,NA,NA,NA,"spiritosantensis","V.C. Souza","2012","06","04","Coletado no sítio Bejo Ferreira, Grota da Coruja, Córrego Cataranha.","20809","auto","(Mattos) Mattos",NA,NA,NA,NA
"6","2015-07-02 14:04:05-03","JBP","HPL","9509","S","Plantae",NA,"Rubiaceae","Simira","Simira","R. Tsuji","2350","2007","11","30",NA,"Brasil","MG","Malacacheta","-42.0767","-17.8422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coletado na estrada Água Boa-Malacacheta, ca. 40km de Água Boa.","20809","auto",NA,NA,NA,NA,NA
"7","2019-07-26 11:41:21-03","IPA","IPA","32425","S","Plantae","Plantae","Solanaceae","Aureliana","Aureliana velutina","S/C","209A","1981","11","09","Southern America","Brasil","Minas Gerais","Malacacheta","-42.0766983032227","-17.8421993255615",NA,NA,NA,NA,"Arbusto comum, apresentando flores.","IPA0032425","velutina","Barbosa, G.","1991","02",NA,NA,"20809","auto","Sendtn.",NA,NA,NA,NA
"8","2019-02-15 11:45:51-02","IPA","IPA","41550","S","Plantae","Plantae","Melastomataceae","Tibouchina","Tibouchina","Pinto, G.C.P.","380","1981","11","09","Southern America","Brasil","Minas Gerais","Malacacheta","-42.0766983032227","-17.8421993255615",NA,NA,"920","920","Árvore comum, apresentando folhas grandes e flores roxas.; Vegetação secundária da Floresta Estacional Semidecidual. Solo argiloso.","IPA0041550",NA,NA,NA,NA,NA,NA,"20809","auto",NA,NA,NA,NA,NA
"9","2020-03-10 08:29:14-03","UFV","VIC","37764","PreservedSpecimen","Plantae",NA,"Mimosoideae","Anadenanthera","Anadenanthera peregrina","Batista, M.L.; Vieira, D.M.","s.n.","2012","02","26",NA,"Brasil","Minas Gerais","Malacacheta","-42.228056","-17.810556","-42.228056","-17.810556",NA,NA,"Árvore, c.a. de 8,5 metros de altura, com frutos e acúleos no tronco.","VIC037764","peregrina","Batista, M.L.","2012","04","19","Estrada de terra.",NA,NA,"(L.) Speg.",NA,NA,NA,NA
"10","2020-03-10 08:29:17-03","UFV","VIC","37787","PreservedSpecimen","Plantae",NA,"Mimosoideae","Inga","Inga cylindrica","Batista, M.L.; Pengel, H.O.","s.n.","2012","09","25",NA,"Brasil","Minas Gerais","Malacacheta","-42.070833","-17.765","-42.070833","-17.765",NA,NA,"Árvore 6,5m alt., com flores.","VIC037787","cylindrica","Batista, M.L.","2012","09","25","Estrada de terra.",NA,NA,"(Vell.) Mart.",NA,NA,NA,NA
"11","2020-03-10 08:29:14-03","UFV","VIC","37822","PreservedSpecimen","Plantae",NA,"Mimosoideae","Anadenanthera","Anadenanthera peregrina","Batista, M.L.; Vieira, D.M.","s.n.","2012","09","23",NA,"Brasil","Minas Gerais","Malacacheta","-42.0766983032227","-17.8421993255615",NA,NA,NA,NA,"Árvore 8,5m alt., com flores, frutos e acúleos no tronco.","VIC037822","peregrina","Batista, M.L.","2012","04","19",NA,"20809","auto","(L.) Speg.",NA,NA,NA,NA
"12","2019-12-06 15:21:42-03","MBM","MBM","162963","S","Plantae",NA,"Solanaceae","Brunfelsia","Brunfelsia brasiliensis","Salgado, O.A.","208",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Malacacheta","-42.0766983032227","-17.8421993255615",NA,NA,NA,NA,NA,"MBM162963","brasiliensis","Plowman, T.",NA,NA,NA,"Malacacheta","20809","auto","(Spreng.) Smith & Downs","MBM162963",NA,NA,NA
"13","2014-07-30 10:40:51-03","CITSF","HXBH","004529","S","Plantae",NA,"Celastraceae","Maytenus","Maytenus sp.","Pedralli & Oliveira",NA,"1989","06","27",NA,"Brasil","MG","Malacacheta","-42.0767","-17.8422",NA,NA,NA,NA,"Lat. 17°34'19 e Long. 42°08'03''. Ca. 700m de altitude",NA,"sp.",NA,NA,NA,NA,"Córrego Setubinha","20809","auto",NA,NA,NA,NA,NA
"14","2014-07-30 10:41:04-03","CITSF","HXBH","004438","S","Plantae",NA,"Oxalidaceae","Oxalis","Oxalis hedysarifolia raddi","Pedralli et all.",NA,"1989","02","15",NA,"BR","MG","Malacacheta","-42.0767","-17.8422",NA,NA,NA,NA,NA,NA,"hedysarifolia raddi","Abreu, M. C.","2007","08","01","Córrego Setubinha","20809","auto",NA,NA,NA,NA,NA
"15","2019-11-13 11:15:53-03","USP","SPF","183666","PreservedSpecimen","Plantae",NA,"Aristolochiaceae","Aristolochia","Aristolochia","Conceição, AS","791","2004","01","11",NA,"Brasil","Minas Gerais","Malacacheta","-42.192778","-17.925","-42.192778","-17.925","391","391",NA,"SPF00183666",NA,NA,NA,NA,NA,"Junco de Minas",NA,NA,NA,NA,NA,NA,NA
"16","2019-10-07 09:18:05-03","UEFS","HUEFS","15168","PreservedSpecimen","Plantae","Angiospermae","Solanaceae","Brunfelsia","Brunfelsia brasiliensis","Salgado, O.A.","208","1981","11","09",NA,"Brasil","Minas Gerais","Malacacheta","-42.2","-17.8","42W12'","17S48'","920","920",NA,"HUEFS0015168","brasiliensis",NA,NA,NA,NA,NA,NA,NA,"(Spreng.) L.B.Sm. & Downs",NA,"Asteranae","Solanales",NA
"17","2018-12-03 11:24:01-02","CEPLAC","CEPEC","40339","S","Plantae",NA,"Melastomataceae","Tibouchina","Tibouchina arborea","G. C. P. Pinto","380","1981","11","09",NA,"Brasil","Minas Gerais","malacacheta","-42.2","-17.8","42W12'","17S48'",NA,NA,NA,NA,"arborea","P. Guimarães",NA,NA,NA,"Sem informação.",NA,NA,NA,NA,NA,NA,"10/11/2009"
"18","2018-12-03 11:11:40-02","CEPLAC","CEPEC","40337","S","Plantae",NA,"Clusiaceae","Vismia","Vismia magnoliifolia","G. C. P. Pinto","379","1981","11","09",NA,"Brasil","Minas Gerais","malacacheta","-42.2","-17.8","42W12'","17S48'",NA,NA,"<ll>dwc_commonname:</ll>",NA,"magnoliifolia","L. C. Marinho",NA,NA,NA,"Sem informação.",NA,NA,NA,NA,NA,NA,"16/1/2017"
