"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","year","month","day","continentOcean","locality","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","dayIdentified","class","typeStatus","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","relatedCatalogItem"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","368","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","sp.","Vriesea sp.","Elton. C. M. Leme","2011","08","Alvim Seidel;","Seidel1188","Brasil","Minas Gerais","Manhuaçú","-42.0335998535156","-20.2581005096436","32626","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 19:07:54-03","NYBG","NYBG","00828974","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","warmingii","Solanum warmingii","S. D. Knapp","2010",NA,"G. G. Hatschbach","48592","Brazil","Minas Gerais","Manhuaçu","-42.0333","-20.2583",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938788 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Hiern","1984","12","04","South America","Rod. BR-262.","-42.0333","-20.2583","sheet","NY00828974","NY00828974",NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:31:09-03","NYBG","NYBG","00908161","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","perforata","Myrcia perforata","M. L. Kawasaki","1997",NA,"G. G. Hatschbach","48596","Brazil","Minas Gerais","Manhuaçu","-42.0333","-20.2583",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991738 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"O.Berg","1984","12","04","South America","Rod. BR-262","-42.0333","-20.2583","sheet","NY00908161","NY00908161",NA,NA,NA,NA,NA,NA,NA
"4","2019-11-04 10:44:20-03","UFRJ","RFA","18648","Preservedecimen","Plantae",NA,NA,"Asteraceae","Mikania","sessilifolia","Mikania sessilifolia","Claudia Schwabb","2005","08","Cézio","724","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"Arbusto com 2 m de altura. Flores alvas","auto","DC.","1977","07","28",NA,NA,NA,NA,NA,"RFA15658",NA,"19",NA,NA,NA,NA,NA,NA
"5","2019-11-04 10:44:03-03","UFRJ","RFA","18929","Preservedecimen","Plantae",NA,NA,"Asteraceae",NA,NA,NA,NA,NA,NA,"Cézio","723","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"Árvore 4 - 5 m de altura","auto",NA,"1977","07","28",NA,NA,NA,NA,NA,"RFA39229",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-04 10:46:42-03","UFRJ","RFA","18649","Preservedecimen","Plantae",NA,NA,"Lamiaceae","Hyptis",NA,"Hyptis",NA,NA,NA,"Cezio Pereira","722","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"Árvore 4 a 5 m de altura. Flores róseas","auto",NA,"1977","07","28",NA,NA,NA,NA,NA,"RFA42439",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-04 10:44:03-03","UFRJ","RFA","19285","Preservedecimen","Plantae",NA,NA,"Asteraceae",NA,NA,NA,NA,NA,NA,"Cézio","717","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"Arbusto, 2 m, flores alvas.","auto",NA,"1977","07","28",NA,NA,NA,NA,NA,"RFA16094",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-09-24 11:04:30-03","EAO","IAN","120771","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rubiaceae","Palicourea",NA,"Palicourea",NA,NA,NA,"Heringer, EP","10306","Brasil","Minas Gerais","Manhuaçú","-42.0335998535156","-20.2581005096436","32626",NA,"Planta de 2m; flores com face roxa.","auto",NA,"1965","01","29","Southern America","Local sombreado.",NA,NA,NA,"IAN120771",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-09-24 10:57:03-03","EAO","IAN","120751","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Machaerium",NA,"Machaerium","Mansano, VF","2011","10","Heringer, EP","10239","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"Trepadeira.","auto",NA,"1965","01","29","Southern America","Manhuaçú.",NA,NA,NA,"IAN120751",NA,"04",NA,NA,NA,NA,NA,NA
"10","2015-02-10 11:46:58-02","BM","SOLANACEAE_SOURCE_BR","63632","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","warmingii","Solanum warmingii","Knapp, S.","2012","02","Hatschbach, G.; Silva, J.M.","48592","Brazil","Minas Gerais","Manhuaçu","-42.0336","-20.2581","32626",NA,"arbusto 2 m; flor creme; orla da mata da encosta de morro","auto","Hiern","1984","12","04","Southern America","Rod. BR-262",NA,NA,NA,"CORD00013300",NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
