"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","dayIdentified","day","locality","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","continentOcean","infraspecificEpithet"
"1","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","120","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Niduregelia","x fraudulenta","Niduregelia x fraudulenta","Leme","Elton. C. M. Leme","2011","08","Alvim Seidel;","Seidel1090","1987","10","Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:27:28-03","UFV","VIC","18490","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Arrabidaea","pubescens","Arrabidaea pubescens","(L.) A.H. Gentry","Scudeller, V.V.","1997","09","Lopes, W.P. de","s.n.","1996","02","Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,"Liana. Cálice fortemente lilás, tendendo ao roxo. Corola lilás, lobos mais escuros. Guias de néctar lilases. Porção mediana inferior dos filetes lilás. Anteras lilases, tendendo ao marrom. Gavinhas unciladas.","auto","30","24","Rodovia Manhumirim - Jequitibá, Lado esquerdo da rodovia que liga Manhumirim à Jequitibá (neste sentido). Aproximadamente 500 metros após a entrada que leva à Fazenda Modelo. Sol pleno.","VIC018490","VIC018490",NA,NA,NA,NA,NA
"3","2019-08-16 08:41:14-03","UTFPR","HCF","18570","S","Plantae",NA,NA,"Solanaceae","Solanum","leucodendron","Solanum leucodendron","Sendtn.","J.R. Stehmann","2006",NA,"G. Hatschbach","55422","1991","06","Brasil","MG","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,"arvoreta, 5 m, pétalas alvas. Mata secundária.","auto",NA,"13","Rodovia MG-111, Fazenda Modelo",NA,NA,"500","500",NA,NA,NA
"4","2019-07-17 14:37:21-03","UFRRJ","RBR","1524","S","Plantae",NA,NA,"Acanthaceae",NA,NA,NA,"Christenh. & H.Schneid",NA,NA,NA,"Paixão, J","332","1941","02","Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,NA,"auto",NA,"24","Zona da Mata","RBR00001524",NA,NA,NA,NA,NA,NA
"5","2020-02-18 10:01:39-03","UFRRJ","RBR","16477","S","Plantae",NA,NA,"Fabaceae","Crotalaria","prucea","Crotalaria prucea",NA,NA,NA,NA,"Paixão, J","350","1941","02","Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,NA,"auto",NA,"19","Zona da Mata","RBR00016477",NA,NA,NA,NA,NA,NA
"6","2020-02-18 10:01:42-03","UFRRJ","RBR","18269","S","Plantae",NA,NA,"Fabaceae","Desmodium","nicandra","Desmodium nicandra","D.C.",NA,NA,NA,"Paixão, J","355","1941","02","Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,NA,"auto",NA,"15","Zona da Mata","RBR00018269",NA,NA,NA,NA,NA,NA
"7","2020-02-18 10:01:13-03","UFRRJ","RBR","11681","S","Plantae",NA,NA,"Asteraceae","Elephantopus","scaber","Elephantopus scaber","L.",NA,NA,NA,"Paixão, J","339","1941","02","Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,NA,"auto",NA,"25","Zona da Mata","RBR00011681","RBR00011681",NA,NA,NA,NA,NA
"8","2020-02-18 10:01:03-03","UFRRJ","RBR","2625","S","Plantae",NA,NA,"Apocynaceae","Asclepias","curassavica","Asclepias curassavica","L.",NA,NA,NA,"Paixão, J","334","1941","02","Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,NA,"auto",NA,"24","Zona da Mata","RBR00002625","RBR00002625",NA,NA,NA,NA,NA
"9","2020-03-03 12:25:09-03","UFRRJ","RBR","8832","S","Plantae",NA,NA,"Convolvulaceae",NA,NA,NA,"Juss.",NA,NA,NA,"J. Paixão","369",NA,NA,"Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,NA,"auto",NA,NA,"Zona da Mata","RBR00008832",NA,NA,NA,NA,NA,NA
"10","2019-07-17 14:38:03-03","UFRRJ","RBR","13559","S","Plantae",NA,NA,"Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","Vaz, AF","1990","08","Paixão, J","349","1941","02","Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,NA,"auto",NA,"17","Zona da Mata","RBR00013559",NA,NA,NA,NA,NA,NA
"11","2020-02-18 10:01:38-03","UFRRJ","RBR","22313","S","Plantae",NA,NA,"Fabaceae","Crotalaria",NA,"Crotalaria",NA,NA,NA,NA,"Paixão, J","353","1941","02","Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,NA,"auto",NA,"18","Zona da Mata","RBR00022313",NA,NA,NA,NA,NA,NA
"12","2020-02-18 10:01:38-03","UFRRJ","RBR","22314","S","Plantae",NA,NA,"Fabaceae","Crotalaria",NA,"Crotalaria",NA,NA,NA,NA,"Paixão, J","354","1941","02","Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,NA,"auto",NA,"18","Zona da Mata","RBR00022314",NA,NA,NA,NA,NA,NA
"13","2019-07-17 14:33:37-03","UFRRJ","RBR","9547","S","Plantae",NA,NA,"Asteraceae","Bidens","pilosa","Bidens pilosa","L.",NA,NA,NA,"Paixão, J.","337","1941","02","Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,NA,"auto",NA,"24","Zona da Mata","RBR00009547","RBR00009547",NA,NA,NA,NA,NA
"14","2019-07-17 14:33:35-03","UFRRJ","RBR","9128","S","Plantae",NA,NA,"Asteraceae","Baccharis","trinervis","Baccharis trinervis","Pers.","Heiden, G.","2016","05","Paixão, J.","338","1941","02","Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,NA,"auto","12","24","Zona da Mata.","RBR00009128","RBR00009128",NA,NA,NA,NA,NA
"15","2019-09-20 09:33:53-03","UFRRJ","RBR","4085","S","Plantae",NA,NA,"Convolvulaceae","Ipomoea","ramosissima","Ipomoea ramosissima","(Poir.) Choisy","R.Simão-Bianchini","1997","10","J. Paixão","341","1941","02","Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,NA,"auto","06","24","Zona da Mata.","RBR00004085","RBR00004085",NA,NA,NA,NA,NA
"16","2020-02-18 10:01:29-03","UFRRJ","RBR","2462","S","Plantae",NA,NA,"Commelinaceae","Commelina","obliqua","Commelina obliqua","Vahl","R. Barreto","1996","09","J. Paixão","335","1941","11","Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,NA,"auto","15","15","Zona da Mata.","RBR00002462","RBR00002462",NA,NA,NA,NA,NA
"17","2020-02-18 10:01:54-03","UFRRJ","RBR","17942","S","Plantae",NA,NA,"Fabaceae","Senna","occidentalis","Senna occidentalis","(L.) Link",NA,NA,NA,"Paixão, L","381","1941","02","Brasil","Minas Gerais","Manhumirim","-41.9580993652344","-20.3577995300293","14432",NA,NA,"auto",NA,"26","Zona da Mata, Campo de Documentação da Prefeitura.","RBR00017942",NA,NA,NA,NA,NA,NA
