"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","specificEpithet","infraspecificEpithet","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","typeStatus","preparationType","individualCount","class","order"
"1","2019-08-20 10:08:52-03","UNICAMP","UEC","184811","S","Plantae","Magnoliopsida","Calophyllaceae","Kielmeyera","Kielmeyera","Mart. & Zucc.","Fontana, AP; Kollmann, L","7477","2012","09","26","Brazil","Espírito Santo","Mantenópolis","São José, afloramento rochoso granítico.","-41.119444","-18.922222","-41.119444","-18.922222","Arbusto, ca. 1m, Rupícola no sol, frutos imaturos verde.","UEC104877","UEC104877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-20 10:23:03-03","UNICAMP","UEC","205786","S","Plantae","Magnoliopsida","Plantaginaceae","Otacanthus","Otacanthus",NA,"Kollmann, L; Fontana, AP","12513","2012","09","26","Brazil","Espírito Santo","Mantenópolis","Erva rupícola ao sol, flores lilás.","-42.097222","-55.266667","-42.097222","-55.266667","Erva rupícola ao sol, flores lilás.","UEC164320","UEC164320","Kollmann, L","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-06 19:29:39-03","UFES","VIES","23425","S","Plantae",NA,"Fabaceae","Anadenanthera","Anadenanthera peregrina peregrina",NA,"Assis, A. M.; Wieringa, A.","2100","2009","09","23","Brasil","Espírito Santo","Mantenópolis","São Geraldo.","-41.155833","-18.85","41º9'21''W","18º51'0''S",NA,"VIES023425","VIES023425","Silva, L.A.","460","460","peregrina","peregrina","2015","05",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-06 19:29:09-03","UFES","VIES","28147","S","Plantae",NA,"Alismataceae","Echinodorus","Echinodorus macrophyllus","(Kunth) Micheli","Assis, A.M.; Cribari, R.S.","4462","2018","04","09","Brasil","Espírito Santo","Mantenópolis","Estrada de Santa Luzia de Mantenópolis para Mantena. Margens do rio São Francisco.","-41.017778","-18.844722","41º1'4''W","18º50'41''S",NA,"VIES028147","VIES028147",NA,"390","390","macrophyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-06 19:29:46-03","UFES","VIES","28146","S","Plantae",NA,"Lamiaceae","Vitex","Vitex orinocensis","Kunth","Assis, A.M.; Cribari, R.S.","4461","2018","04","09","Brasil","Espírito Santo","Mantenópolis","Estrada de Santa Luzia de Mantenópolis para Mantena.","-41.017778","-18.844722","41º1'4''W","18º50'41''S",NA,"VIES028146","VIES028146",NA,"390","390","orinocensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-03 19:20:35-03","UFES","VIES","45989","S","Plantae",NA,"Racopilaceae","Racopilum","Racopilum tomentosum","(Hedw.) Brid.","Silva, L.T.P.","34","2007","07",NA,"Brasil","Espírito Santo","Mantenópolis",NA,"-41.1227989196777","-18.8624992370605",NA,NA,NA,"VIES045989",NA,"Silva, L.T.P.",NA,NA,"tomentosum",NA,NA,NA,"24010","auto",NA,NA,NA,NA,NA
"7","2020-03-09 08:20:37-03","UFPR","UPCB","87722","PreservedSpecimen","Plantae",NA,"Melastomataceae","Pleroma","Pleroma costatocalyx","F.S.Mey., L.Kollmann & R.Goldenb.","Kollmann, L. | Fontana, A.P.","12512","2012","09","26","Brasil","Espírito Santo","Mantenópolis",NA,"-41.115278","-55.266667","-41.115278","-55.266667","Arbusto 1m, rupícola ao sol, flores lilases..","UPCB0023645","UPCB0023645","Meyer, F.S.","900","900","costatocalyx",NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-03-09 08:20:20-03","UFPR","UPCB","82861","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","Miconia flamea","Casar","Kollmann, L.","12519","2012","09","26","Brasil","Espírito Santo","Mantenopolis",NA,"-41.1227989196777","-18.8624992370605",NA,NA,"Árvore 5m, folhas ferrugíneas na face abaxial, frutos verdes..","UPCB0015461","UPCB0015461","Goldenberg, R.","900","918","flamea",NA,"2015",NA,"24010","auto",NA,NA,NA,NA,NA
"9","2020-03-09 08:20:31-03","UFPR","UPCB","82862","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","Miconia trianae","Cogn.","Kollmann, L.","12520","2012","09","26","Brasil","Espírito Santo","Mantenopolis",NA,"-41.1227989196777","-18.8624992370605",NA,NA,"Arvoreto 5m, frutos verdes..","UPCB0018974","UPCB0018974","Goldenberg, R.","900","918","trianae",NA,"2015",NA,"24010","auto",NA,NA,NA,NA,NA
"10","2017-09-14 11:51:44-03","MBML","MBML-HERBARIO","44925",NA,"Plantae",NA,"Scrophulariaceae","Achetaria","Achetaria platychila",NA,"L. Kollmann; A.P.Fontana","12513","2012","09","26","Brasil","Espírito Santo","Mantenópolis",NA,"-41.115278",NA,"41W6'55",NA,"Erva rupícola ao sol, flores lilás","MBML044925",NA,"André Vito Scatigna/Março-2016","900","900","platychila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-05-09 14:19:50-03","MBML","MBML-HERBARIO","44922",NA,"Plantae",NA,"Leguminosae Faboideae","Aeschynomene","Aeschynomene",NA,"L. Kollmann; A.P.Fontana","12514","2012","09","26","Brasil","Espírito Santo","Mantenópolis",NA,"-41.115278",NA,"41W6'55",NA,"Erva rupícola ao sol, flores amarelas","MBML044922","MBML044922",NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-05-09 14:19:57-03","MBML","MBML-HERBARIO","46863",NA,"Plantae",NA,"Leguminosae Mimosoideae","Anadenanthera","Anadenanthera peregrina",NA,"A. M. Assis; A. Wieringa","2100","2009","09","23","Brasil","Espírito Santo","Mantenópolis","São Geraldo","-41.1575","-18.858333","41W9'27","18S51'30","Árvore 12m. Flores brancas, frutos verdes. Nome popular: angico vermelho. Projeto APES - Flora Apícola - SEBRAE.","MBML046863","MBML046863","L.A.Silva/22-04-2015","460","460","peregrina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-09-14 11:41:59-03","MBML","MBML-HERBARIO","46135",NA,"Plantae",NA,"Araceae","Anthurium","Anthurium",NA,"A. P. Fontana; L. Kollmann","7471","2012","09","25","Brasil","Espírito Santo","Mantenópolis","Afloramento rochoso granítico da torre de TV","-41.088056","-18.898889","41W5'17","18S53'56","Rupícola no sol. Acaulescente. Pedúnculo ereto verde. Espata horizontal verde-amarelada. Espádice amarronzada","MBML046135","MBML046135",NA,"850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-09-14 11:42:19-03","MBML","MBML-HERBARIO","44910",NA,"Plantae",NA,"Asclepiadaceae",NA,NA,NA,"L. Kollmann; A.P.Fontana","12528","2012","09","26","Brasil","Espírito Santo","Mantenópolis",NA,"-41.115278",NA,"41W6'55",NA,NA,"MBML044910","MBML044910",NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-09-14 11:42:46-03","MBML","MBML-HERBARIO","44947",NA,"Plantae",NA,"Begoniaceae","Begonia","Begonia reniformis",NA,"L. Kollmann; A.P.Fontana","12509","2012","09","26","Brasil","Espírito Santo","Mantenópolis","São José","-41.086944",NA,"41W5'13",NA,"Rupícola ao sol, flores brancas","MBML044947","MBML044947","L. Kollmann","658","658","reniformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-09-14 11:48:58-03","MBML","MBML-HERBARIO","46927",NA,"Plantae",NA,"Nyctaginaceae","Bougainvillea","Bougainvillea praecox",NA,"A. M. Assis; A. Wieringa","2097","2009","09","23","Brasil","Espírito Santo","Mantenópolis","Alto Monteiro","-41.088333","-18.849444","41W5'18","18S50'58","Árvore 10m, DAP 50cm. Brácteas brancas, frutos jovens verdes","MBML046927",NA,NA,"710","710","praecox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2018-11-23 15:49:06-02","MBML","MBML-HERBARIO","44918",NA,"Plantae",NA,"Flacourtiaceae","Casearia","Casearia javitensis",NA,"L. Kollmann; A.P.Fontana","12521","2012","09","26","Brasil","Espírito Santo","Mantenópolis",NA,"-41.115278",NA,"41W6'55",NA,"Arvoreto 5m, flores brancas","MBML044918","MBML044918","A. Nepomuceno/2018","900","900","javitensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2017-09-14 11:50:34-03","MBML","MBML-HERBARIO","44934",NA,"Plantae",NA,"Pteridaceae","Cheilanthes","Cheilanthes",NA,"L. Kollmann; A.P.Fontana","12501","2012","09","25","Brasil","Espírito Santo","Mantenópolis","São José","-41.088611",NA,"41W5'19",NA,"Rupícola ao sol, soros marrons","MBML044934","MBML044934",NA,"950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-09-14 11:44:15-03","MBML","MBML-HERBARIO","44929",NA,"Plantae",NA,"Compositae","Cololobus","Cololobus rupestris",NA,"L. Kollmann; A.P.Fontana","12505","2012","09","25","Brasil","Espírito Santo","Mantenópolis","São José","-41.088611",NA,"41W5'19",NA,"Arbusto 1m rupícola ao sol, inflorescência seca","MBML044929","MBML044929","A.P. Fontana/14-V-2013","950","950","rupestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2017-09-14 11:44:13-03","MBML","MBML-HERBARIO","46494",NA,"Plantae",NA,"Compositae",NA,NA,NA,"A. M. Assis; A. Wieringa","2098","2009","09","23","Brasil","Espírito Santo","Mantenópolis","Alto Monteiro","-41.088333","-18.849444","41W5'18","18S50'58","Arbusto 2m, frutos verdes","MBML046494",NA,NA,"710","710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2018-01-16 07:34:39-02","MBML","MBML-HERBARIO","46133",NA,"Plantae",NA,"Lythraceae","Cuphea","Cuphea schwackei",NA,"A. P. Fontana; L. Kollmann","7474","2012","09","26","Brasil","Espírito Santo","Mantenópolis","São José. Propriedade do Sr. Carlos Raposo, Sítio Jardim do Éden","-41.106389","-18.883611","41W6'23","18S53'1","Erva subarbustiva, ca 30cm. Flores lilás","MBML046133","MBML046133","A. P. Fontana/26-09-2012","650","650","schwackei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2018-07-16 11:40:13-03","MBML","MBML-HERBARIO","44935",NA,"Plantae",NA,"Dioscoreaceae","Dioscorea","Dioscorea sincorensis",NA,"L. Kollmann; A.P.Fontana","12499","2012","09","25","Brasil","Espírito Santo","Mantenópolis","São José","-41.088611",NA,"41W5'19",NA,"Liana. Rupícola ao sol, flores verdes","MBML044935","MBML044935","R.S.Couto & F.Fraga/12-2017","950","950","sincorensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2017-09-14 11:44:22-03","MBML","MBML-HERBARIO","44916",NA,"Plantae",NA,"Compositae","Eremanthus","Eremanthus erythropappus",NA,"L. Kollmann; A.P.Fontana","12523","2012","09","26","Brasil","Espírito Santo","Mantenópolis",NA,"-41.115278",NA,"41W6'55",NA,"Arvoreto 3m, inflorescência verde","MBML044916","MBML044916","G. Heiden/06-04-2016","900","900","erythropappus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2017-09-14 11:52:11-03","MBML","MBML-HERBARIO","44909",NA,"Plantae",NA,"Verbenaceae","Eriope","Eriope salviifolia",NA,"L. Kollmann; A.P.Fontana","12516","2012","09","26","Brasil","Espírito Santo","Mantenópolis",NA,"-41.115278",NA,"41W6'55",NA,"Erva 2m, flores lilás","MBML044909",NA,"G.M. Antar/Abril-2017","900","900","salviifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-09-14 11:49:23-03","MBML","MBML-HERBARIO","44945",NA,"Plantae",NA,"Orchidaceae","Habenaria","Habenaria",NA,"L. Kollmann; A.P.Fontana","12525","2012","09","26","Brasil","Espírito Santo","Mantenópolis",NA,"-41.115278",NA,"41W6'55",NA,"Terrestre na sombra, folha bicolor, frutos secos","MBML044945",NA,NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2017-09-14 11:42:55-03","MBML","MBML-HERBARIO","46126",NA,"Plantae",NA,"Bignoniaceae","Handroanthus","Handroanthus",NA,"A. P. Fontana; L. Kollmann","7481","2012","09","26","Brasil","Espírito Santo","Mantenópolis","São José. Afloramento rochoso granítico","-41.119444","-18.922222","41W7'10","18S55'20","Árvore, ca. 7m. Flores amarelas. Frutos com tricomas dourados","MBML046126","MBML046126",NA,"970","970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2017-09-14 11:49:24-03","MBML","MBML-HERBARIO","46115",NA,"Plantae",NA,"Orchidaceae","Hoffmannseggella","Hoffmannseggella mixta",NA,"A. P. Fontana; L. Kollmann","7479","2012","09","26","Brasil","Espírito Santo","Mantenópolis","São José. Afloramento rochoso granítico","-41.119444","-18.922222","41W7'10","18S55'20","Rupícola no sol. Frutos verdes avermelhados","MBML046115",NA,"A. P. Fontana/26-09-2012","970","970","mixta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2017-10-26 08:55:47-02","MBML","MBML-HERBARIO","16640",NA,"Plantae",NA,"Cactaceae","Hylocereus","Hylocereus setaceus",NA,"N. P. Taylor; et al","778","1990","12","15","Brasil","Espírito Santo","Mantenópolis","Estrada p/ Mantena","-41.122778","-18.8625","41W7'22","18S51'45","Rasteiro sobre rocha.","MBML016640","MBML016640","L. Kollmann/17-10-2008",NA,NA,"setaceus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2017-09-14 11:45:49-03","MBML","MBML-HERBARIO","44924",NA,"Plantae",NA,"Gramineae","Ichnanthus","Ichnanthus bambusiflorus",NA,"L. Kollmann; A.P.Fontana","12511","2012","09","26","Brasil","Espírito Santo","Mantenópolis",NA,"-41.115278",NA,"41W6'55",NA,"Erva rupícola ao sol, frutos marrons","MBML044924",NA,"C. Silva/07-04-2015","900","900","bambusiflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2017-09-14 11:45:58-03","MBML","MBML-HERBARIO","46195",NA,"Plantae",NA,"Guttiferae","Kielmeyera","Kielmeyera",NA,"A. P. Fontana; L. Kollmann","7477","2012","09","26","Brasil","Espírito Santo","Mantenópolis","São José. Afloramento rochoso granítico","-41.119444","-18.922222","41W7'10","18S55'20","Arbusto, ca. 1m. Rupícola no sol. Frutos imaturos verdes","MBML046195","MBML046195",NA,"970","970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-02-19 14:09:53-03","MBML","MBML-HERBARIO","44911",NA,"Plantae",NA,"Melastomataceae","Leandra","Leandra aurea",NA,"L. Kollmann; A.P.Fontana","12524","2012","09","26","Brasil","Espírito Santo","Mantenópolis",NA,"-41.115278",NA,"41W6'55",NA,"Arbusto 2m ao sol, tricomas rosas","MBML044911","MBML044911","M.Reginato & F.A.Michelangeli/18-08-2015","900","900","aurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2017-09-14 11:45:16-03","MBML","MBML-HERBARIO","46930",NA,"Plantae",NA,"Euphorbiaceae","Mabea","Mabea fistulifera",NA,"A. M. Assis; A. Wieringa","2096","2009","09","23","Brasil","Espírito Santo","Mantenópolis","Margens da Rodovia ES 164 - estágio médio de floresta estacional semidecidual","-41.086278","-18.884056","41W5'10,6","18S53'2,6","Arvoreta 8m, latex branco. Frutos marrons. Nome popular: canudo de pito. Projeto APES - Flora Apícola - SEBRAE.","MBML046930","MBML046930",NA,"660","660","fistulifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
