"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","phylum","class","order","scientificNameAuthorship","yearIdentified","monthIdentified","recordNumber","dayIdentified","continentOcean","verbatimLatitude","preparationType","barcode","imagecode","infraspecificEpithet","typeStatus","previousCatalogNumber","relatedCatalogItem"
"1","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4347","S","Plantae","Orchidaceae","Gomeza","ramosa","Gomeza ramosa","Flavio Gontijo","Flávio Gontijo;","2018","03","13","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764915","7764915","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4344","S","Plantae","Velloziaceae","Vellozia","sp.","Vellozia sp.","Flavio Gontijo","Flávio Gontijo;","2018","03","13","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764915","7764915","8","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","2167","S","Plantae","Orchidaceae","Acianthera","prolifera","Acianthera prolifera",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Mariana","Mina Conta Historia","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,"1","254","auto","Magnoliophyta","Equisetopsida","Asparagales","(Herb. ex Lindl.) Pridgeon & M.W.Chase.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4341","S","Plantae","Orchidaceae","Acianthera","teres","Acianthera teres","Flavio Gontijo","André Araujo;","2018","12","01","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654770","33524","7764902","7764902","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4346","S","Plantae","Orchidaceae","Acianthera","teres","Acianthera teres","Flavio Gontijo","Flávio Gontijo;","2018","03","13","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654770","33524","7764902","7764902","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","86","S","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha","Elton. C. M. Leme","Alvim Seidel;",NA,NA,NA,"Brasil","Minas Gerais","Mariana",NA,"-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,"1","254","auto","Magnoliophyta",NA,"Poales","Lem.","2011","08","Seidel1040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","4381","S","Plantae","Anemiaceae","Anemia","sp.","Anemia sp.","Flavio Gontijo","Flávio Gontijo;","2018","03","13","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764915","7764915","1","254","auto","Pterydophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4345","S","Plantae","Orchidaceae","Cattleya","caulescens","Cattleya caulescens","Flavio Gontijo","Flávio Gontijo;","2018","03","13","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654770","33524","7764902","7764902","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4340","S","Plantae","Orchidaceae","Cattleya","caulescens","Cattleya caulescens","Flavio Gontijo","André Araujo;","2018","12","01","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654770","33524","7764902","7764902","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2158","S","Plantae","Orchidaceae","Cattleya","cinnabarina","Cattleya cinnabarina",NA,"Paulo Eduardo C. Rocha;",NA,NA,NA,"Brasil","Minas Gerais","Mariana","Mina Conta Historia","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,"1","254","auto","Magnoliophyta","Equisetopsida","Asparagales","(Bateman ex Lindl.) Van den Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4337","S","Plantae","Bromeliaceae","Cryptanthus","schwackeanus","Cryptanthus schwackeanus","Flavio Gontijo","André Araujo;","2018","12","01","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764927","7764927","1","254","auto",NA,NA,NA,"Mez.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4342","S","Plantae","Bromeliaceae","Cryptanthus","schwackeanus","Cryptanthus schwackeanus","Flavio Gontijo","Flávio Gontijo;","2018","03","13","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764927","7764927","1","254","auto",NA,NA,NA,"Mez.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4343","S","Plantae","Bromeliaceae","Dyckia","sp.","Dyckia sp.","Flavio Gontijo","Flávio Gontijo;","2018","03","13","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764927","7764927","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4338","S","Plantae","Bromeliaceae","Dyckia","sp.","Dyckia sp.","Flavio Gontijo","André Araujo;","2018","12","01","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764927","7764927","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","2298","S","Plantae","Dryopteridaceae","Elaphoglossum","lingua","Elaphoglossum lingua","Carlos A. Ferreira Jr.","Paulo Eduardo C. Rocha;",NA,NA,NA,"Brasil","Minas Gerais","Mariana","CVRD Timbopeba","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,"2","254","auto","Pterifophyta",NA,NA,"(C.Presl) Brack.","2010","11",NA,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2064","S","Plantae","Orchidaceae","Epidendrum","secundum","Epidendrum secundum","Rubens Custódio Mota","Telma Sueli Mesquita Grandi;",NA,NA,NA,"Brasil","Minas Gerais","Mariana",NA,"-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,"1","254","auto","Magnoliophyta","Equisetopsida","Asparagales","Jacq.","2008","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
