"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","infraspecificEpithet","coordinatePrecision","geoFlag","previousCatalogNumber","class","individualCount","relatedCatalogItem","sex"
"1","2019-12-16 18:04:36-03","NYBG","NYBG","528461","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Pausandra","trianae","Pausandra trianae","(Müll.Arg.) Baill.","L. J. Gillespie","1997","J. R. Pirani","3386","1994","12","05","South America","Brazil","Espírito Santo","Marilândia","Zona urbana de Marilándia, na propiedade do Sr. Euclides Canal e familia","-40.5417","-19.4131","-40.5417","-19.4131","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=717417 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00528461","NY00528461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:04:36-03","NYBG","NYBG","528462","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Pausandra","trianae","Pausandra trianae","(Müll.Arg.) Baill.","L. J. Gillespie","1997","J. R. Pirani","3398","1994","12","05","South America","Brazil","Espírito Santo","Marilândia","Zona urbana de Marilándia, na propiedade do Sr. Euclides Canal e familia","-40.5417","-19.4131","-40.5417","-19.4131","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=717418 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00528462","NY00528462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:14:12-03","NYBG","NYBG","407298","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","multiflora","Pavonia multiflora","A.St.-Hil.",NA,NA,"J. R. Pirani","3410","1994","12","06","South America","Brazil","Espírito Santo","Marilândia","Rodovia Marilândia-Rio Bananal; ca. 1km N de Marilândia. Remanescente de floresra tropical pluvial junto á Cerâmica Floresta","-40.5417","-19.4131","-40.5417","-19.4131","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=736602 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00407298","NY00407298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:26:37-03","NYBG","NYBG","02286579","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","leopoldinensis","Pleroma leopoldinensis","L.Kollmann & R.Goldenb.","F. A. Michelangeli","2016","V. Demuner","2593","2006","07","13","South America","Brazil","Espírito Santo","Marilandia","Liberdade (Água. Viva, Pedra do Cruzeiro), Prop. Aguilar A. Lovucini","-40.551","-19.34825","-40.55100","-19.34825","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2954917 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02286579","NY02286579","paratype","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:26:37-03","NYBG","NYBG","02286605","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","leopoldinensis","Pleroma leopoldinensis","L.Kollmann & R.Goldenb.","F. A. Michelangeli","2016","V. Demuner","4229","2007","06","13","South America","Brazil","Espírito Santo","Marilandia","Liberdade (Água Viva, Pedra do Cruzeiro), propr.: Aguilar A. Lorencini","-40.5511","-19.3483","-40.5511","-19.3483","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2955087 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02286605","NY02286605","paratype","630","835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:14:14-03","NYBG","NYBG","572278","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Prockia","crucis","Prockia crucis","P.Browne ex L.","R. L. Liesner",NA,"J. R. Pirani","3412","1994","12","06","South America","Brazil","Espírito Santo","Marilândia","Rodovia Marilândia-Rio Bananal, ca. 1 km N de Marilândia","-40.5417","-19.4131","-40.5417","-19.4131","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121252 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00572278","NY00572278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:55:07-03","NYBG","NYBG","02212763","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","warmingianum","Protium warmingianum","Marchand",NA,NA,"V. Demuner","4222","2007","06","13","South America","Brazil","Espírito Santo","Marilandia","Liberdade (Água Viva, Pedra do Cruzeiro), propr.: Aguilar A. Lorencini","-40.5511","-19.3483","-40.5511","-19.3483","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2355557 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02212763","NY02212763_01 NY02212763_02",NA,"630","835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:55:07-03","NYBG","NYBG","02398677","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","warmingianum","Protium warmingianum","Marchand",NA,NA,"V. Demuner","2633","2006","07","14","South America","Brazil","Espírito Santo","Marilândia","Liberdade, Prop. Lorenccini Deoclécio","-40.516","-19.35428","-40.51600","-19.35428","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2598319 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02398677","NY02398677_01 NY02398677_02",NA,"250","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:55:07-03","NYBG","NYBG","2212764","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","warmingianum","Protium warmingianum","Marchand",NA,NA,"V. Demuner","2623","2006","07","13","South America","Brazil","Espírito Santo","Marilandia","Liberdade (Água. Viva, Pedra do Cruzeiro), Prop. Aguilar A. Lovucini","-40.551","-19.34825","-40.55100","-19.34825","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2355559 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02212764","NY02212764",NA,"150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 18:14:15-03","NYBG","NYBG","402511","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Quararibea","floribunda","Quararibea floribunda","(A.St.-Hil.) K.Schum.","J. A. Kallunki","1997","J. R. Pirani","3401","1994","12","05","South America","Brazil","Espírito Santo","Marilândia","Remanescente de floresta pluvial tropical na zona urbana de Marilândia, na propriedade do Sr. Euclides Canal e família.","-40.5417","-19.4131","-40.5417","-19.4131","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500145 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00402511","NY00402511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
