"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","class","infraspecificEpithet","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","typeStatus","relatedCatalogItem"
"1","2020-03-04 15:25:55-03","UNESC","CRI","15179","PreservedSpecimen","Plantae","Poaceae","Merostachys","ximenae","Merostachys ximenae","D.F. Parma, R. Vinícius-Silva & A.P. Santos-Gonçalves","Vinicius-SIlva, R","2019","07","27","Santos-Gonçalves et al.","204","1999","09","22","Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce . Estrada Cava Grande - Ponte Queimada.","-19.805","-42.641667","19º48'18''W","42º38'30''S","Nó com espessamento característico. Ramificação intravaginal. Folha do colmo com lâmina reflexa, semidecídua, pseudopeciolada. (VIC - 43.953) Habito: Bambu","CRI014594","CRI014594_1 CRI014594_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","3453","S","Plantae","Commelinaceae","Tradescantia","zanonia","Tradescantia zanonia","(L.) Sw.","Leandro L. Giacomin","2007","02",NA,"q; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo",NA,"2005","07","06","Brasil","Minas Gerais","Marliéria","Garapa Torta","-42.7322006225586","-19.7122001647949","19º45' S a 19º30' S","42º38' W a 48º28' W","254",NA,NA,"Magnoliophyta","Commelinales","28215","1","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","1926","S","Plantae","Bromeliaceae","Tillandsia","stricta","Tillandsia stricta",NA,NA,NA,NA,NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo",NA,"2006","05","21","Brasil","Minas Gerais","Marliéria","Lagoa do meio","-42.7322006225586","-19.7122001647949",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","28215","1","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1862","S","Plantae","Dioscoreaceae","Dioscorea","dodecaneura","Dioscorea dodecaneura","Vell.",NA,NA,NA,NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo",NA,"2006","02","07","Brasil","Minas Gerais","Marliéria","Garapa Torta","-42.7322006225586","-19.7122001647949",NA,NA,"254",NA,NA,"Magnoliophyta","Dioscoreales","28215","1","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:50-03","FZB-BH","CVJBFZB","1949","S","Plantae","Cyperaceae","Eleocharis","geniculata","Eleocharis geniculata","(L.) Roem. & Schult.","Leandro L. Giacomin","2007","05",NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo",NA,"2006","09","15","Brasil","Minas Gerais","Marliéria","Lagoa Dom Helvécio - Margem direita da praia","-42.7322006225586","-19.7122001647949",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","28215","1","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","1801","S","Plantae","Cyclanthaceae","Thoracocarpus","bissectus","Thoracocarpus bissectus","(Vell.) Harling","Leandro L. Giacomin","2006","02",NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo",NA,"2005","11","02","Brasil","Minas Gerais","Marliéria","Campolina","-42.7322006225586","-19.7122001647949",NA,NA,"254",NA,NA,"Magnoliophyta","Pandanales","28215","2","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","1760","S","Plantae","Costaceae","Costus","scaber","Costus scaber","Ruiz & Pav.","Lívia Andrade Echternacht; Leandro Lacerda Giacomin","2005","08",NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo",NA,"2005","07","06","Brasil","Minas Gerais","Marliéria","Garapa Torta","-42.7322006225586","-19.7122001647949","19º45'a19º30'","42º38' a 48º28'","254",NA,NA,"Magnoliophyta","Zingiberales","28215","1","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","1895","S","Plantae","Orchidaceae","Gongora","bufonia","Gongora bufonia","Lindl.","Rubens Custódio Mota",NA,NA,NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo",NA,"2006","03","27","Brasil","Minas Gerais","Marliéria","Campolina","-42.7322006225586","-19.7122001647949",NA,NA,"254",NA,NA,"Magnoliophyta","Asparagales","28215","2","auto","Equisetopsida",NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","1788","S","Plantae","Bromeliaceae","Acanthostachys","strobilacea","Acanthostachys strobilacea","Link. Klotzsch & Otto",NA,NA,NA,NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo",NA,"2005","11","01","Brasil","Minas Gerais","Marliéria","Lagoa Preta","-42.7322006225586","-19.7122001647949",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","28215","2","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","1871","S","Plantae","Bromeliaceae","Acanthostachys","strobilacea","Acanthostachys strobilacea","Link. Klotzsch & Otto","Leandro L. Giacomin","2006","02",NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo",NA,"2006","02","08","Brasil","Minas Gerais","Marliéria","Campolina","-42.7322006225586","-19.7122001647949",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","28215","1","auto",NA,NA,NA,NA,NA,NA,NA,NA
