"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag"
"1","2019-12-16 17:50:19-03","NYBG","NYBG","00542284","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Aegiphila","riedeliana","Aegiphila riedeliana","Schauer","H. N. Moldenke","1951","08","01","G. M. Magalhaes","4563","1951","06","08","South America","Brazil","Minas Gerais","Matipó","12 ks. ao sul de Matipó","-42.3408","-20.2842","-42.3408","-20.2842","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405442 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00542284","NY00542284",NA,NA
"2","2020-03-04 11:48:51-03","UFRJ","RFA","40834","Preservedecimen","Plantae",NA,NA,"Cannabaceae","Celtis",NA,"Celtis",NA,NA,NA,NA,NA,"Maria Raquel Figueiredo",NA,"2015","11","14",NA,"Brasil","Minas Gerais","Matipó","Fazenda Baú","-42.339444","-20.280556","42º20'22''W","20º16'50''S",NA,"Erva com presença de espinhos. Folhas com ca. de 5 cm","RFA56880",NA,NA,NA
"3","2020-03-04 11:48:57-03","UFRJ","RFA","40832","Preservedecimen","Plantae",NA,NA,"Clusiaceae","Garcinia","brasiliensis","Garcinia brasiliensis","Mart.","Carla Y G. Manão",NA,NA,NA,"Maria Raquel Figueiredo",NA,"2015","11","14",NA,"Brasil","Minas Gerais","Matipó","Fazenda Revolta","-42.339444","-20.280556","42º20'22''W","20º16'50''S",NA,"Planta com folha ca, 13 cm. Frutos pequenos","RFA56878",NA,NA,NA
"4","2020-03-04 11:50:01-03","UFRJ","RFA","40835","Preservedecimen","Plantae",NA,NA,"Polygalaceae","Polygala",NA,"Polygala",NA,NA,NA,NA,NA,"Maria Raquel Figueiredo",NA,"2015","11","14",NA,"Brasil","Minas Gerais","Matipó","Fazenda revolta","-42.339444","-20.280556","42º20'22''W","20º16'50''S",NA,"Erva de ca. 50 cm de altura. Folha ca. 4 cm. Flor alvo-esverdeada","RFA56881",NA,NA,NA
"5","2020-03-04 11:50:07-03","UFRJ","RFA","40833","Preservedecimen","Plantae",NA,NA,"Rosaceae","Rosa",NA,"Rosa",NA,NA,NA,NA,NA,"Maria Raquel Figueiredo",NA,"2015","11","14",NA,"Brasil","Minas Gerais","Matipó","Fazenda Baú","-42.339444","-20.280556","42º20'22''W","20º16'50''S",NA,"Planta com folha ca. 4 cm com presença de espinhos. Flor avermelhada ca. 3,5 cm","RFA56879",NA,NA,NA
"6","2019-11-04 10:48:23-03","UFRJ","RFA","6449","Preservedecimen","Plantae",NA,NA,"Poaceae","Ichnanthus","ruprechtii","Ichnanthus ruprechtii","Döll","R.P.Oliveira",NA,NA,NA,"Mendes Magalhães","16882","1959","09",NA,NA,"Brasil","Minas Gerais","Matipó","Rio Casca","-42.3410987854004","-20.283899307251",NA,NA,NA,"Em tufos, pequenas colonias Habito: Erva","RFA31121",NA,"15491","auto"
"7","2020-03-10 08:30:31-03","UFV","VIC","20286","PreservedSpecimen","Plantae",NA,NA,"Rosaceae","Rubus",NA,"Rubus",NA,NA,NA,NA,NA,"Carvalho, A.F.","s.n.","1998","04","21",NA,"Brasil","Minas Gerais","Matipó",NA,"-42.3410987854004","-20.283899307251",NA,NA,NA,"Cipó de espinhos de flores brancas, fruto preto, parte abaxial da folha de cor esbranquiçada, medicinal.","VIC020286","VIC020286","15491","auto"
"8","2020-03-10 08:27:04-03","UFV","VIC","20282","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","usterii","Baccharis usterii","Heering","Schneider, A.A.","2008","07","31","Carvalho, A.F.","541","1998","04","24",NA,"Brasil","Minas Gerais","Matipó",NA,"-42.3410987854004","-20.283899307251",NA,NA,NA,"Erva de ocorrência em lugares pantanosos e menos amargo que o Baccharis trimera.","VIC020282","VIC020282","15491","auto"
"9","2020-03-10 08:28:02-03","UFV","VIC","20281","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Sambucus","australis","Sambucus australis","Cham. & Schltdl.",NA,NA,NA,NA,"Carvalho, A.F.","540","1998","04","21",NA,"Brasil","Minas Gerais","Matipó",NA,"-42.3410987854004","-20.283899307251",NA,NA,NA,"Arbusto medicinal, flores brancas.","VIC020281","VIC020281","15491","auto"
"10","2020-03-10 08:29:41-03","UFV","VIC","30891","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.",NA,NA,NA,NA,"Silva, A.F. da","2569","2006","01","25",NA,"Brasil","Minas Gerais","Matipó","Fazenda do brigadeiro","-42.3410987854004","-20.283899307251",NA,NA,NA,"Arvoreta de 2,5 m, ramos de pêlos ferruginosos, flores brancas.","VIC030891",NA,"15491","auto"
"11","2017-11-24 14:10:41-02","UFLA","ESAL","16969","S","Plantae",NA,NA,"Euphorbiaceae","Mabea","fistulifera","Mabea fistulifera","Mart.","Douglas A. de Carvalho",NA,NA,NA,"Jorge; Gustavo; Samantha","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Matipó","Fazenda Baú","-42.3410987854004","-20.283899307251",NA,NA,NA,"arbusto; 1,10m; avermelhada;; cerrado",NA,NA,"15491","auto"
"12","2020-03-02 16:00:27-03","UFF","NIT","NIT10591","PreservedSpecimen",NA,NA,NA,"Indet",NA,NA,NA,NA,NA,NA,NA,NA,"M. R. Figueiredo",NA,"2017","11","17",NA,"Brasil","Minas Gerais","Matipó","Fazenda Baú.","-42.3410987854004","-20.283899307251",NA,NA,NA,"Espalhado horizontalmente. Habito: Arbusto","NIT00003178",NA,"15491","auto"
"13","2020-03-02 16:00:29-03","UFF","NIT","NIT10590","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae",NA,NA,NA,NA,NA,NA,NA,NA,"M.R. Figueiredo",NA,"2017","11","17",NA,"Brasil","Minas Gerais","Matipó","Fazenda Revolta.","-42.3410987854004","-20.283899307251",NA,NA,NA,"Habito: Arbóreo","NIT00003177",NA,"15491","auto"
