"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag"
"1","2019-08-20 10:01:57-03","UNICAMP","UEC","97255","S","Plantae","Liliopsida","Xyridaceae","Xyris","seubertii","Xyris seubertii","L.A.Nilsson","Wanderley, MDGL","2001","08","27","Romero, R; Semir, J; Dutilh, JHA; Goldenberg, R","5058","1998","02","12","Brazil","Minas Gerais","Mendes Pimentel","Entrada da fazenda do José Nestor, Caminho para Morro do Chapéu. Campo arenoso-pedregoso, úmido, associado a afloramentos.","-41.4047012329102","-18.6611003875732","19634","Brácteas marrons. Corola e Estames amarelos.","UEC000512","UEC000512","auto"
"2","2019-08-20 10:02:18-03","UNICAMP","UEC","97253","S","Plantae","Magnoliopsida","Amaranthaceae","Gomphrena","agrestis","Gomphrena agrestis","Mart.","Senna, LR","2009","01",NA,"Romero, R; Semir, J; Dutilh, JHA; Goldenberg, R","5076","1998","02","12","Brazil","Minas Gerais","Mendes Pimentel","Estrada da Fazenda do José Nestor, camin","-41.4047012329102","-18.6611003875732","19634","flor, Afloramentos, cerrote. Herbácea, ca. 0,8 m. brácteas alvas. Flores amarelas.","UEC080763","UEC080763","auto"
"3","2019-08-20 10:06:38-03","UNICAMP","UEC","97542","S","Plantae","Magnoliopsida","Asteraceae","Senecio","pohlii","Senecio pohlii","Sch.Bip.","Nakajima, JN","1998","12",NA,"Romero, R; Semir, J; Goldenberg, R; Dutilh, JHA","5053","1998","02","12","Brazil","Minas Gerais","Mendes Pimentel","Estrada para Fazenda do José Nestor, Caminho para Morro do Chápeu.","-41.4047012329102","-18.6611003875732","19634","Afloramentos, em local brejoso. Herbácea, ca. 1m. Capítulos magenta -claro.; Em local brejoso.","UEC129366","UEC129366","auto"
"4","2019-08-20 10:12:24-03","UNICAMP","UEC","97244","S","Plantae","Magnoliopsida","Fabaceae","Camptosema",NA,"Camptosema","Hook. & Arn.","Ceolin, GB","2009","10",NA,"Romero, R; Semir, J; Dutilh, JHA; Goldenberg, R","5067","1998","02","12","Brazil","Minas Gerais","Mendes Pimentel","Estrada para Mendes, entrada da Fazenda","-41.4047012329102","-18.6611003875732","19634","flor, Afloramentos, arbusto ca. 1,3m, cálice vináceo, corola vermelho-clara, tornando-se coral, anteras cremes.","UEC151207","UEC151207","auto"
"5","2019-08-20 10:15:39-03","UNICAMP","UEC","97266","S","Plantae","Magnoliopsida","Gentianaceae","Voyria","aphylla","Voyria aphylla","(Jacq.) Pers.","Cordeiro, I","2002","10",NA,"Romero, R; Semir, J; Dutilh, JHA; Goldenberg, R","5055","1996","02","12","Brazil","Minas Gerais","Mendes Pimentel","Estrada para Mendes, entrada da Fazenda","-41.4047012329102","-18.6611003875732","19634","flor, Afloramentos, cerrote, em local brejoso. Planta 10 cm. Flores amarelas.","UEC134708","UEC134708","auto"
"6","2019-08-20 10:15:35-03","UNICAMP","UEC","97271","S","Plantae","Magnoliopsida","Gentianaceae","Irlbachia",NA,"Irlbachia","Mart.",NA,NA,NA,NA,"Romero, R; Semir, J; Dutilh, JHA; Goldenberg, R","5056","1996","02","12","Brazil","Minas Gerais","Mendes Pimentel","Estrada para Mendes, entrada da Fazenda","-41.4047012329102","-18.6611003875732","19634","flor, Afloramentos, cerrote. Planta ca. 0,7 m. cálice verde. Corola creme-esverdeada. Anteras cremes. Filetes verdes.","UEC134554","UEC134554","auto"
"7","2019-08-20 10:15:34-03","UNICAMP","UEC","5657","S","Plantae","Magnoliopsida","Gentianaceae","Curtia",NA,"Curtia",NA,NA,NA,NA,NA,"Semir, J; Dutilh, JHA; Goldenberg, R; Romero, R","5060","1998","02","12","Brazil","Minas Gerais","Mendes Pimentel","Estrada para Mendes, entrada da Fazenda","-41.4047012329102","-18.6611003875732","19634","flor, Campo em solo hidromórfico, beira do rio. Planta ca. 0,20 m. cálice verde. Corola lilás.","UEC041504","UEC041504","auto"
"8","2019-08-20 10:15:34-03","UNICAMP","UEC","97241","S","Plantae","Magnoliopsida","Gentianaceae","Curtia",NA,"Curtia",NA,NA,NA,NA,NA,"Semir, J; Dutilh, JHA; Goldenberg, R; Romero, R","5060","1998","02","12","Brazil","Minas Gerais","Mendes Pimentel","Estrada para Mendes, entrada da Fazenda","-41.4047012329102","-18.6611003875732","19634","flor, Campo em solo hidromórfico, beira do rio. Planta ca. 0,20 m. cálice verde. Corola lilás.","UEC134489","UEC134489","auto"
"9","2019-08-20 10:05:36-03","UNICAMP","UEC",NA,"S","Plantae","Magnoliopsida","Asteraceae","Eremanthus","seidelii","Eremanthus seidelii","MacLeish & Schumach.","Nakajima, JN","1998","11",NA,"Romero, R; Semir, J; Dutilh, JHA; Goldenberg, R","5072","1998","02","12","Brazil","Minas Gerais","Mendes Pimentel","Estrada para Mendes, entrada da Fazenda do José Nestor, caminho para Morro do Chapéu","-41.4047012329102","-18.6611003875732","19634","Afloramnetos, arvoreta ca. 2,5 m, cpítulos jovens.",NA,NA,"auto"
"10","2019-08-20 10:05:36-03","UNICAMP","UEC","97249","S","Plantae","Magnoliopsida","Asteraceae","Eremanthus","seidelii","Eremanthus seidelii","MacLeish & Schumach.","Nakajima, JN","1998","11",NA,"Romero, R; Semir, J; Dutilh, JHA; Goldenberg, R","5072","1998","02","12","Brazil","Minas Gerais","Mendes Pimentel","Estrada para Mendes, entrada da Fazenda do José Nestor, caminho para Morro do Chapéu","-41.4047012329102","-18.6611003875732","19634","Afloramnetos, arvoreta ca. 2,5 m, cpítulos jovens.","UEC069354","UEC069354","auto"
