"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","phylum","continentOcean","locality","coordinatePrecision","occurrenceRemarks","geoFlag","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","order","imagecode"
"1","2020-02-03 10:43:10-03","UNESP-IBB","BOTU","34221","PreservedSpecimen","Plantae","Fabaceae","Stylosanthes","guianensis","Stylosanthes guianensis","(Aubl.) Sw.","Costa, N.M. de Souza","1987","08","Coradin, L.","8384","1987","08","31","Brasil","Minas Gerais","Rodovia MG - 448, km 7 entre Mercês e Sanra Bárbara do Tugúrio","-43.4","-21.216667","43°24'00w","21°13'00s","BOTU034221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-09-24 10:44:20-03","EAO","IAN","107519","PreservedSpecimen","Plantae","Asteraceae","Vernonia","macrophylla","Vernonia macrophylla","Less.",NA,NA,NA,"Magalhães, MG","4720","1949","06","04","Brasil","Minas Gerais","Mercês","-43.3414001464844","-21.1942005157471",NA,NA,"IAN107519","Dicotiledônea","Southern America","Fazenda Santa Amélia. Umbrófila da mata úmida.","16536","Frequência regular. Flor alva.","auto",NA,NA,NA,NA,NA,NA
"3","2019-09-24 11:03:55-03","EAO","IAN","107549","PreservedSpecimen","Plantae","Rubiaceae","Bathysa",NA,"Bathysa",NA,NA,NA,NA,"Magalhães, MG","5136","1948","01","08","Brasil","Minas Gerais","Mercês","-43.3414001464844","-21.1942005157471",NA,NA,"IAN107549","Dicotiledônea","Southern America","Amostra 1 e 2. Fazenda Boa Esperança, na mata secular explorada.","16536","Árvore de 15m. de altura, freq. Isolada entre si.","auto",NA,NA,NA,NA,NA,NA
"4","2019-09-24 11:04:11-03","EAO","IAN","105490","PreservedSpecimen","Plantae","Rubiaceae","Faramea","multiflora","Faramea multiflora","A.Rich. ex DC.","Jardim, JG","2005","04","Magalhães, MG","4854","1949","04","03","Brasil","Minas Gerais","Mercês","-43.3414001464844","-21.1942005157471",NA,NA,"IAN105490","Dicotiledônea","Southern America","Cabeceira do Córrego Espírito Santo; capoeirinha.","16536","Subarbusto muiti frequetes; frutos maduros azuis.","auto","12",NA,NA,NA,NA,NA
"5","2020-02-13 14:10:13-03","MN","R","66547","S","Plantae","Fabaceae","Inga","flagelliformis","Inga flagelliformis","(Vell.) Mart.","Garcia, F.C.P.","1999","02","Gardner, G.","4626","1963","09","06","Brasil","Minas Gerais","Arraial das Merces",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-22 11:45:00-03","IPA","IPA","50548","S","Plantae","Leguminosae-Caes.","Tachigali","rugosa","Tachigali rugosa","(Mart. ex Benth.) Zarucchi & Pipoly","Lima, H.C. de","2008","08","Barreto, A.","179","1980","10","20","Brasil","Minas Gerais","Mercês","-43.3414001464844","-21.1942005157471",NA,NA,"IPA0050548","Plantae","Southern America","3 km após o Rio das Mortes, estrada de cassiterita.","16536","Árvore ca. 20m, cálice e corola verde claro. Frequência densa","auto","01","980","980",NA,NA,NA
"7","2019-11-21 14:42:40-03","UFJF","CESJ","16309","PreservedSpecimen","Plantae","Poaceae","Imperata","brasiliensis","Imperata brasiliensis","Trin.","T.Angélica","1979","08","T.Angélica","s.n.","1979","08","04","Brasil","Minas Gerais","Mercês","-43.3414001464844","-21.1942005157471",NA,NA,"CESJ016309","Angiosperma","América do Sul",NA,"16536","Rizoma reptante, comprido, nodoso, vários colmos de 30 a 80 cm de altura, forma pequenas sacos, são lisos, folhas envaginantes, lineares, lanceoladas, pontudas, inflorescência em panicula, reunida em espigas.","auto","04",NA,NA,NA,NA,NA
"8","2019-11-21 14:42:40-03","UFJF","CESJ","16341","PreservedSpecimen","Plantae","Poaceae","Megathrysus","maximus","Megathrysus maximus","(Jacq.) B.K.Simon & S.W.Jacobs","R.S. Rodrigues","2016","04","T.Angélica","s.n.","1979","08","04","Brasil","Minas Gerais","Mercês","-43.3414001464844","-21.1942005157471",NA,NA,"CESJ016341","Angiosperma","América do Sul",NA,"16536","Perene, rustica, grandes e densas touceiras, vegeta bem em beiras de estradas, lugares secos e altos. Cresce com rapidez, inflorescência em panicula.","auto","29",NA,NA,NA,NA,NA
"9","2019-12-06 14:51:25-03","MBM","MBM","116688","S","Plantae","Fabaceae","Tachigali","rugosa","Tachigali rugosa","(Mart. ex Benth.) Zarucchi & Pipoly","Lima, H.C. de",NA,NA,"Barreto, R.A.A.","179",NA,NA,NA,"Brazil","Minas Gerais","Mercês","-43.3414001464844","-21.1942005157471",NA,NA,"MBM116688",NA,"Southern America","3km após o Rio das Mortes, estrada de Cassiterita","16536",NA,"auto",NA,NA,NA,NA,NA,NA
"10","2019-10-02 15:04:45-03","UFMG","BHCB","2226","PreservedSpecimen","Plantae","Theaceae","Thea","sinensis","Thea sinensis","L.",NA,NA,NA,NA,"s.n.","1957",NA,NA,"Brasil","Minas Gerais","Mercês","-43.3414001464844","-21.1942005157471",NA,NA,NA,"Dicotyledon","Southern America",NA,"16536","terrestre;árvore","auto",NA,NA,NA,NA,NA,NA
