"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","order","class","continentOcean","preparationType","barcode","imagecode","infraspecificEpithet","typeStatus","previousCatalogNumber","relatedCatalogItem"
"1","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","1569","S","Plantae","Pteridophyta","Blechnaceae","Telmatoblechnum","serrulatum","Telmatoblechnum serrulatum","(Rich.) Perrie, D.J. Ohlsen & Brownsey.","Carlos A. Ferreira Jr.","2011","07","07","Carlos Alberto F. Jr.; Fernando Araújo e Lucas Assis","CAF321","2011","07","06","Brasil","Minas Gerais","Morro do Pilar","Área da nova estrada que liga Santana do Riacho a Serro.","-43.3763999938965","-19.2155990600586","43°26.770'","19°14.784'","18539","917","917","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1571","S","Plantae","Magnoliophyta","Asteraceae","Eremanthus","cf. crotonoides","Eremanthus cf. crotonoides","(DC.) Sch.Bip.","Carlos A. Ferreira Jr.","2011","07","07","Carlos Alberto F. Jr.; Fernando Araújo e Lucas Assis","CAF323","2011","07","06","Brasil","Minas Gerais","Morro do Pilar","Área da nova estrada que liga Santana do Riacho a Serro.","-43.3763999938965","-19.2155990600586","43°26.770'","19°14.784'","18539","917","917",NA,"254","auto","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1572","S","Plantae","Magnoliophyta","Bromeliaceae","Aechmea","lamarchei","Aechmea lamarchei","Mez","Carlos A. Ferreira Jr.","2011","07","07","Carlos Alberto F. Jr.; Fernando Araújo e Lucas Assis","CAF325","2011","07","06","Brasil","Minas Gerais","Morro do Pilar","Área da nova estrada que liga Santana do Riacho a Serro.","-43.3763999938965","-19.2155990600586","43°26.770'","19°14.784'","18539","917","917","1","254","auto","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","3348","S","Plantae","Pterydophyta","Anemiaceae","Anemia","raddiana","Anemia raddiana","Link","Carlos A. Ferreira Jr.","2011","07","07","Carlos Alberto F. Jr.; Fernando Araújo e Lucas Assis","CAF324","2011","07","06","Brasil","Minas Gerais","Morro do Pilar","Área da nova estrada que liga Santana do Riacho a Serro.","-43.3763999938965","-19.2155990600586","43°26.770'","19°14.784'","18539","917","917","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:42-03","FZB-BH","CVJBFZB","551","S","Plantae","Magnoliophyta","Bromeliaceae","Billbergia","sp.","Billbergia sp.",NA,"Elton. C. M. Leme","2011","08",NA,"Elton M. C. Leme; Bruno Rezende Silva",NA,"2000","05","25","Brasil","Minas Gerais","Morro do Pilar","Morro do Pilar, Morro do Caxinguelê","-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,"1","254","auto","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","1570","S","Plantae","Magnoliophyta","Marantaceae","Calathea","cf. sp.","Calathea cf. sp.",NA,"Carlos A. Ferreira Jr.","2011","07","07","Carlos Alberto F. Jr.; Fernando Araújo e Lucas Assis","CAF322","2011","07","06","Brasil","Minas Gerais","Morro do Pilar","Área da nova estrada que liga Santana do Riacho a Serro.","-43.3763999938965","-19.2155990600586","43°26.770'","19°14.784'","18539","917","917","1","254","auto","Zingiberales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1565","S","Plantae","Pterifophyta","Cyatheaceae","Cyathea","sp.","Cyathea sp.",NA,"Carlos A. Ferreira Jr.","2011","07","07","Carlos Alberto F. Jr.; Fernando Araújo e Lucas Assis","CAF317","2011","07","06","Brasil","Minas Gerais","Morro do Pilar","Área da nova estrada que liga Santana do Riacho a Serro.","-43.3763999938965","-19.2155990600586","43°26.260'","19°15.127'","18539","836","836",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1573","S","Plantae","Pterifophyta","Cyatheaceae","Cyathea","sp.","Cyathea sp.",NA,"Carlos A. Ferreira Jr.","2011","07","07","Carlos Alberto F. Jr.; Fernando Araújo e Lucas Assis","CAF326","2011","07","06","Brasil","Minas Gerais","Morro do Pilar","Área da nova estrada que liga Santana do Riacho a Serro.","-43.3763999938965","-19.2155990600586","43°27.109'","19°14.717'","18539","955","955",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1574","S","Plantae","Pterifophyta","Cyatheaceae","Cyathea","sp.","Cyathea sp.",NA,"Carlos A. Ferreira Jr.","2011","07","07","Carlos Alberto F. Jr.; Fernando Araújo e Lucas Assis","CAF326","2011","07","06","Brasil","Minas Gerais","Morro do Pilar","Área da nova estrada que liga Santana do Riacho a Serro.","-43.3763999938965","-19.2155990600586","43°27.109'","19°14.717'","18539","956","956",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1568","S","Plantae","Pterifophyta","Cyatheaceae","Cyathea","sp.","Cyathea sp.",NA,"Carlos A. Ferreira Jr.","2011","07","07","Carlos Alberto F. Jr.; Fernando Araújo e Lucas Assis","CAF320","2011","07","06","Brasil","Minas Gerais","Morro do Pilar","Área da nova estrada que liga Santana do Riacho a Serro.","-43.3763999938965","-19.2155990600586","43°26.770'","19°14.784'","18539","917","917",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
