"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","monthIdentified","class","dayIdentified","coordinatePrecision","previousCatalogNumber","geoFlag","typeStatus","infraspecificEpithet","relatedCatalogItem"
"1","2019-12-16 18:34:54-03","NYBG","NYBG","559265","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","hernandiifolia","Peperomia hernandiifolia","(Vahl) A.Dietr.","R. Callejas Posada","1983","G. G. Hatschbach","46683","1983","08","03","South America","Brazil","Espírito Santo","Muniz Freire","Ibatiba, 22 km L","-41.4131","-20.4644","-41.4131","-20.4644","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396502 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00559265","NY00559265",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:35:27-03","NYBG","NYBG","555270","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","tetraphylla","Peperomia tetraphylla","(G.Forst.) Hook. & Arn.","R. Callejas Posada","1985","G. G. Hatschbach","47684","1984","04","06","South America","Brazil","Espírito Santo","Muniz Freire","Rod. BR-262","-41.4131","-20.4644","-41.4131","-20.4644",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603971 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00555270","NY00555270",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:35:27-03","NYBG","NYBG","555271","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","tetraphylla","Peperomia tetraphylla","(G.Forst.) Hook. & Arn.","R. Callejas Posada","1985","G. G. Hatschbach","46693","1983","08","04","South America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire","-41.4131","-20.4644","-41.4131","-20.4644",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603972 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00555271","NY00555271",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:35:43-03","NYBG","NYBG","555583","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","R. Callejas Posada","1983","G. G. Hatschbach","46680","1983","08","03","South America","Brazil","Espírito Santo","Muniz Freire","Ibatiba, 22 km L","-41.4131","-20.4644","-41.4131","-20.4644","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572845 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00555583","NY00555583",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:36:02-03","NYBG","NYBG","556083","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","coccoloboides","Piper coccoloboides","Kunth","E. J. Tepe","2007","G. G. Hatschbach","47686","1984","04","06","South America","Brazil","Espírito Santo","Muniz Freire","Rod. BR-262","-41.4131","-20.4644","-41.4131","-20.4644",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=671688 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00556083","NY00556083",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:36:51-03","NYBG","NYBG","557258","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","solmsianum","Piper solmsianum","C.DC.","R. Callejas Posada","1983","G. G. Hatschbach","45175","1982","07","21","South America","Brazil","Espírito Santo","Muniz Freire","Rod. BR-262","-41.4131","-20.4644","-41.4131","-20.4644","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=137061 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00557258","NY00557258",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 19:03:02-03","NYBG","NYBG","669844","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cladotrichum","Solanum cladotrichum","Vand. ex Dunal","M. H. Nee","1986","G. G. Hatschbach","46870","1983","10","15","South America","Brazil","Espírito Santo","Muniz Freire","Arredores.","-41.4131","-20.4644","-41.4131","-20.4644",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731532 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00669844","NY00669844",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 19:03:36-03","NYBG","NYBG","00700311","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","didymum","Solanum didymum","Dunal","L. L. Giacomin","2013","G. G. Hatschbach","45174","1982","07","21","South America","Brazil","Espírito Santo","Muniz Freire","Rod. BR-262.","-41.4131","-20.4644","-41.4131","-20.4644","1100","1100","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=833723 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00700311","NY00700311",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 19:03:36-03","NYBG","NYBG","770360","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","didymum","Solanum didymum","Dunal","L. L. Giacomin","2013","G. G. Hatschbach","45174","1982","07","21","South America","Brazil","Espírito Santo","Muniz Freire","Rod. BR-262.","-41.4131","-20.4644","-41.4131","-20.4644","1100","1100","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398796 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00770360","NY00770360",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 19:03:52-03","NYBG","NYBG","669308","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","flaccidum","Solanum flaccidum","Vell.","M. H. Nee","1985","G. G. Hatschbach","45169","1982","07","21","South America","Brazil","Espírito Santo","Muniz Freire","Rod. BR-262.","-41.4131","-20.4644","-41.4131","-20.4644","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447489 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00669308","NY00669308",NA,NA,NA,NA,NA,NA,NA,NA,NA
