"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","previousCatalogNumber","relatedCatalogItem"
"1","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","1967","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Acianthera","sp.","Acianthera sp.","Demian Ferreira Félix;","2007","10","23","Brasil","Minas Gerais","Muriaé","Serra do Brigadeiro","-42.3664016723633","-21.1305999755859","32715","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1969","S","Plantae","Pteridophyta","Equisetopsida","Polypodiales","Aspleniaceae","Asplenium","auritum","Asplenium auritum","Demian Ferreira Félix;","2007","10","23","Brasil","Minas Gerais","Muriaé","Serra do Brigadeiro","-42.3664016723633","-21.1305999755859","32715",NA,"254","auto","Sw.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:11:02-03","FZB-BH","CVJBFZB","2339","S","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Campyloneurum","sp.","Campyloneurum sp.","Demian Ferreira Félix;","2007","10","23","Brasil","Minas Gerais","Muriaé","Serra do Brigadeiro","-42.3664016723633","-21.1305999755859","32715","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","2338","S","Plantae","Pterifophyta",NA,NA,"Dryopteridaceae","Elaphoglossum","sp.","Elaphoglossum sp.","Demian Ferreira Félix;","2007","10","23","Brasil","Minas Gerais","Muriaé","Serra do Brigadeiro","-42.3664016723633","-21.1305999755859","32715",NA,"254","auto",NA,"Demian Ferreira Félix","2007","10","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:11:02-03","FZB-BH","CVJBFZB","1970","S","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Microgramma","sp.","Microgramma sp.","Demian Ferreira Félix;","2007","10","23","Brasil","Minas Gerais","Muriaé","Serra do Brigadeiro","-42.3664016723633","-21.1305999755859","32715","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:11:02-03","FZB-BH","CVJBFZB","1968","S","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Microgramma","sp.","Microgramma sp.","Demian Ferreira Félix;","2007","10","23","Brasil","Minas Gerais","Muriaé","Serra do Brigadeiro","-42.3664016723633","-21.1305999755859","32715","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:11:02-03","FZB-BH","CVJBFZB","2342","S","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Microgramma","sp.","Microgramma sp.","Demian Ferreira Félix;","2007","10","23","Brasil","Minas Gerais","Muriaé","Serra do Brigadeiro","-42.3664016723633","-21.1305999755859","32715","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","2337","S","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Niphidium","sp.","Niphidium sp.","Demian Ferreira Félix;","2007","10","23","Brasil","Minas Gerais","Muriaé","Serra do Brigadeiro","-42.3664016723633","-21.1305999755859","32715","1","254","auto",NA,"Thais Elias Almeida","2008","05","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","1966","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Octomeria","grandiflora","Octomeria grandiflora","Demian Ferreira Félix;","2007","10","23","Brasil","Minas Gerais","Muriaé","Serra do Brigadeiro","-42.3664016723633","-21.1305999755859","32715","1","254","auto","Lindl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","2335","S","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Pecluma","sp.","Pecluma sp.","Demian Ferreira Félix;","2007","10","23","Brasil","Minas Gerais","Muriaé","Serra do Brigadeiro","-42.3664016723633","-21.1305999755859","32715","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
