"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem","typeStatus","class"
"1","2019-12-16 18:37:43-03","NYBG","NYBG","02711704","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","D. P. Saraiva","67","2011","02","09","South America","Brazil","Minas Gerais","Mutum","Localidadfe de Imbiruçú. Estrada de imburiçú para BR 262. Pedra Santa. Inselberg.","-41.432222","-20.175","-41.432222","-20.175","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2998326 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02711704","NY02711704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-22 15:19:07-03","ESALQ","ESA","117893","S","Plantae","Magnoliophyta",NA,"Fabaceae","Senna",NA,"Senna",NA,"Forzza, R.C.","6056","2011","02","09",NA,"Brasil","Minas Gerais","Mutum",NA,"-41.4383010864258","-19.7999992370605",NA,NA,NA,NA,"ESA117893","ESA117893","45079","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-07-11 08:53:00-03","ESALQ","ESA","107446","S","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","brasiliensis","Sinningia brasiliensis",NA,"Saavedra, M.M.","908","2009","05","31",NA,"Brasil","Minas Gerais","Mutum",NA,"-41.4383010864258","-19.7999992370605",NA,NA,NA,NA,"ESA107446","ESA107446","45079","auto","Rossini, J.","2014","09","22",NA,NA,NA,NA,NA
"4","2020-03-10 08:30:07-03","UFV","VIC","19298F","PreservedSpecimen","Plantae",NA,NA,"Phyllachoraceae","Coccodiella","miconiae(a)","Coccodiella miconiae(a)","(Duby) I. Hino & Katum.","Barreto, Robert W","74","1996","12","16",NA,"Brasil","Minas Gerais","Mutum","Km 197 estrada Lajinha","-41.4383010864258","-19.7999992370605",NA,NA,NA,"Miconia calvescens DC.","VIC19298F",NA,"45079","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:44:15-03","UFJF","CESJ","58281","PreservedSpecimen","Plantae","Angiosperma",NA,"Rubiaceae","Bradea","brasiliensis","Bradea brasiliensis","Standl.","R.C. Forzza; K.V.Hmeljeviski, NVasconcel; J.Silva","6071","2011","02","09","América do Sul","Brasil","Minas Gerais","Mutum","Imbiruçu, estrada de Imbiruçu para a BR-262, Pedra Santa. 20º10'30 S, 41º25'56 W. Elev.: 1204m.","-41.4383010864258","-19.7999992370605",NA,NA,NA,"Inselbergue. Arbusto, ca. 1m alt. Folhas discolores. Brácteas de flores azuis.","CESJ058281",NA,"45079","auto","J.A. Oliveira","2015","11","20",NA,NA,NA,NA,NA
"6","2019-12-06 19:30:24-03","UFES","VIES","28570","S","Plantae",NA,NA,"Velloziaceae","Vellozia","albiflora","Vellozia albiflora","Pohl","Forzza, R.C.; K.V. Hmeljeviski; N.Vasconcelos; D.P.Saraiva; J. Silva","6069","2011","02","09",NA,"Brasil","Minas Gerais","Mutum","Localidade de Imbiruçú. Estrada de imburiçú para BR 262. Pedra Santa. Inselbergue.","-41.432222","-20.175","41º25'56''W","20º10'30''S",NA,NA,"VIES028570","VIES028570",NA,NA,"R. Mello-Silva","2015",NA,NA,"1204","1204",NA,NA,NA
"7","2019-06-27 10:26:29-03","UFES","VIES","27415","S","Plantae",NA,NA,"Primulaceae","Myrsine","gardneriana","Myrsine gardneriana","A.DC.","Saavedra, M.M.; Forzza, R.C.; Menini Neto, L. & Silva, J.C.","909","2009","05","31",NA,"Brasil","Minas Gerais","Mutum","Imbiruçu.","-41.4383010864258","-19.7999992370605",NA,NA,NA,NA,"VIES027415","VIES027415","45079","auto","Freitas, M.F.","2010",NA,NA,"1317","1317",NA,NA,NA
"8","2019-12-06 14:53:29-03","MBM","MBM","353465","S","Plantae",NA,NA,"Gentianaceae","Schultesia","gracilis","Schultesia gracilis","Mart.","Saavedra, M.M.; et al.; et al.","900","2009","05","31","Southern America","Brazil","Minas Gerais","Mutum","Localidade de Imbiruçu. Pedra Santa a 6 km da BR 262. Campo de altitude alterado","-41.4383010864258","-19.7999992370605",NA,NA,NA,"Erva em solo sncharcado por briófitas sobre a pedra, cálice alado verde, corola amarela","MBM353465","MBM353465","45079","auto","Guimarães, E.F.","2009","09","03","1317","1317",NA,NA,NA
"9","2019-10-02 14:53:41-03","UFMG","BHCB","173197","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Chamaecrista",NA,"Chamaecrista","Moench","Saraiva, DP; Hmeljevisk, KV; Vasconcelos, N","71","2011","02","09","Southern America","Brasil","Minas Gerais","Mutum","Imbiruçu, Estrada de Imbiruçu BR 262, Pedra Santa.","-41.432222","-20.175","-41.432222","-20.175",NA,"Erva junto a moitas de samambaia. Caule Vináceo, Folhas verdes, frutos verdes, flores com cálice vináceo e corola amarela, estames amarelos.","BHCB017941",NA,NA,NA,NA,NA,NA,NA,"1204","1204",NA,NA,NA
"10","2019-10-02 15:00:28-03","UFMG","BHCB","137783","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","hebepetala","Myrcia hebepetala","DC.","Saavedra, MM; Forzza, RC; Menini Neto, L; Silva, JC","914","2009","05","31","Southern America","Brasil","Minas Gerais","Mutum","Ibiruçu. Pedra Santa., A 6 km da BR 262. Campo de altitude alterado.","-41.434167","-20.176389","-41.434167","-20.176389",NA,"Campo de altitude alterado. Mata nebular. Árvore, ca. 4 m. Folhas discolores com nervura creme na face abaxial. Flores com cálice ferrugíneo. Corola, estames e estiletes alvos.; Mata nebular.","BHCB018028",NA,NA,NA,NA,"2014","09",NA,"1317","1317",NA,NA,NA
