"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","scientificNameAuthorship","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","phylum","class","order","continentOcean","minimumElevationInMeters","maximumElevationInMeters"
"1","2015-07-02 14:04:17-03","JBP","HPL","7000","S","Plantae","Sapotaceae","Pouteria","aff. torta","Pouteria aff. torta","C.E. Carneiro","2007","12","01","R. Tsuji, H. Lorenzi et al.","1580","2007","01","28","Brasil","MG","Naque","Coletado na área da CENIBRA","-42.3283","-19.2303","13992","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:04:05-03","JBP","HPL","9571","S","Plantae","Rubiaceae","Simira",NA,"Simira",NA,NA,NA,NA,"R. Tsuji","2336","2007","11","28","Brasil","MG","Naque","Coletado nas proximidades do município de Naque; estrada Naque-Açucena, em trecho não-asfaltado (bairro Naquinho).","-42.3283","-19.2303","13992","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:03:00-03","JBP","HPL","6994","S","Plantae","Meliaceae","Trichilia","pallida","Trichilia pallida","J.A. Pastore","2008","06","10","R. Tsuji, H. Lorenzi et al.","1574","2007","01","28","Brasil","MG","Naque","Coletado na área da CENIBRA","-42.3283","-19.2303","13992","auto","Sw.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-03-10 08:29:29-03","UFV","VIC","37498","PreservedSpecimen","Plantae","Mimosoideae","Senegalia","martiusiana","Senegalia martiusiana","Terra, V.","2012","05","30","Terra, V.; Fernandes, J.M.; Miller, J.T.","652","2012","05","30","Brasil","Minas Gerais","Naque","Parque Estadual Alto Cariri","-42.322583","-19.021361",NA,NA,"(Steud) Seigler & Ebinger","-42.322583","-19.021361","Trepadeira em borda de mata. Floresta estacional.","VIC037498","VIC037498",NA,NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:29:29-03","UFV","VIC","37499","PreservedSpecimen","Plantae","Mimosoideae","Senegalia",NA,"Senegalia","Terra, V.","2012","05","30","Terra, V.; Fernandes, J.M.; Miller, J.T.","651","2012","05","30","Brasil","Minas Gerais","Naque","Parque Estadual Alto Cariri","-42.3283004760742","-19.2303009033203","13992","auto","Raf.",NA,NA,"Arbusto escandente. Floresta estacional.","VIC037499","VIC037499",NA,NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:29:31-03","UFV","VIC","37497","PreservedSpecimen","Plantae","Mimosoideae","Senegalia","tenuifolia","Senegalia tenuifolia","Terra, V.","2012","05","30","Terra, V.; Fernandes, J.M.; Miller, J.T.","653","2012","05","30","Brasil","Minas Gerais","Naque","Parque Estadual Alto Cariri","-42.3283004760742","-19.2303009033203","13992","auto","(L.) Britton & Rose",NA,NA,"Arbusto escandente. Floresta estacional.","VIC037497","VIC037497",NA,NA,NA,NA,NA,NA,NA
"7","2020-03-10 08:29:22-03","UFV","VIC","35024","PreservedSpecimen","Plantae","Mimosoideae","Inga","vera","Inga vera affinis","Fernandes, J.M.","2009","02","09","Fernandes, J.M.","950","2009","02","09","Brasil","Minas Gerais","Naque","Perímetro urbano, Mata ciliar.","-42.3283004760742","-19.2303009033203","13992","auto","(DC.) T.D. Penn.",NA,NA,"Árvore, c.a. de 10 metros de altura; frutos secos.","VIC035024","VIC035024","affinis",NA,NA,NA,NA,NA,NA
"8","2019-05-06 11:57:57-03","UFU","HUFU","71195","S","Plantae","Fabaceae","Senegalia","bahiensis","Senegalia bahiensis","Terra, V.","2012","05","30","Terra, V.; Fernandes, J.M. & Miller, J.T.","657","2012","05","31","Brasil","Minas Gerais","Naque","Santa Maria do Salto, Beira da estrada entre Naque e Santa Maria do Salto.","-40.976111","-16.443889",NA,NA,"(Benth.) Seigler & Ebinger","-40.976111","-16.443889","Arvoreta bem esgalhadada","HUFU00036322","HUFU00036322",NA,NA,NA,NA,NA,NA,NA
"9","2019-05-06 11:57:57-03","UFU","HUFU","71192","S","Plantae","Fabaceae","Senegalia","monacantha","Senegalia monacantha","Terra, V.","2012","05","31","Terra, V.; Fernandes, J.M. & Miller, J.T.","658","2012","05","31","Brasil","Minas Gerais","Naque","Santa Maria do Salto, Beira da estrada entre Naque e Santa Maria do Salto.","-40.976111","-16.443889",NA,NA,"(Willd.) Seigler & Ebinger","-40.976111","-16.443889","Arvoreta Floresta estacional.","HUFU00036320","HUFU00036320",NA,NA,NA,NA,NA,NA,NA
"10","2019-05-06 11:57:57-03","UFU","HUFU","71086","S","Plantae","Fabaceae","Senegalia","tenuifolia","Senegalia tenuifolia","Terra, V.","2012","05","30","Terra, V.; Fernandes, J.M. & Miller, J.T.","653","2012","05","30","Brasil","Minas Gerais","Naque","Parque Estadual Alto Cariri","-42.3283004760742","-19.2303009033203","13992","auto","(L.) Britton & Rose",NA,NA,"Arbusto escandente.; Floresta estacional.","HUFU00036260","HUFU00036260",NA,NA,NA,NA,NA,NA,NA
