"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","day","recordNumber","occurrenceRemarks","continentOcean","locality","verbatimLongitude","verbatimLatitude","class","order"
"1","2019-07-11 08:55:36-03","ESALQ","ESA","76920","S","Plantae","Magnoliophyta","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata","O.Berg","Costa, L.V.","2000","06","Brasil","Minas Gerais","Nova Era","-43.0374984741211","-19.75","21093","ESA076920","ESA076920","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-22 15:15:04-03","ESALQ","ESA","101316","S","Plantae","Magnoliophyta","Cucurbitaceae","Cayaponia","tayuya","Cayaponia tayuya",NA,"Costa, L.V.","1998","01","Brasil","Minas Gerais","Nova Era","-43.0374984741211","-19.75","21093","ESA101316","ESA101316","auto","Gomes-Klein, V.L.","2014","06","08","25",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:30:58-03","UFV","VIC","7738","PreservedSpecimen","Plantae",NA,"Verbenaceae","Clerodendron","thomsonae","Clerodendron thomsonae","Balfour","Cotta, V.A.","1982","11","Brasil","Minas Gerais","Nova Era","-43.0374984741211","-19.75","21093","VIC007738","VIC007738","auto","Milene Faria Vieira","1983","02","28","10","s.n.","Planta ornamental, trepadeira, corola branca, trabalho prático de BVE 230",NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:35:42-03","UFJF","CESJ","42053","PreservedSpecimen","Plantae","Angiosperma","Euphorbiaceae","Joannesia","princeps","Joannesia princeps","Vell.","P.A. Araújo","2004","05","Brasil","Minas Gerais","Nova Era","-43.0374984741211","-19.75","21093","CESJ042053",NA,"auto","F.R.G. Salimena","2004","05",NA,"19","s.n.","Árvore ca. 20m. Folha verde, mais escura nas nervuras. Frutos castanhos. Material incluído na carpoteca.","América do Sul",NA,NA,NA,NA,NA
"5","2019-10-02 14:53:03-03","UFMG","BHCB","22265","PreservedSpecimen","Plantae","Dicotyledon","Euphorbiaceae","Croton",NA,"Croton","L.","Costa, LV; Atalla, NC","1992","08","Brasil","Minas Gerais","Nova Era","-43.0374984741211","-19.75","21093",NA,NA,"auto",NA,NA,NA,NA,"20","s.n.",NA,"Southern America",NA,NA,NA,NA,NA
"6","2019-10-02 14:55:08-03","UFMG","BHCB","22305","PreservedSpecimen","Plantae","Dicotyledon","Lamiaceae","Hyptis","arborea","Hyptis arborea","Benth.","Costa, LV; Atalla, NC","1992","08","Brasil","Minas Gerais","Nova Era","-43.0374984741211","-19.75","21093",NA,NA,"auto",NA,NA,NA,NA,"20","s.n.",NA,"Southern America",NA,NA,NA,NA,NA
"7","2019-10-02 14:55:08-03","UFMG","BHCB","22305","PreservedSpecimen","Plantae","Dicotyledon","Lamiaceae","Hyptis","arborea","Hyptis arborea","Benth.","Costa, LV; Atalla, NC","1992","08","Brasil","Minas Gerais","Nova Era","-43.0374984741211","-19.75","21093",NA,NA,"auto",NA,NA,NA,NA,"20","s.n.",NA,"Southern America",NA,NA,NA,NA,NA
"8","2019-10-02 14:53:09-03","UFMG","BHCB","22265","PreservedSpecimen","Plantae","Dicotyledon","Euphorbiaceae","Croton","medusae","Croton medusae","Müll.Arg.","Costa, LV; Atalla, NC","1992","08","Brasil","Minas Gerais","Nova Era","-43.0374984741211","-19.75","21093","BHCB047944",NA,"auto",NA,NA,NA,NA,"20","s.n.",NA,"Southern America",NA,NA,NA,NA,NA
"9","2019-10-02 15:06:37-03","UFMG","BHCB","22285","PreservedSpecimen","Plantae","Monocotyledon","Cyperaceae","Scleria","latifolia","Scleria latifolia","Sw.","Costa, LV; Atalla, NC","1992","08","Brasil","Minas Gerais","Nova Era","-43.0374984741211","-19.75","21093",NA,NA,"auto",NA,NA,NA,NA,"20","s.n.",NA,"Southern America",NA,NA,NA,NA,NA
"10","2019-10-02 15:06:37-03","UFMG","BHCB","22285","PreservedSpecimen","Plantae","Monocotyledon","Cyperaceae","Scleria","latifolia","Scleria latifolia","Sw.","Costa, LV; Atalla, NC","1992","08","Brasil","Minas Gerais","Nova Era","-43.0374984741211","-19.75","21093",NA,NA,"auto",NA,NA,NA,NA,"20","s.n.",NA,"Southern America",NA,NA,NA,NA,NA
"11","2019-10-02 14:57:13-03","UFMG","BHCB","22249","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Miconia","mirabilis","Miconia mirabilis","(Aubl.) L.O.Williams","Costa, LV; Atalla, NC","1992","08","Brasil","Minas Gerais","Nova Era","-43.0374984741211","-19.75","21093",NA,NA,"auto",NA,NA,NA,NA,"21","s.n.",NA,"Southern America",NA,NA,NA,NA,NA
"12","2019-10-02 14:57:13-03","UFMG","BHCB","22249","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Miconia","mirabilis","Miconia mirabilis","(Aubl.) L.O.Williams","Costa, LV; Atalla, NC","1992","08","Brasil","Minas Gerais","Nova Era","-43.0374984741211","-19.75","21093",NA,NA,"auto",NA,NA,NA,NA,"21","s.n.",NA,"Southern America",NA,NA,NA,NA,NA
