"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","recordNumber","occurrenceRemarks","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","continentOcean","barcode","imagecode","preparationType","individualCount","infraspecificEpithet","typeStatus","class","order"
"1","2020-01-28 13:11:36-03","MCN-PUC-MINAS","HPUC-MG","BRI186","S","Plantae","Bryophyta","Bryaceae","Bryum","argenteum","Bryum argenteum","R. A. Magalhães; C.S.C. Andrade; T. V. Boas","R. A. Magalhães","2013","09","22","Brasil","Minas Gerais","Nova União","Nova União","-43.579722","-19.661944","43°34'47'' W","19°39'43'' S","891","891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-18 15:50:33-03","UFOP","OUPR","29547","PreservedSpecimen","Plantae",NA,"Acanthaceae",NA,NA,NA,NA,"Echternacht, L.; Pignal, M.","2016","09","18","Brasil","Minas Gerais","Nova União","Altamira, Serra do Cipó. Mutuca de Cima. Cachoeira Alta.","-43.56875","-19.5055","-43.56875","-19.5055","1168","1168","2674","Arbusto de cerca de 0,5 m de altura, ereto a prostrado. Folhas discolores, cálice esverdeado, corola amarela, estames exsertos amarelos.; Entre os afloramentos da cachoeira, área constantemente úmida.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-05 16:30:53-03","UFOP","OUPR","32279","PreservedSpecimen","Plantae",NA,"Acanthaceae",NA,NA,NA,NA,"Pignal, M.; Echternacht, L.","2016","09","18","Brasil","Minas Gerais","Nova União","Altamira","-43.564639","-19.511139","-43.564639","-19.511139","1149","1149","4979","Arbuste de sous-bois. Longues feuilles veloutées. Inflorescence dense, fleurs blanchâtres, oranges. Forêt atlantique, Forêt secondaire.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-06 10:13:52-03","UFOP","OUPR","29404","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Actinocephalus","geniculatus","Actinocephalus geniculatus","Echternacht, L.","Echternacht, L.; Bastos, T.V.; Giulietti-Harley, A.M.; Harley, R.M.; Trovó, M.L.O.; Stutzel, T.;","2013","11","16","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima. Trilha no fundo do vale, para a Lagoa Dourada. Alto da Serra.","-43.57","-19.493972","-43.57","-19.493972","1394","1394","2351","Abundante localmente.; Campo Rupestre, campo limpo, vegetação rala, solo pedregoso, quartzoso.","(Bong.) F.N. Costa","2013","11","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-06 10:17:17-03","UFOP","OUPR","29416","PreservedSpecimen","Plantae",NA,"Pteridaceae","Adiantum",NA,"Adiantum",NA,"Echternacht, L.","2014","01","25","Brasil","Minas Gerais","Nova União","Altamira, Vale de Altamira, Região de Floresta Atlântica, localidade de Mutuca de cima. Na subida para a Cachoeira do Marimbondo.","-43.565575","-19.518256","-43.565575","-19.518256","1154","1154","2371","Erva abundante localmente. Terrestre, raque ereta, pinas pendentes.; Beira da estrada e borda de mata secundária.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-06 10:13:51-03","UFOP","OUPR","29413","PreservedSpecimen","Plantae",NA,"Amaryllidaceae",NA,NA,NA,NA,"Echternacht, L.; Bastos, T.V.; Giulietti-Harley, A.M.; Harley, R.M.; Trovó, M.L.O.; Stutzel, T.;","2013","11","16","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima. Trilha no fundo do vale, para a Lagoa Dourada. Alto da Serra.","-43.572889","-19.488028","-43.572889","-19.488028","145","145","2362","Indivíduos isolados em beira de córrego. Tépalas vermelhas, anteras amarelas, estames didínamos, bulbo branco.; Campo Rupestre, vegetação herbácea rala, solo turfoso, quartzoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-06 10:13:51-03","UFOP","OUPR","29549","PreservedSpecimen","Plantae",NA,"Anacardiaceae",NA,NA,NA,NA,"Echternacht, L.; Pignal, M.","2016","09","18","Brasil","Minas Gerais","Nova União","Altamira, Serra do Cipó. Mutuca de Cima. Próximo à Cachoeira Alta.","-43.564778","-19.508278","-43.564778","-19.508278","1159","1159","2676","Árvore frondosa, com cerca de 15 m de altura, abundante localmente. Raque verde, flores esbranquiçadas.; Borda de mata de galeria, próximo à estrada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-06 10:17:17-03","UFOP","OUPR","29418","PreservedSpecimen","Plantae",NA,"Schizaeaceae","Anemia",NA,"Anemia",NA,"Echternacht, L.","2014","01","25","Brasil","Minas Gerais","Nova União","Altamira, Vale de Altamira, Região de Floresta Atlântica, localidade de Mutuca de cima. Nas margens do Rio Preto.","-43.56275","-19.516472","-43.56275","-19.516472","1136","1136","2374","Erva terrestre, abundante localmente.; Beira do córrego, sub-bosque de mata de galeria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-06 10:13:51-03","UFOP","OUPR","29554","PreservedSpecimen","Plantae",NA,"Apocynaceae",NA,NA,NA,NA,"Echternacht, L.; Bastos, T.V.","2016","10","29","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima, próximo à casa do Zezinho. Beira da estrada.","-43.562778","-19.515833","-43.562778","-19.515833","1138","1138","2693","Arvoreta de aproximadamente 5 m de altura. Raque e botões verdes, cálice verde, corola amaerla, látex branco.; Borda de mata ciliar em área rural. Região de Floresta Estacional Semi-decidual secundária.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-06 10:13:51-03","UFOP","OUPR","29555","PreservedSpecimen","Plantae",NA,"Apocynaceae",NA,NA,NA,NA,"Echternacht, L.; Bastos, T.V.","2016","10","29","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima, próximo à casa do Zezinho. Beira da estrada.","-43.562778","-19.515833","-43.562778","-19.515833","1138","1138","2694","Trepadeira lenhosa, raque verde, cálice verde, corola amaerla, látex branco.; Borda de mata ciliar em área rural. Região de Floresta Estacional Semi-decidual secundária.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-05 16:42:56-03","UFOP","OUPR","32275","PreservedSpecimen","Plantae",NA,"Apocynaceae",NA,NA,NA,NA,"Pignal, M.; Echternacht, L.","2016","09","18","Brasil","Minas Gerais","Nova União","Altamira, Posto azul.","-43.578889","-19.505194","-43.578889","-19.505194","1185","1185","4975","Bord de la cascade. Dans les pierres toujours humides. Grimpante à lait blanc. Tige ligneuse blanche. Feuille étroites. Fleurs axillaires, 5 pétales vert jaunâtre. Centre noir. Fruit didyme à 5 c^tés, glabre. Forêt atlantique, Forêt secondaire.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-06 10:13:51-03","UFOP","OUPR","29417","PreservedSpecimen","Plantae",NA,"Aspleniaceae","Asplenium",NA,"Asplenium",NA,"Echternacht, L.","2014","01","25","Brasil","Minas Gerais","Nova União","Altamira, Vale de Altamira, Região de Floresta Atlântica, localidade de Mutuca de cima. No córrego, na base da Cahoeira Alta.","-43.567361","-19.505639","-43.567361","-19.505639","1188","1188","2373","Erva terrestre e rupícola.; Mata de galeria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-05 16:43:33-03","UFOP","OUPR","32274","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis",NA,"Baccharis",NA,"Pignal, M.; Echternacht, L.","2016","09","18","Brasil","Minas Gerais","Nova União","Altamira, Posto azul.","-43.578889","-19.505194","-43.578889","-19.505194","1185","1185","4974","Bord de la cascade. Arbuste de 70 cm. Capitule blanc. Forêt atlantique, Forêt secondaire.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-06 10:13:51-03","UFOP","OUPR","29420","PreservedSpecimen","Plantae",NA,"Blechnaceae","Blechnum",NA,"Blechnum",NA,"Echternacht, L.","2014","01","25","Brasil","Minas Gerais","Nova União","Altamira, Vale de Altamira, Região de Floresta Atlântica, localidade de Mutuca de cima.","-43.56275","-19.516472","-43.56275","-19.516472","1136","1136","2376","Beira do córrego, sub-bosque de mata de galeria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-06 10:13:54-03","UFOP","OUPR","29408","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Comanthera","centauroides","Comanthera centauroides","Echternacht, L.","Echternacht, L.; Bastos, T.V.; Giulietti-Harley, A.M.; Harley, R.M.; Trovó, M.L.O.; Stutzel, T.;","2013","11","16","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima. Trilha no fundo do vale, para a Lagoa Dourada. Alto da Serra.","-43.57","-19.493972","-43.57","-19.493972","139","139","2355","População em final de floração, abundante localmente. Simpátrica com Comanthera cipoensis (voucher 2354).; Campo Rupestre, campo limpo, vegetação rala, solo pedregoso, quartzoso.","(Bong.) L.R.Parra & Giul.","2013","11","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-06 10:13:54-03","UFOP","OUPR","29407","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Comanthera","cipoensis","Comanthera cipoensis","Echternacht, L.","Echternacht, L.; Bastos, T.V.; Giulietti-Harley, A.M.; Harley, R.M.; Trovó, M.L.O.; Stutzel, T.;","2013","11","16","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima. Trilha no fundo do vale, para a Lagoa Dourada. Alto da Serra.","-43.57","-19.493972","-43.57","-19.493972","1394","1394","2354","População em final de floração, abundante localmente. Simpátrica com Comanthera centauroides (voucher 2355).; Campo Rupestre, campo limpo, vegetação rala, solo pedregoso, quartzoso.","(Ruhland) L.R.Parra & Giul.","2013","11","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-06 10:13:52-03","UFOP","OUPR","29546","PreservedSpecimen","Plantae",NA,"Cyatheaceae","Cyathea","corcovadensis","Cyathea corcovadensis",NA,"Echternacht, L.; Pignal, M.","2016","09","17","Brasil","Minas Gerais","Nova União","Altamira, Serra do Cipó. No alto do vale, vertente oeste da serra. Trilha para a Cachoeira da Garça. Campo rupestre, com afloramentos quartzosos, campo limpo e matas ciliares.","-43.555833","-19.512222","-43.555833","-19.512222","1339","1339","2673","Samambaia arborescente com cerca de 2 m de altura. Folhas com cerca de 1,5 m de comprimento, com escamas ferruginosas na base do pecíolo e no ápice do caule, sem espinhos.; Em borda de mata ciliar.","(Raddi) Domin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-06 10:17:17-03","UFOP","OUPR","29419","PreservedSpecimen","Plantae",NA,"Gleicheniaceae","Dicranopteris",NA,"Dicranopteris",NA,"Echternacht, L.","2014","01","25","Brasil","Minas Gerais","Nova União","Altamira, Vale de Altamira, Região de Floresta Atlântica, localidade de Mutuca de cima. Córrego da Cachoeira do Marimbondo.","-43.567583","-19.518528","-43.567583","-19.518528","118","118","2375","Erva terrestre. Frondes > 1 m. compr.; Beira do córrego, sub-bosque de mata de galeria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-06 09:54:58-03","UFOP","OUPR","32264","PreservedSpecimen","Plantae",NA,"Droseraceae","Drosera",NA,"Drosera",NA,"Pignal, M.; Echternacht, L.","2016","09","17","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima.","-43.5445","-19.508611","-43.5445","-19.508611","1436","1436","4965","Herbacée à tige développée. Fleurs roses. Campo rupestre. Zone herbacée. Substrat sableux.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-06 09:54:59-03","UFOP","OUPR","32278","PreservedSpecimen","Plantae",NA,"Dryopteridaceae","Elaphoglossum",NA,"Elaphoglossum",NA,"Pignal, M.; Echternacht, L.","2016","09","18","Brasil","Minas Gerais","Nova União","Altamira","-43.573611","-19.505361","-43.573611","-19.505361","1184","1184","4978","Feuilles vert pâle. Fronde fertile immature très étroite. Forêt atlantique, Forêt secondaire.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-06 10:13:52-03","UFOP","OUPR","29409","PreservedSpecimen","Plantae",NA,"Ericaceae",NA,NA,NA,NA,"Echternacht, L.; Bastos, T.V.; Giulietti-Harley, A.M.; Harley, R.M.; Trovó, M.L.O.; Stutzel, T.;","2013","11","16","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima. Trilha no fundo do vale, para a Lagoa Dourada. Alto da Serra.","-43.572889","-19.488028","-43.572889","-19.488028","145","145","2357","Arbusto, cerca de 1 m de altura, corola verde-amarelada.; Campo Rupestre, vegetação herbácea rala, solo pedregoso, quartzoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-06 09:55:13-03","UFOP","OUPR","32268","PreservedSpecimen","Plantae",NA,"Erythroxylaceae","Erythroxylum",NA,"Erythroxylum",NA,"Pignal, M.; Echternacht, L.","2016","09","17","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima.","-43.550833","-19.504056","-43.550833","-19.504056","1453","1453","4968","Arbuste de bord de route. Feuille un peu coriace, nervation bien visible dessous, peu visible dessus. Fleur creme. Campo rupestre. Zone herbacée. Substrat sableux.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
