"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","year","month","day","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","dayIdentified","class","relatedCatalogItem"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","718","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","venecianus","Cryptanthus venecianus","Leme & L.Kollmann","Elton. C. M. Leme","2011","08","Ludovic Kollmann;","Kollmann578","Brasil","Espírito Santo","Nova Venécia","Pedra do Elefante","-40.4006004333496","-18.710599899292","42400","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:14:12-03","NYBG","NYBG","407297","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","multiflora","Pavonia multiflora","A.St.-Hil.",NA,NA,NA,"J. R. Pirani","3377","Brazil","Espírito Santo","Nova Venécia","Rodovia ES-137, a 1km N do Córrego Boa Esperança. Mata pluvial tropical no sopé da Pedra do Elefante","-40.4006","-18.7108",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=736601 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"1994","12","04","South America","-40.4006","-18.7108","sheet","NY00407297","NY00407297",NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:34:38-03","NYBG","NYBG","558715","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","arifolia","Peperomia arifolia","Miq.",NA,NA,NA,"A. P. Duarte","440","Brazil","Espírito Santo","Nova Venécia","Serra dos Aimorés","-40.4006","-18.7108",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548556 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"1953","11","15","South America","-40.4006","-18.7108","sheet","NY00558715","NY00558715",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:51:58-03","NYBG","NYBG","1018646","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Phoradendron","mucronatum","Phoradendron mucronatum","(DC.) Krug & Urb.",NA,NA,NA,"A. P. Duarte","548","Brazil","Espírito Santo","Nova Venécia","Norte do Espirito santo, Serra de Cima.","-40.4006","-18.7108",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1261458 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"1953","11","14","South America","-40.4006","-18.7108","sheet","NY01018646","NY01018646",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:10:32-03","NYBG","NYBG","02913119","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","subemarginatus","Phyllanthus subemarginatus","Müll.Arg.",NA,NA,NA,"R. C. Forzza","5765","Brazil","Espírito Santo","Nova Venécia","Estrada para São Gabriel da Palha, Serra de Cima. Propriedade de Waldemar Cipriano. Inselbergue.","-40.4722223","-18.8030556",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3228080 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"2009","11","20","South America","-40.4722223","-18.8030556","sheet","NY02913119","NY02913119","260","260",NA,NA,NA,NA,NA
"6","2019-12-16 18:35:44-03","NYBG","NYBG","555764","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","amplum","Piper amplum","Kunth",NA,NA,NA,"A. P. Duarte","3622","Brazil","Espírito Santo","Nova Venécia",NA,"-40.4006","-18.7108",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606581 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"1953","11","16","South America","-40.4006","-18.7108","sheet","NY00555764","NY00555764",NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:35:44-03","NYBG","NYBG","555777","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","amplum","Piper amplum","Kunth","A. P. Duarte","1961",NA,"A. P. Duarte","3622","Brazil","Espírito Santo","Nova Venécia","Serra de Cima - Nova Venecia","-40.4006","-18.7108",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606555 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"1953","11","16","South America","-40.4006","-18.7108","sheet","NY00555777","NY00555777",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:36:02-03","NYBG","NYBG","556107","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","corcovadensis","Piper corcovadensis blanchetii","(Moric.) Callejas","R. Callejas Posada","1986",NA,"A. P. Duarte","3619","Brazil","Espírito Santo","Nova Venécia","Serra dos Aymorés","-40.4006","-18.7108",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407684 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"1953","11","15","South America","-40.4006","-18.7108","sheet","NY00556107","NY00556107",NA,NA,"blanchetii",NA,NA,NA,NA
"9","2019-12-16 18:36:02-03","NYBG","NYBG","556117","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","corcovadensis","Piper corcovadensis blanchetii","(Moric.) Callejas","R. Callejas Posada","1988",NA,"A. P. Duarte","3619","Brazil","Espírito Santo","Nova Venécia",NA,"-40.4006","-18.7108",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407700 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"1953","11","15","South America","-40.4006","-18.7108","sheet","NY00556117","NY00556117",NA,NA,"blanchetii",NA,NA,NA,NA
"10","2019-12-16 18:36:02-03","NYBG","NYBG","556118","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","corcovadensis","Piper corcovadensis blanchetii","(Moric.) Callejas","R. Callejas Posada","1988",NA,"A. P. Duarte","3997","Brazil","Espírito Santo","Nova Venécia","Serra de Cima","-40.4006","-18.7108",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407687 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"1953","11","16","South America","-40.4006","-18.7108","sheet","NY00556118","NY00556118",NA,NA,"blanchetii",NA,NA,NA,NA
