"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","locality","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","dayIdentified","class","typeStatus","relatedCatalogItem","individualCount"
"1","2019-12-16 18:08:03-03","NYBG","NYBG","00916333","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","tomentosa","Peixotoa tomentosa","A.Juss.","C. E. Anderson","1982","A. Castellanos","25616","1964","12","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.6917","-20.5208","-43.6917","-20.5208","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987171 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00916333","NY00916333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:27:12-03","NYBG","NYBG","02642231","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Periandra","mediterranea","Periandra mediterranea","(Vell.) Taub.","M. J. Falcão","2019","D. P. Saraiva","162","2011","05","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.653889","-20.503611","-43.653889","-20.503611","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964362 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02642231","NY02642231","Serra de Ouro Branco. Campo rupestre com afloramentos de quartizito e grandes campos graminosos. Capão de mata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:40:28-03","NYBG","NYBG","00923730","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","ciliolata","Rhynchospora ciliolata","Boeckeler","A. C. Araújo","2000","A. Castellanos","25612","1964","12","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.6917","-20.5208","-43.6917","-20.5208","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006242 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00923730","NY00923730",NA,"08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:41:18-03","NYBG","NYBG","02880225","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","setigera","Rhynchospora setigera","(Kunth) Boeckeler","W. W. Thomas","2017","D. P. Saraiva","192","2011","05","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.6972222","-20.4883333","-43.6972222","-20.4883333","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3198815 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02880225","NY02880225","Serra de Ouro Branco. Campo rupestre com afloramentos de quartizito e grandes campos graminosos. Capão de mata.",NA,"1384","1384",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 16:41:42-03","NYBG","NYBG","02697540","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera",NA,"Schefflera",NA,NA,NA,"D. P. Saraiva","183","2011","05","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.708889","-20.498611","-43.708889","-20.498611","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978211 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02697540","NY02697540","Serra de Ouro Branco. Campo rupestre com afloramentos de quartizito e grandes campos graminosos. Capão de mata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 16:41:59-03","NYBG","NYBG","1145222","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","(Cham. & Schltdl.) Frodin","P. Fiaschi","2007","R. de Mello-Silva","1395","1997","05","28","South America","Brazil","Minas Gerais","Ouro Branco","-43.6567","-20.5031","-43.6567","-20.5031","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1307184 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01145222","NY01145222","Serra do Ouro Branco",NA,"1400","1400",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-01-27 14:54:46-03","NYBG","NYBG","910539","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Sisyrinchium","vaginatum","Sisyrinchium vaginatum","Spreng.","C. D. Inácio",NA,"R. de Mello-Silva","1403","1997","05","28","South America","Brazil","Minas Gerais","Ouro Branco","-43.6917","-20.5208","-43.6917","-20.5208","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985242 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00910539",NA,"Serra de Ouro Branco. Alto da serra, afloramentos rochosos além das torres de TV.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:33:42-03","NYBG","NYBG","00998015","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Elaeocarpaceae","Sloanea",NA,"Sloanea","L.",NA,NA,"A. M. Giulietti","CFCR13759","1994","01","16","South America","Brazil","Minas Gerais","Ouro Branco","-43.62","-20.48","-43.62","-20.48","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194055 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00998015",NA,"Serra de Ouro Branco. Estrada em direção a Ouro Preto.",NA,"1","1.225",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 16:50:43-03","NYBG","NYBG","02482486","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Isostigma","simplicifolium","Isostigma simplicifolium","Less.",NA,NA,"L. Riedel","2978","1835","02",NA,"South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2714528 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02482486","NY02482486",NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"10","2020-01-27 16:30:58-03","NYBG","NYBG","4218402","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","frigidula","Tibouchina frigidula","(DC.) Cogn.",NA,NA,"F. Almeda","7733","1998","05","26","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"Sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451149 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY04218402",NA,"Brasil Serra de Ouro Branco, subida para o Cruzeiro, próximo ao topo da serra",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"11","2019-12-16 17:57:44-03","NYBG","NYBG","2701538","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","pumila","Kielmeyera pumila pumila","Pohl",NA,NA,"P. C. Porto","1213","1922","02","26","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982586 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02701538","NY02701538","Nos campos da base e do alto.",NA,NA,NA,"13809","auto","pumila",NA,NA,NA,NA,NA
"12","2019-12-16 18:26:34-03","NYBG","NYBG","02098851","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Ossaea","congestiflora","Ossaea congestiflora","(Naudin) Cogn.","M. Reginato","2012","M. Reginato","1154","2011","02","02","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085050 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02098851","NY02098851","Serra de Ouro Branco",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"13","2019-12-16 16:55:48-03","NYBG","NYBG","02474407","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia",NA,"Pfaffia",NA,NA,NA,"H. C. de Souza","s.n.","1988","07","29","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2691885 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02474407","NY02474407","Serra de Ouro Branco.",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"14","2019-12-16 17:35:09-03","NYBG","NYBG","971866","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Minaria","decussata","Minaria decussata","(Mart.) T.U.P.Konno & Rapini","S. Liede; U. Meve","2005","A. M. Giulietti","CFCR13744","1994","01","16","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094875 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00971866","NY00971866","Serra de Ouro Branco. Estrada em direção a Ouro Preto.","04","1225","1225","13809","auto",NA,"20",NA,NA,NA,NA
"15","2019-12-16 16:46:09-03","NYBG","NYBG","910584","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","(Klatt) Benth. & Hook.f.","J. Lovo","2013","A. M. Giulietti","CFCR13737","1994","01","16","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985634 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00910584","NY00910584","Serra de Ouro Branco. Estrada em direção a Ouro Preto.",NA,"1225","1225","13809","auto",NA,NA,NA,NA,NA,NA
