"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","scientificNameAuthorship","monthIdentified","dayIdentified","infraspecificEpithet","individualCount","class","relatedCatalogItem"
"1","2019-12-16 18:26:37-03","NYBG","NYBG","879073","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","marinana","Pleroma marinana","C. N. Fraga","2013","isotype","C. N. Fraga","962","2003","03","07","South America","Brazil","Espírito Santo","Pancas","Serra do Alto Mutum Preto, proximidades da rampa de vôo Livre","-40.8513984680176","-19.2250003814697","32475","750","750","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536021 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00879073","NY00879073","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:26:37-03","NYBG","NYBG","879072","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","penduliflora","Pleroma penduliflora",NA,NA,NA,"C. N. Fraga","959","2003","03","07","South America","Brazil","Espírito Santo","Pancas","Serra do Alto Mutum Preto, proximidades da rampa de vôo Livre","-40.8513984680176","-19.2250003814697","32475","750","750","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536018 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00879072","NY00879072","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:26:37-03","NYBG","NYBG","879071","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","penduliflora","Pleroma penduliflora",NA,NA,NA,"C. N. Fraga","965","2003","03","07","South America","Brazil","Espírito Santo","Pancas","Serra do Alto Mutum Preto, proximidades da rampa de vôo Livre","-40.8513984680176","-19.2250003814697","32475","750","750","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536017 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00879071","NY00879071","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:41:20-03","NYBG","NYBG","02861571","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria",NA,"Scleria",NA,NA,NA,"L. F. A. de Paula","900","2016","03","12","South America","Brazil","Espírito Santo","Pancas","Fazenda do Sr. Geraldino Romais. Inselberg em frente à Pedra do Camelo.","-40.8063889","-19.2388889",NA,"144","144","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3196290 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02861571","NY02861571",NA,"-40.8063889","-19.2388889",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:38:47-03","NYBG","NYBG","02864681","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","coriifolius","Cyperus coriifolius",NA,NA,NA,"R. C. Forzza","8743","2016","03","11","South America","Brazil","Espírito Santo","Pancas","Pedra da Colina.","-40.8767","-19.2311",NA,"745","745","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3196319 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02864681","NY02864681",NA,"-40.8767","-19.2311","Boeckeler",NA,NA,NA,NA,NA,NA
"6","2019-12-16 17:19:36-03","NYBG","NYBG","02474107","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","foliosa","Dalbergia foliosa",NA,NA,NA,"H. C. de Lima","7636","2013","04","14","South America","Brazil","Espírito Santo","Pancas","Serra do Alto Mutum Preto, estrada para Pedra da Colina, rampa de voo-livre","-40.87675","-19.23122",NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685435 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02474107","NY02474107",NA,"-40.87675","-19.23122","(Benth.) A.M.Carvalho",NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:19:43-03","NYBG","NYBG","1281365","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia",NA,"Huberia","F. A. Michelangeli",NA,NA,"R. C. Forzza","5825","2010","03","12","South America","Brazil","Espírito Santo","Pancas","Pedra da COlina.","-40.8764","-19.2308",NA,"700","700","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1687705 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01281365","NY01281365",NA,"-40.8764","-19.2308",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:19:57-03","NYBG","NYBG","02736634","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","espiritosantensis","Huberia espiritosantensis",NA,NA,NA,"C. N. Fraga","3506","2013","04","13","South America","Brazil","Espírito Santo","Pancas","Serra do Alto Mutum Preto, Pedra da Colina, caminho para a rampa de vôo livre.","-40.8764","-19.2308",NA,"775","775","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3244527 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02736634","NY02736634",NA,"-40.8764","-19.2308","Baumgratz",NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:09:26-03","NYBG","NYBG","03060707","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","mediterranea","Passiflora mediterranea",NA,NA,NA,"H. C. de Lima","7643","2013","04","14","South America","Brazil","Espírito Santo","Pancas","Serra do Alto Mutum Preto, estrada para Pedra da Colina, rampa de voo-livre. Vegetação rupestre.","-40.8766667","-19.2311111",NA,"750","750","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3286140 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03060707","NY03060707",NA,"-40.8766667","-19.2311111","Vell.",NA,NA,NA,NA,NA,NA
"10","2019-12-16 16:45:37-03","NYBG","NYBG","00568002","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","ruschiana","Syagrus ruschiana",NA,NA,NA,"L. R. Noblick","4838","1992","03","10","South America","Brazil","Espírito Santo","Pancas","3 km NW of town on the road Pancas/Vila Verde.","-40.87","-19.25",NA,"250","400","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193691 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00568002","NY00568002_01 NY00568002_02 NY00568002_03 NY00568002_04",NA,"-40.87","-19.25",NA,NA,NA,NA,NA,NA,NA
"11","2019-12-16 18:26:55-03","NYBG","NYBG","1281364","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina",NA,"Tibouchina","F. A. Michelangeli","2017",NA,"R. C. Forzza","5826","2010","03","12","South America","Brazil","Espírito Santo","Pancas","Pedra da COlina.","-40.8764","-19.2308",NA,"700","700","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1687702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01281364","NY01281364",NA,"-40.8764","-19.2308",NA,"10","27",NA,NA,NA,NA
