"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","specificEpithet","scientificNameAuthorship","identifiedBy","imagecode","continentOcean","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-11-04 10:44:37-03","UFRJ","RFA","6437","Preservedecimen","Plantae","Bignoniaceae","Tecoma","Tecoma","Mendes Magalhães","15707","1956","10","04","Brasil","Minas Gerais","Peçanha","Nordeste de Minas Gerais.","-42.5569000244141","-18.5485992431641","29814","Árvores de 6-8m de altura, isoladas nas pastagens, flor amarela, florifera.","RFA26394","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-07-11 08:51:10-03","ESALQ","ESA","72425","S","Plantae","Costaceae","Costus","Costus cuspidatus","Vasconcelos, M.F.",NA,"2001","02",NA,"Brasil","Minas Gerais","Peçanha",NA,"-42.5569000244141","-18.5485992431641","29814",NA,"ESA072425","auto","Magnoliophyta","cuspidatus","(Nees & Mart.) Maas","Lombardi, J.A.","ESA072425",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-06 15:07:16-03","MBM","MBM","256280","S","Plantae","Moraceae","Ficus","Ficus trigona","Vasconcelos, M.F.","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Peçanha","Rio Suaçuí Grande","-42.5569000244141","-18.5485992431641","29814",NA,"MBM256280","auto",NA,"trigona","L. f.","Berg, C.C.","MBM256280","Southern America",NA,NA,NA,NA,NA,NA,NA
"4","2019-10-02 14:57:12-03","UFMG","BHCB","22250","PreservedSpecimen","Plantae","Melastomataceae","Miconia","Miconia latecrenata","Costa, LV; Atalla, NC","s.n.","1992","10","30","Brasil","Minas Gerais","Peçanha",NA,"-42.5569000244141","-18.5485992431641","29814",NA,NA,"auto","Dicotyledon","latecrenata","(DC.) Naudin",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-02 14:57:12-03","UFMG","BHCB","22250","PreservedSpecimen","Plantae","Melastomataceae","Miconia","Miconia latecrenata","Costa, LV; Atalla, NC","s.n.","1992","10","30","Brasil","Minas Gerais","Peçanha",NA,"-42.5569000244141","-18.5485992431641","29814",NA,NA,"auto","Dicotyledon","latecrenata","(DC.) Naudin",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-02 14:48:22-03","UFMG","BHCB","22291","PreservedSpecimen","Plantae","Anacardiaceae","Tapirira","Tapirira obtusa","Costa, LV; Atalla, NC","s.n.","1992","10","30","Brasil","Minas Gerais","Peçanha",NA,"-42.5569000244141","-18.5485992431641","29814",NA,NA,"auto","Dicotyledon","obtusa","(Benth.) J.D.Mitch.",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-02 14:48:22-03","UFMG","BHCB","22291","PreservedSpecimen","Plantae","Anacardiaceae","Tapirira","Tapirira obtusa","Costa, LV; Atalla, NC","s.n.","1992","10","30","Brasil","Minas Gerais","Peçanha",NA,"-42.5569000244141","-18.5485992431641","29814",NA,NA,"auto","Dicotyledon","obtusa","(Benth.) J.D.Mitch.",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-02 14:56:02-03","UFMG","BHCB","56315","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","Byrsonima sericea","Vasconcelos, MF de","s.n.","2000","11","24","Brasil","Minas Gerais","Peçanha","Córrego do Matão.","-42.5569000244141","-18.5485992431641","29814","Borda de mata. Arbóreo",NA,"auto","Dicotyledon","sericea","DC.",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-02 15:00:21-03","UFMG","BHCB","56317","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","Myrcia","Vasconcelos, MF de","s.n.","2000","11","24","Brasil","Minas Gerais","Peçanha","Córrego do Matão.","-42.5569000244141","-18.5485992431641","29814","Borda de mata. Arbustivo, frutos comestíveis",NA,"auto","Dicotyledon",NA,"DC.",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-02 14:59:49-03","UFMG","BHCB","56314","PreservedSpecimen","Plantae","Myrtaceae",NA,NA,"Vasconcelos, MF de","s.n.","2000","11","24","Brasil","Minas Gerais","Peçanha","Córrego do Matão.","-42.5569000244141","-18.5485992431641","29814","Borda de mata semidecídua. Arbustivo",NA,"auto","Dicotyledon",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
