"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","phylum"
"1","2020-03-10 08:30:06-03","UFV","VIC","24149","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","kermesiana","Passiflora kermesiana","Link & Otto","Valente, G.E.; Azevedo, A.A.","437","2000","02","13","Brasil","Minas Gerais","Pedra do Anta","-42.7136001586914","-20.5972003936768","9625","Trepadeira sobre arbusto,cálice e corola rosa,estaminoide roxos,haste de androginóforo branco,anteras e ovário verde,estiletes de máculas roxas.","VIC024149","VIC024149","auto",NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:30:34-03","UFV","VIC","24150","PreservedSpecimen","Plantae","Rubiaceae","Coutarea","hexandra","Coutarea hexandra","(Jacq.) Schum","Valente, G.E.; Azevedo, A.A.","438","2000","02","13","Brasil","Minas Gerais","Pedra do Anta","-42.7136001586914","-20.5972003936768","9625","Arbusto coletado em barranco com ca de 3 m, copa frondosa, Copa frondosa,cálice verde, tubo da corola formadopor 6 pétalas, rosa esbranquiçado externamnetee rosa mais forte internamente, possui 6 estames com filete branco e antera amar","VIC024150","VIC024150","auto",NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:30:10-03","UFV","VIC","41473","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","major","Plantago major","L.","Teixeira, F.B.","s.n.","2013","07","15","Brasil","Minas Gerais","Pedra do Anta","-42.7136001586914","-20.5972003936768","9625","Surgimento espontaneo em terrenos baldios,planta vivaz de tufo de folhas grandes,inteiras de borda levemnete onduladas,de flores pequenas brancas amareladas que se agrupam em esigas de ate 40 cm de comprimento.","VIC041473","VIC041473","auto",NA,NA,NA,NA,NA,NA
"4","2020-03-10 08:27:28-03","UFV","VIC","24151","PreservedSpecimen","Plantae","Bignoniaceae","Arrabideae",NA,"Arrabideae",NA,"Valente, G.E.; Ferreira, A.A.A.","439","2000","02","13","Brasil","Minas Gerais","Pedra do Anta","-42.7136001586914","-20.5972003936768","9625","Trepadeira coletada em barranco de beira de estrada. Cálice verde-claro a arroxeado. Botão floral com corola de cor vinho nigrescente e após a antese se torna vinho mais claro que o botão. Interior do tubo da corola branco com mácula","VIC024151","VIC024151","auto","Araújo, R.S. de","2007","07","31","Á beira da estrada que margeia o Rio Casca à cerca de 1,0 Km após a primeira ponte sobre o referido Rio no sentido Pedra do Anta - Cachoeira Grande.",NA
"5","2020-03-10 08:29:08-03","UFV","VIC","9507","PreservedSpecimen","Plantae","Meliaceae","Guarea",NA,"Guarea",NA,"Ramalho, R.S.; Pinheiro, A.L.","2864","1983","11","10","Brasil","Minas Gerais","Pedra do Anta","-42.7136001586914","-20.5972003936768","9625","Árvore presente em mata ciliar sujeita a inundação, de aproximadamente 7-8 cm de diâmetro e 3-4 m da altura;flores ligeiramente rosadas com cálice avermelhado rm grandes inflorescências. casca ligeira/ escanisa e amarronzada.","VIC009507","VIC009507","auto","Pennington, T.D.","1984",NA,NA,"Entre Rios",NA
"6","2020-03-10 08:29:08-03","UFV","VIC","8133","PreservedSpecimen","Plantae","Meliaceae","Guarea",NA,"Guarea",NA,"Pinheiro, A.L.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Pedra do Anta","-42.7136001586914","-20.5972003936768","9625",NA,"VIC008133","VIC008133","auto",NA,NA,NA,NA,"Entre Rios, Microregião de Viçosa",NA
"7","2019-08-20 10:07:56-03","UNICAMP","UEC","116372","S","Plantae","Bignoniaceae","Fridericia",NA,"Fridericia","Mart.","Valente, GE; Azevedo, AA","439","2000","02","13","Brazil","Minas Gerais","Pedra Do Anta","-42.7136001586914","-20.5972003936768","9625","flor, Trepadeira coletada em barranco de beira de estrada. Cálice verde-claro a arroxeado. Botão floral com corola de cor vinho nigrescente e após a antese se torna mais claro que o botão. Interior do tubo da corola branco com máculas","UEC078483","UEC078483","auto",NA,NA,NA,NA,"À beira da estrada que margeia o Rio Cas, Cerca de 1 km após a primeira ponte sobre o rewferido rio no sentido Pedra do Anta - Cachoeira Grande.","Magnoliopsida"
"8","2019-08-20 10:07:56-03","UNICAMP","UEC","116372","S","Plantae","Bignoniaceae","Fridericia",NA,"Fridericia","Mart.","Valente, GE; Azevedo, AA","24151","2000","02","13","Brazil","Minas Gerais","Pedra Do Anta","-42.7136001586914","-20.5972003936768","9625","Trepadeira. Cálice verde-claro a arroxeado. Botão floral com corola cor de vinho nigrescente e após a antese se torna vinho mais claro que o botão. Interior do tubo da corola branco com máculas de cor de vinho.","UEC078483","UEC078483","auto",NA,NA,NA,NA,"Coletada à beira da estrada que margeia o Rio Casca cerca de 1km após a primeira ponte sobre o referido Rio no sentido Pedra do Anta. Cachoeira grande.","Magnoliopsida"
"9","2019-11-05 16:46:27-03","UFOP","OUPR","12988","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","porteana","Billbergia porteana","Brong. ex Beer","Badini, J.","s.n.","1980","05","01","Brasil","Minas Gerais","Pedra da Anta",NA,NA,NA,"Epífita. Erva. Bráctea rósea. Cálice Branco e corola verde amarelada",NA,NA,NA,"Paula, C.C. de","2004","11","22",NA,NA
"10","2019-10-11 11:19:02-03","UFPR","UPCB","42526","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","kermesina","Passiflora kermesina","Link & Otto","Valente, G.E.","437","2000","02","13","Brasil","Minas Gerais","Pedra do Anta","-42.7136001586914","-20.5972003936768","9625","Trepadeira sobre arbusto, cálice e corola rosa, estaminódios roxos, haste do androginóforo branco, anteras e ovário verde, estiletes com máculas roxas. Beira da estrada..",NA,NA,"auto","Cervi, A.C.","2000","06","06","Rio Casca, ca. 1km após 1ª ponte sentido Pedra do Anta-Cachoeira Grande",NA
