"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","country","stateProvince","county","locality","occurrenceRemarks","barcode","year","month","day","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","imagecode","monthIdentified","dayIdentified","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet"
"1","2019-11-28 15:37:23-03","MN","R-FUNGI","88863","PreservedSpecimen","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","carassensis","Cladonia carassensis","Van.","Ahti, T.","1987","Damazio, L.B.","1729","Brasil","Minas Gerais","Caminho para a Mata do Periquito","Vizinhança de Mariana","Herbario L. Damazio","R000088863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-07-11 08:55:20-03","ESALQ","ESA","101711","S","Plantae","Magnoliophyta",NA,NA,"Myrtaceae","Marlierea","teuscheriana","Marlierea teuscheriana",NA,NA,NA,"Neto, E.T.","3857","Brasil","Minas Gerais","Periquito",NA,NA,"ESA101711","2005","04","04","-42.2336006164551","-19.1574993133545","19746","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:29:51-03","UFV","VIC","24924","PreservedSpecimen","Plantae",NA,NA,NA,"Papilionoideae","Andira",NA,"Andira",NA,NA,NA,"Bortoluzzi, R.L.C.; et al.","699","Brasil","Minas Gerais","Periquito","Serraria (Arraial da Acesita), À 32 Km de Governador Valadares.","Árvore, fruto tipo drupa, castanho-tomentoso quando seco.","VIC024924","1999","10","07","-42.2336006164551","-19.1574993133545","19746","auto","VIC024924",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-06 15:15:34-03","MBM","MBM","418832","S","Plantae",NA,NA,NA,"Poaceae","Urochloa","brizantha","Urochloa brizantha","(Hochst. ex A. Rich.) R.D.Webster","Marinero, F.","2018","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1092","Brazil","Minas Gerais","Periquito","Rodovia BR-381, Rio Doce",NA,"MBM418832","2018","11","24","-42.231944","-19.149444",NA,NA,NA,"12","11","Southern America","-42.231944","-19.149444","202","202",NA
"5","2019-12-06 14:30:25-03","MBM","MBM","418831","S","Plantae",NA,NA,NA,"Asteraceae","Bidens","pilosa","Bidens pilosa","L.","Marinero, F.","2019","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1091","Brazil","Minas Gerais","Periquito","Rodovia BR-381",NA,"MBM418831","2018","11","24","-42.231944","-19.149444",NA,NA,NA,"03","20","Southern America","-42.231944","-19.149444","202","202",NA
"6","2019-12-06 15:23:23-03","MBM","MBM","421377","S","Plantae",NA,NA,NA,"Thelypteridaceae","Christella","dentata","Christella dentata","(Forssk.) Brownsey & Jermy","Cafofo, E.",NA,"Cafofo, E.; Felitto, G.; Felitto, G.","183","Brazil","Minas Gerais","Periquito",NA,NA,"MBM421377","2018","09","01","-42.155","-19.095833",NA,NA,NA,NA,NA,"Southern America","-42.155","-19.095833","188","188",NA
"7","2019-12-06 14:40:09-03","MBM","MBM","420760","S","Plantae",NA,NA,NA,"Convolvulaceae","Distimake","macrocalyx","Distimake macrocalyx","(Ruiz & Pav.) O'Donell","Marinero, F.","2019","Cafofo, E.; Felitto, G.; Felitto, G.","174","Brazil","Minas Gerais","Periquito",NA,NA,"MBM420760","2018","09","01","-42.155","-19.095556",NA,NA,NA,"04","03","Southern America","-42.155","-19.095556","188","188",NA
"8","2019-12-06 14:41:32-03","MBM","MBM","423090","S","Plantae",NA,NA,NA,"Cyperaceae","Eleocharis","interstincta","Eleocharis interstincta","(Vahl) Roem. & Schult.","Cafofo, E.","2019","Cafofo, E.; Felitto, G.; Felitto, G.","189","Brazil","Minas Gerais","Periquito",NA,NA,"MBM423090","2018","09","01","-42.143333","-19.038889",NA,NA,NA,NA,NA,"Southern America","-42.143333","-19.038889","186","186",NA
"9","2019-10-02 14:54:44-03","UFMG","BHCB","97532","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Fabaceae","Swartzia",NA,"Swartzia",NA,NA,NA,"Tameirão Neto, E","3855","Brasil","Minas Gerais","Periquito",NA,"Floresta ciliar, arbóreo. Serraria Periquito",NA,"2005","04","14","-42.2336006164551","-19.1574993133545","19746","auto",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA
"10","2019-10-02 15:00:18-03","UFMG","BHCB","97534","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Myrtaceae","Marlierea","teuscheriana","Marlierea teuscheriana","(O.Berg) D.Legrand",NA,NA,"Tameirão Neto, E","3857","Brasil","Minas Gerais","Periquito","Duplicação da BR 381, Norte. Floresta ciliar. Serraria Periquito.","Arbóreo.","BHCB010871","2005","04","14","-42.2336006164551","-19.1574993133545","19746","auto","BHCB010871",NA,NA,"Southern America",NA,NA,NA,NA,NA
"11","2020-01-21 18:09:38-03","UFMG","BHCB","63994","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Podostemaceae","Mourera","aspera","Mourera aspera","(Bong.) Tul.",NA,NA,"Vieira, F","s.n.","Brasil","Minas Gerais","Periquito","Rio Doce.",NA,NA,"2001","09","01","-42.2336006164551","-19.1574993133545","19746","auto",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA
"12","2019-10-02 14:54:44-03","UFMG","BHCB","97533","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Fabaceae","Swartzia","apetala","Swartzia apetala glabra","Vogel",NA,"2013","Tameirão Neto, E","3856","Brasil","Minas Gerais","Periquito","Serraria Periquito","Arbóreo; Floresta ciliar","BHCB010957","2005","04","14","-42.2336006164551","-19.1574993133545","19746","auto",NA,"11","14","Southern America",NA,NA,NA,NA,"glabra"
"13","2019-10-16 14:13:30-03","UEL","FUEL","33791","PreservedSpecimen","Plantae","Tracheophyta",NA,"Malpighiales","Podostemaceae","Mourera","aspera","Mourera aspera","(Bong.) Tul.","Novello, A","2002","Vieira, F","s.n.","Brasil","Minas Gerais","Periquito","Rio Doce, calha central",NA,"FUEL011199","2001","09","01","-42.2336006164551","-19.1574993133545","19746","auto",NA,"09",NA,NA,NA,NA,NA,NA,NA
"14","2019-10-03 10:04:15-03","UFSCar","SORO","5309","PreserveSpecimen","Plantae",NA,NA,NA,"Myrtaceae","Marlierea","teuscheriana","Marlierea teuscheriana","(O. Berg) D. Legrand",NA,NA,NA,"3857","Brasil","Minas Gerais","Periquito","Duplicação da BR 381 Norte. Floresta ciliar. Serraria Periquito.","Arbóreo.",NA,"2005","04","14","-42.2336006164551","-19.1574993133545","19746","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
