"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","scientificNameAuthorship","identifiedBy","locality","occurrenceRemarks","imagecode","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","class","order"
"1","2019-02-22 15:28:35-03","ESALQ","ESA","101236","S","Plantae","Magnoliophyta","Rhizophoraceae","Paradrypetis","ilicifola","Paradrypetis ilicifola","França, G.S.","615","2004","07","07","Brasil","Minas Gerais","Pingo d'água","-42.4081001281738","-19.7275009155273","8399","ESA101236","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-20 10:12:03-03","UNICAMP","UEC","160173","S","Plantae","Magnoliopsida","Fabaceae","Anadenanthera","peregrina","Anadenanthera peregrina","França, GS; Raggi, F","613","2004","07","07","Brazil","Minas Gerais","Pingo d'água","-42.4081001281738","-19.7275009155273","8399","UEC017616","auto","(L.) Speg.","França, GS","Fazenda Sacramento","Arbóreo-10 m, fruto amarronzado.; Floresta estacional semidecídua submontana.","UEC017616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-14 18:36:02-03","UFMG","BHCB","80137","PreservedSpecimen","Plantae","Dicotyledon","Acanthaceae",NA,NA,NA,"França, GS; Stehmann, JR","312","2003","04","10","Brasil","Minas Gerais","Pingo D'água","-42.428611","-19.725278",NA,"BHCB052750",NA,NA,NA,"Fazenda Sacramento","Herbácea, flor arroxeada.","BHCB052750","Southern America","-42.428611","-19.725278","270","270",NA,NA,NA,NA,NA,NA
"4","2019-10-02 15:05:57-03","UFMG","BHCB","80128","PreservedSpecimen","Plantae","Monocotyledon","Arecaceae","Desmoncus","polyacanthos","Desmoncus polyacanthos","França, GS; Stehmann, JR","303","2003","04","10","Brasil","Minas Gerais","Pingo D'água","-42.428611","-19.725278",NA,"BHCB050234",NA,"Mart.",NA,"Fazenda Sacramento","Trepadeira apoiante, frutos avermelhados","BHCB050234 BHCB050234_1","Southern America","-42.428611","-19.725278","270","270",NA,NA,NA,NA,NA,NA
"5","2019-10-02 15:06:17-03","UFMG","BHCB","80131","PreservedSpecimen","Plantae","Monocotyledon","Commelinaceae","Dichorisandra","albomarginata","Dichorisandra albomarginata","França, GS; Stehmann, JR","306","2003","04","10","Brasil","Minas Gerais","Pingo D'água","-42.428611","-19.725278",NA,"BHCB5361",NA,"Linden",NA,"Fazenda Sacramento","herbáceo, 1,5m, flor lilás",NA,"Southern America","-42.428611","-19.725278","270","270","2013","03","01",NA,NA,NA
"6","2019-10-02 14:52:31-03","UFMG","BHCB","80135","PreservedSpecimen","Plantae","Dicotyledon","Cucurbitaceae","Fevillea","passiflora","Fevillea passiflora","França, GS; Stehmann, JR","310","2003","04","10","Brasil","Minas Gerais","Pingo D'água","-42.428611","-19.725278",NA,"BHCB011342",NA,"Silva Manso",NA,"Fazenda Sacramento","Lianas, flores amarelas, folhas suculentas.",NA,"Southern America","-42.428611","-19.725278","270","270","2013","11","14",NA,NA,NA
"7","2019-10-02 14:59:37-03","UFMG","BHCB","86014","PreservedSpecimen","Plantae","Dicotyledon","Monimiaceae","Mollinedia","glabra","Mollinedia glabra","Stehmann, JR; França, GS","3433","2003","07","22","Brasil","Minas Gerais","Pingo d#?#'Água","-42.427094","-19.724594",NA,NA,NA,"(Spreng.) Perkins",NA,"Fazenda Sacramento","Arbusto, no subosque da Floresta Estacional Semidecidual (P8).",NA,"Southern America","-42.427094","-19.724594","202","202",NA,NA,NA,NA,NA,NA
"8","2019-10-02 15:07:53-03","UFMG","BHCB","80138","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Oeceoclades","maculata","Oeceoclades maculata","França, GS; Stehmann, JR","313","2003","04","10","Brasil","Minas Gerais","Pingo D'água","-42.428611","-19.725278",NA,NA,NA,"(Lindl.) Lindl.",NA,"Fazenda Sacramento","terrestre, labelo branco com manchas rosadas.",NA,"Southern America","-42.428611","-19.725278","270","270",NA,NA,NA,NA,NA,NA
"9","2019-11-13 11:16:44-03","USP","SPF","213347","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Adenocalymma","cinereum","Adenocalymma cinereum","Fonseca, LHM","220","2013","09","13","Brasil","Minas Gerais","Pingo-d'Água",NA,NA,NA,"SPF00213347",NA,"Udulutsch & Assis","Fonseca, LHM","Estrada para Pingo d'Água.","Arbusto ca. 1,5 m alt. Cálice verde-claro e corola amarela. Formigas presentes na inflorescência.",NA,NA,NA,NA,NA,NA,"2013","09","13",NA,NA,NA
"10","2019-11-13 11:21:32-03","USP","SPF","160140","PreservedSpecimen","Plantae",NA,"Leguminosae","Bauhinia","longifolia","Bauhinia longifolia","França, GS","304","2003","04","10","Brasil","Minas Gerais","Pingo-d'Água","-42.428611","-19.725278",NA,"SPF00160140",NA,"(Bong.) Steud.","Vaz, AMSF",NA,NA,NA,NA,"-42.428611","-19.725278","270","270","2008","05",NA,NA,NA,NA
"11","2019-11-13 11:15:47-03","USP","SPF","160185","PreservedSpecimen","Plantae",NA,"Arecaceae","Desmoncus","polyacanthos","Desmoncus polyacanthos","França, GS; Stehmann, JR","303","2003","04","10","Brasil","Minas Gerais","Pingo-d'Água","-42.428611","-19.725278",NA,"SPF00160185",NA,"Mart.",NA,"Fazenda Sacramento","Trepadeira apoiante, frutos avermelhados.",NA,NA,"-42.428611","-19.725278","270","270",NA,NA,NA,NA,NA,NA
"12","2019-11-13 11:28:16-03","USP","SPF","160189","PreservedSpecimen","Plantae",NA,"Piperaceae","Ottonia","leptostachya","Ottonia leptostachya","França, GS","311","2003","04","10","Brasil","Minas Gerais","Pingo-d'Água","-42.428611","-19.725278",NA,"SPF00160189",NA,"Kunth",NA,"Fazenda Sacramento.",NA,"SPF00160189",NA,"-42.428611","-19.725278","270","270",NA,NA,NA,NA,NA,NA
"13","2019-11-13 11:29:41-03","USP","SPF","160129","PreservedSpecimen","Plantae",NA,"Rhizophoraceae","Paradrypetes","ilicifolia","Paradrypetes ilicifolia","França, GS","308","2003","04","10","Brasil","Minas Gerais","Pingo-d'Água","-42.428611","-19.725278",NA,"SPF00160129",NA,"Kuhlm.","França, GS","Fazenda Sacramento.","Arbóreo, fruto imaturo verde.",NA,NA,"-42.428611","-19.725278","270","270",NA,NA,NA,NA,NA,NA
"14","2019-11-13 11:28:14-03","USP","SPF","160213","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","glazioviana","Picramnia glazioviana glazioviana","França, GS","317","2003","04","10","Brasil","Minas Gerais","Pingo-d'Água","-42.428611","-19.725278",NA,"SPF00160213",NA,"Engl.","Pirani, JR","Fazenda Sacramento.","Arbusto.",NA,NA,"-42.428611","-19.725278","270","270","2004",NA,NA,"glazioviana",NA,NA
