"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","identifiedBy","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","recordNumber","barcode","imagecode","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType"
"1","2020-01-28 13:11:19-03","MCN-PUC-MINAS","HPUC-MG","ANG532","S","Plantae","Fabaceae","Samanea","inopinata","Samanea inopinata","Maielo - Silva, L.","2011","09","17","Brasil","Minas Gerais","Piranga","Piranga","-43.3003005981445","-20.684700012207","23775","Nº IBAMA (CTF) = 4477412.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-28 13:11:43-03","MCN-PUC-MINAS","HPUC-MG","PTF035","S","Plantae","Pteridaceae","Adiantopsis","radiata","Adiantopsis radiata","Maielo, Silva, L. et al","2009","12","17","Brasil","Minas Gerais","Piranga","Piranga","-43.296944","-20.683056",NA,NA,NA,"Pteridophyta","Maielo, Silva, L.","43° 17' 49'' W","20° 40' 59'' S","683","683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-01-28 13:11:42-03","MCN-PUC-MINAS","HPUC-MG","PTF059","S","Plantae","Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","Maielo, Silva, L. et al","2009","12","17","Brasil","Minas Gerais","Piranga","Piranga","-43.296944","-20.683056",NA,NA,NA,"Pteridophyta","Maielo, Silva, L.","43° 17' 49'' W","20° 40' 59'' S","683","683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-28 13:11:07-03","MCN-PUC-MINAS","HPUC-MG","ANG504","S","Plantae","Boraginaceae","Cordia","sellowiana","Cordia sellowiana","Maielo - Silva, L.","2009","09","17","Brasil","Minas Gerais","Piranga","Piranga","-43.3003005981445","-20.684700012207","23775","Nº Ibama (CTF) = 4477412","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-01-28 13:11:07-03","MCN-PUC-MINAS","HPUC-MG","ANG497","S","Plantae","Bignoniaceae","Jacaranda","mimosifolia","Jacaranda mimosifolia","Maielo - Silva, L.","2009","09","27","Brasil","Minas Gerais","Piranga","Piranga","-43.3003005981445","-20.684700012207","23775","Nº Ibama (CTF) = 4477412","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:25:59-03","PUCPR","HUCP","7426","S","Plantae","Winteraceae","Drimys","brasiliensis","Drimys brasiliensis","Hatschbach, GG; Silva, JM","1991","10","15","Brasil","Minas Gerais","Piranga",NA,"-43.3003005981445","-20.684700012207","23775",NA,"auto","Eudicotiledonea","Hatschbach, GG",NA,NA,"850","850","Miers","55747","HUCP00019589","HUCP00019589",NA,NA,NA,NA,NA,NA
"7","2020-02-13 14:11:35-03","MN","R","236923","S","Plantae","Malpighiaceae","Heteropterys","macrostachya","Heteropterys macrostachya","Tostes, R.B.","2019","01","08","Brasil","Minas Gerais","Piranga","Comunidade Santo Antônio de Guiné","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,NA,NA,"R010064925,R010064926,R010064927","R010064925 R010064926 R010064927",NA,NA,NA,NA,NA,NA
"8","2020-02-13 14:09:04-03","MN","R","236843","S","Plantae","Euphorbiaceae","Croton","urucurana","Croton urucurana","Tostes, R.B.","2019","01","09","Brasil","Minas Gerais","Piranga","Comunidade Santo Antônio de Guiné","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,NA,NA,NA,NA,NA,"Baill.",NA,"R010064816,R010064835","R010064816 R010064835",NA,NA,NA,NA,NA,NA
"9","2020-02-13 14:07:29-03","MN","R","236804","S","Plantae","Asteraceae","Bidens","pilosa","Bidens pilosa","Tostes, R.B.","2017","10","23","Brasil","Minas Gerais","Piranga","Comunidade Santo Antonio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"L.",NA,"R010064520,R010064521","R010064520 R010064521",NA,NA,NA,NA,NA,NA
"10","2020-02-13 14:06:14-03","MN","R","236855","S","Plantae","Alismataceae","Echinodorus","grandiflorus","Echinodorus grandiflorus","Tostes, R.B.","2019","02","05","Brasil","Minas Gerais","Piranga","Comunidade Santo Antonio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"(Cham. & Schhdl.) Micheli",NA,"R010064844,R010064845","R010064844 R010064845",NA,NA,NA,NA,NA,NA
"11","2020-02-13 14:13:10-03","MN","R","236928","S","Plantae","Polygalaceae","Diclidanthera","laurifolia","Diclidanthera laurifolia","Tostes, R.B.","2019","01","15","Brasil","Minas Gerais","Piranga","Comunidade Santo Antonio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"Mart.",NA,"R010064932,R010064933,R010064934","R010064932 R010064933 R010064934",NA,NA,NA,NA,NA,NA
