"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","barcode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","imagecode","locality","phylum","occurrenceRemarks","continentOcean","class","order"
"1","2020-02-13 14:08:08-03","MN","R","229460","S","Plantae","Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis","(Miq.) Backeb.","Couto, D.R.; Paixao, B.; Jacques, S. & Uribbe, F.P.","2381","2013","11","05","Brasil","Minas Gerais","Pocrane","-41.6369018554688","-19.6196994781494","41º68'W","19º63'S","27542","521","521","R010022182","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-13 14:06:25-03","MN","R","233068","S","Plantae","Anemiaceae","Anemia","retroflexa","Anemia retroflexa","Brade","Couto, D.R. 2398; Paixão, B.S.; Jaques, S. & Uribbe, F.P.",NA,"2013","06","05","Brasil","Minas Gerais","Pocrane","-41.6369018554688","-19.6196994781494","41°68'W","19°63' S","27542","521","521","R010044361","auto","Costa, F.S.N.","2018","02","20","R010044361",NA,NA,NA,NA,NA,NA
"3","2020-02-13 14:13:45-03","MN","R","235604","S","Plantae","Velloziaceae","Vellozia",NA,"Vellozia",NA,"Couto, D.R. 2390; Paixão-Souza, B.; Jaques, S. & Uribbe, F.P.",NA,"2013","11","05","Brasil","Minas Gerais","Pocrane","-41.6369018554688","-19.6196994781494","41°68'W","19°63'S","27542","521","521","R010060440","auto",NA,NA,NA,NA,"R010060440","Pedra de Santa Maria",NA,NA,NA,NA,NA
"4","2020-02-10 17:52:54-03","UNICAMP","UEC","42107","S","Plantae","Fabaceae","Mimosa","schomburgkii","Mimosa schomburgkii","(A.DC.) Kunth","Heringer, EP","18299","1981","05","15","Brazil","Minas Gerais","Pocrane","-41.6369018554688","-19.6196994781494",NA,NA,"27542",NA,NA,"UEC021617","auto","Silva, JS","2013","05","04",NA,"Ávore abundante no município de Manhuaçu, Ipenema e Pocrane.","Magnoliopsida","Nessas localidades ela se apresenta formando populações densas na capoeira.",NA,NA,NA
"5","2019-12-16 17:40:45-03","UFMG","BHCB","131881","PreservedSpecimen","Plantae","Acanthaceae","Aphelandra",NA,"Aphelandra",NA,"Souza, DT; Almeida, TE; Cota, MMT","772","2009","05","31","Brasil","Minas Gerais","Pocrane","-41.67","-19.545278","-41.67","-19.545278",NA,"261","261","BHCB052785",NA,NA,NA,NA,NA,"BHCB052785","Ás margens do rio Manhuaçu.","Dicotyledon","Arbusto. Flores com pétalas vermelhas.; Interior de FESD. Vegetação Ciliar. Ambientes dominados por pastagens, com pequenas manchas de Vegetação Ciliar e Floresta Estacional Semidecidual.","Southern America",NA,NA
"6","2019-10-02 14:54:03-03","UFMG","BHCB","131878","PreservedSpecimen","Plantae","Fabaceae","Hymenaea","courbaril","Hymenaea courbaril","L.","Souza, DT; Almeida, TE; Cota, MMT","769","2009","05","31","Brasil","Minas Gerais","Pocrane","-41.67","-19.545278","-41.67","-19.545278",NA,"261","261","BHCB014013",NA,NA,"2015","04",NA,NA,"Rio Manhuaçu., Vegetação ciliar às margens do rio.","Dicotyledon","Árvore de 6 metros . Frutos imaturos verdes; Isolada em pasto na beira da estrada. Ambientes dominados por pastagens, com pequenas manchas de Vegetação ciliar e Floresta Estacional Semidecidual","Southern America",NA,NA
"7","2019-10-02 15:02:37-03","UFMG","BHCB","131882","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","deflexa","Psychotria deflexa","DC.","Souza, DT; Almeida, TE; Cota, MMT","773","2009","05","31","Brasil","Minas Gerais","Pocrane","-41.67","-19.545278","-41.67","-19.545278",NA,"261","261",NA,NA,NA,NA,NA,NA,NA,"Rio Manhuaçu.","Dicotyledon","Vegetação ciliar. Ambientes dominados por pastagens, com pequenas manchas de vegetação ciliar e Floresta Estacional Semidecidual. Arbustivo no interior de FESD. Frutos imaturos verdes, maduros pretos. Dois exemplares diferentes numa só exsicata.","Southern America",NA,NA
"8","2019-12-16 17:40:50-03","UFMG","BHCB","131887","PreservedSpecimen","Plantae","Acanthaceae","Ruellia",NA,"Ruellia","L.","Souza, DT; Almeida, TE; Cota, MMT","778","2009","06","01","Brasil","Minas Gerais","Pocrane","-41.644444","-19.501944","-41.644444","-19.501944",NA,"261","261","BHCB053327",NA,NA,NA,NA,NA,"BHCB053327","Serra do Azeite, Margens do Rio Manhuaçu. Córregos no pé da Serra.","Dicotyledon","Erva. Folhas com a face adaxial roxa e dlores com pétalas lilás.; Interior de Mata de Galeria. Vegetação Ciliar.","Southern America",NA,NA
"9","2019-10-02 15:03:15-03","UFMG","BHCB","131889","PreservedSpecimen","Plantae","Sapindaceae","Toulicia","tomentosa","Toulicia tomentosa","Radlk.","Souza, DT; Almeida, TE; Cota, MMT","780","2009","06","01","Brasil","Minas Gerais","Pocrane","-41.644444","-19.501944","-41.644444","-19.501944",NA,"261","261","BHCB047154",NA,NA,"2009","09",NA,NA,"Rio Manhuaçu., Vegetação ciliar às margens do rio. Mata de Galeria de córregos no pé da Serra do Azeite","Dicotyledon","Árvore de 8 metros, flores com pétalas brancas e sépalas creme; Na borda de mata de galeria","Southern America",NA,NA
"10","2019-10-02 14:57:15-03","UFMG","BHCB","131886","PreservedSpecimen","Plantae","Melastomataceae","Miconia","prasina","Miconia prasina","(Sw.) DC.","Souza, DT; Almeida, TE; Cota, MMT","777","2009","06","01","Brasil","Minas Gerais","Pocrane","-41.6369018554688","-19.6196994781494",NA,NA,"27542","261","261","BHCB003087","auto",NA,"2011","02","22",NA,"Serra do Azeite, Vegetação ciliar às margens do rio Manhuaçu, Mata de Galeria de córregos ao pé da Serra do Azeite.","Dicotyledon","Árvore de 8 metros no interior de Mata de Galeria. Botões florais verdes, flores brancas.","Southern America",NA,NA
