"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","class","relationshipType","relatedCatalogItem","individualCount"
"1","2019-12-16 18:14:13-03","NYBG","NYBG","407349","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","schiedeana","Pavonia schiedeana","Steud.","H. S. Irwin","2232","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km E of Ponte Nova","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134308 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00407349","NY00407349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:35:27-03","NYBG","NYBG","233178","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Peltastes","tubiflorus","Peltastes tubiflorus","Woodson","H. S. Irwin","2246","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. East of Ponte Nova","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=763074 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00233178","NY00233178 NY00233178_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:35:43-03","NYBG","NYBG","00957110","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","aduncum","Piper aduncum","L.","G. M. Magalhaes","18879","1962","06","11","South America","Brazil","Minas Gerais","Ponte Nova","Campo de Cana.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086400 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957110","NY00957110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:35:43-03","NYBG","NYBG","00957111","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","aduncum","Piper aduncum","L.","G. M. Magalhaes","19016","1962","06","11","South America","Brazil","Minas Gerais","Ponte Nova","Campo de Cana.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086405 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957111","NY00957111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:36:02-03","NYBG","NYBG","00957337","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","crassinervium","Piper crassinervium","Kunth","G. M. Magalhaes","19015","1962","06","11","South America","Brazil","Minas Gerais","Ponte Nova","Campo de Cana.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094006 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957337","NY00957337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:54:00-03","NYBG","NYBG","929547","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","heptaphyllum","Protium heptaphyllum","(Aubl.) Marchand","E. T. Neto","2102","1996","09","25","South America","Brazil","Minas Gerais","Ponte Nova","EPDA - JACOB - CEMIG.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050729 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00929547","NY00929547",NA,"E. T. Neto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:54:33-03","NYBG","NYBG","929583","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","ovatum","Protium ovatum","Engl.","E. T. Neto","2075","1996","06","26","South America","Brazil","Minas Gerais","Nova Ponte","EPDA - JACOB / CEMIG.","-47.6744","-19.1528","-47.6744","-19.1528","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051266 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00929583","NY00929583",NA,"E. T. Neto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:54:18-03","NYBG","NYBG","929584","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","ovatum","Protium ovatum",NA,"E. T. Neto","2127","1996","09","25","South America","Brazil","Minas Gerais","Nova Ponte","EPDA - JACOB / CEMIG.","-47.6744","-19.1528","-47.6744","-19.1528","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051270 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00929584","NY00929584",NA,"D. C. Daly","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:54:50-03","NYBG","NYBG","929642","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","spruceanum","Protium spruceanum",NA,"L. V. Costa","s.n.","1997","03",NA,"South America","Brazil","Minas Gerais","Ponte Nova",NA,"-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1052186 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00929642","NY00929642",NA,"D. C. Daly","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 17:42:58-03","NYBG","NYBG","1005551","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","vellosiana","Psychotria vellosiana","Benth.","H. S. Irwin","2251","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090681 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01005551","NY01005551",NA,"J. H. Kirkbride Jr.","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
