"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","locality","identifiedBy","yearIdentified","monthIdentified","phylum","dayIdentified"
"1","2020-03-10 08:30:08-03","UFV","VIC","007960","PreservedSpecimen","Plantae","Pinaceae","Pinus","taeda","Pinus taeda","Linn","Maciel, M.J.","s.n.","1977","09","12","Brasil","Minas Gerais","Porto Firme","-43.084400177002","-20.6732997894287","14352","Maior familia de Gimnosperma viva, de centro de dispersão no Hemisferio Norte.","VIC007960","VIC007960","auto",NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:28:08-03","UFV","VIC","42465","PreservedSpecimen","Plantae","Cladosporiaceae","Cladosporium-Like(A)",NA,"Cladosporium-Like(A)",NA,"Guatimosim, Eduardo","161","2012","08","13","Brasil","Minas Gerais","Porto Firme","-43.084400177002","-20.6732997894287","14352","Macrothelypteris torresiana (Gaudich.) Ching","VIC042465",NA,"auto","2 Km antes do trevo de Catas Altas da Noruega.",NA,NA,NA,NA,NA
"3","2020-03-10 08:29:32-03","UFV","VIC","35492","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","Aubl.","Demuner, A.J.; Montanari, R.M.","57","2012","02","11","Brasil","Minas Gerais","Porto Firme","-43.084400177002","-20.6732997894287","14352","Arbusto com 1,5 a 3,0m de altura, folhas aromáticas.","VIC035492","VIC035492","auto","Distribuidos nas bordas dos fragmentos de mata.",NA,NA,NA,NA,NA
"4","2020-03-10 08:26:52-03","UFV","VIC","8977","PreservedSpecimen","Plantae","Apocynaceae","Tabernaemontana",NA,"Tabernaemontana",NA,"Garcia, M.V.B.","s.n.","1984","11","10","Brasil","Minas Gerais","Porto Firme","-43.084400177002","-20.6732997894287","14352","Árvore com cerca de 4,0 metros de altura, folhas simples opostas, bordos ondulados, brilhantes. Flores brancas reunidas em inflorescências axilares, 5 pétalas retorcidas dando forma de espiral à corola. Sépalas em número de 5, pequenas","VIC008977","VIC008977","auto","Duas Barras",NA,NA,NA,NA,NA
"5","2020-03-10 08:30:31-03","UFV","VIC","8978","PreservedSpecimen","Plantae","Rubiaceae","Alseis","floribunda","Alseis floribunda","Schott","Garcia, M.V.B.","s.n.","1984","11","10","Brasil","Minas Gerais","Porto Firme","-43.084400177002","-20.6732997894287","14352","Arbusto, c.a. de 2,5 metros de altura; folhas simples, opostas, flores brancas amareladas (pétalas), 5 pétalas unidas, 5 sépalas, 4 estames cujos filetes são pilosos à base.","VIC008978","VIC008978","auto","Duas Barras","Kirkbride, J.H.","1985",NA,NA,NA
"6","2020-03-10 08:29:51-03","UFV","VIC","8974","PreservedSpecimen","Plantae","Papilionoideae","Andira",NA,"Andira",NA,"Garcia, M.V.B.","s.n.","1984","11","10","Brasil","Minas Gerais","Porto Firme","-43.084400177002","-20.6732997894287","14352","Árvore, c.a. de 8,0 metros de altura; folhas compostas imparipenadas, coriáceas, flores róseas, com cálice de cor roxa.","VIC008974","VIC008974","auto","Duas Barras - Sítio da Cachoeira",NA,NA,NA,NA,NA
"7","2020-03-10 08:30:08-03","UFV","VIC","5932","PreservedSpecimen","Plantae","Phytolaccaceae","Phytolacca","thyrsiflora","Phytolacca thyrsiflora","Fenzl","Vida, W.N.; et al.","468","1978","10","24","Brasil","Minas Gerais","Porto Firme","-43.084400177002","-20.6732997894287","14352","Erva de 2 m, ramosa, única no ocal, flor de cor vinho.","VIC005932","VIC005932","auto","Estrada de Porto firme a uns 10 km de Viçosa",NA,NA,NA,NA,NA
"8","2020-03-10 08:28:39-03","UFV","VIC","8954","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema",NA,"Lacistema",NA,"Garcia, M.V.B.","s.n.","1984","09","15","Brasil","Minas Gerais","Porto Firme","-43.084400177002","-20.6732997894287","14352","Arbusto de mais ou menos 2 m, folhas alternas, flores em inflorescência axilares, frutos vermelhos.","VIC008954",NA,"auto","Estrada de posse ao Turvo.",NA,NA,NA,NA,NA
"9","2020-03-10 08:27:20-03","UFV","VIC","7119","PreservedSpecimen","Plantae","Asteraceae","Trixis","antimenorrhoea","Trixis antimenorrhoea","(Schrank) Mart. ex Kuntze","Garcia, M.V.B.","s.n.","1984","09","15","Brasil","Minas Gerais","Porto Firme","-43.084400177002","-20.6732997894287","14352","Planta herbácea, trepadeira, folhas simples, alternas, pilosas, flores brancas, reunidas em capítulos.","VIC007119","VIC007119","auto","Estrada de Posse ao Turvo",NA,NA,NA,NA,NA
"10","2020-03-10 08:27:15-03","UFV","VIC","7113","PreservedSpecimen","Plantae","Asteraceae","Mikania","hirsutissima","Mikania hirsutissima","DC.","Garcia, M.V.B.","s.n.","1984","09","15","Brasil","Minas Gerais","Porto Firme","-43.084400177002","-20.6732997894287","14352","Planta herbácea, trepadeira, flores brancas em capítulos, folhas opostas cordiformes.","VIC007113","VIC007113","auto","Estrada indo do Café para a Posse",NA,NA,NA,NA,NA
