"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","specificEpithet","identifiedBy","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordNumber","barcode","imagecode","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-01-28 13:10:58-03","MCN-PUC-MINAS","HPUC-MG","ANG444","S","Plantae","Annonaceae","Xylopia","Xylopia","Maielo - Silva, L.","2011","12","20","Brasil","Minas Gerais","Presidente Bernardes","Presidente Bernardes","-43.1875","-20.7686004638672","15284","Nº IBAMA (CTF) = 4477412","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-28 13:11:42-03","MCN-PUC-MINAS","HPUC-MG","PTF022","S","Plantae","Anemiaceae","Anemia","Anemia hirsuta","Maielo, Silva, L. et al","2009","12","20","Brasil","Minas Gerais","Presidente Bernardes","Presidente Bernardes","-43.1875","-20.7686004638672","15284",NA,"auto","Pteridophyta","hirsuta","Maielo, Silva, L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-03-20 11:47:06-03","MCN-PUC-MINAS","HPUC-MG","ANG581","S","Plantae","Campanulaceae","Siphocampylus","Siphocampylus macropodus","Maielo - Silva, L.","2009","12","20","Brasil","Minas Gerais","Presidente Bernardes","Presidente Bernardes","-43.1875","-20.7686004638672","15284","Nº Ibama (CTF) = 4477412","auto",NA,"macropodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-28 13:11:10-03","MCN-PUC-MINAS","HPUC-MG","ANG582","S","Plantae","Elaeocarpaceae","Sloanea","Sloanea","Maielo - Silva, L.","2009","12","20","Brasil","Minas Gerais","Presidente Bernardes","Presidente Bernardes","-43.1875","-20.7686004638672","15284","Nº Ibama (CTF) = 4477412","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:27:45-03","UFV","VIC","25969","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","Vriesea procera","Paula, C.C. de","2001","02","03","Brasil","Minas Gerais","Presidente Bernardes","Bananal","-43.1875","-20.7686004638672","15284","Epífita","auto",NA,"procera","Paula, C.C. de","(Martius ex Schult. f.) Wittmack","2001","06","26","s.n.","VIC025969","VIC025969",NA,NA,NA,NA,NA
"6","2020-03-10 08:26:46-03","UFV","VIC","46199","PreservedSpecimen","Plantae","Anemiaceae","Anemia","Anemia mickelii","Schwartsburd, P.B.; Lucas, C.T.J.","2015","02","01","Brasil","Minas Gerais","Presidente Bernardes","Margens do Rio piranga","-43.1875","-20.7686004638672","15284",NA,"auto",NA,"mickelii","Schwartsburd, P.B.; Rabelo, L.S.","Schwartsburd, P.B. & Rabelo, L.S.","2016","02",NA,"3486","VIC046199",NA,NA,NA,NA,NA,NA
"7","2020-03-10 08:26:46-03","UFV","VIC","046197","PreservedSpecimen","Plantae","Anemiaceae","Anemia","Anemia hispida","Valente, G.E.; Azevedo, A.A.","2015","02","01","Brasil","Minas Gerais","Presidente Bernardes","Margens do Rio piranga","-43.1875","-20.7686004638672","15284",NA,"auto",NA,"hispida",NA,"Kunzl",NA,NA,NA,"3484","VIC046197",NA,NA,NA,NA,NA,NA
"8","2020-02-10 19:56:04-03","UFJF","CESJ","14087","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","Dioscorea multiflora","L. Krieger","1976","03","21","Brasil","Minas Gerais","Presidente Bernardes",NA,"-43.1875","-20.7686004638672","15284","Cipó robusto, espinhoso até 5 a 6m de comprimento, planta masculina, flores brancas esverdeadas, sarmentos partindo de um engrossamento de 5 a 10cm, nodoso, lenhoso, aonde partem numerosas raizes fibrosa longa e esbranquissadas. Beira de rio em terreno b","auto","Angiosperma","multiflora","G.Pedralli","Mart. ex Griseb.","1990","05","07","CESJ14087","CESJ014087",NA,"América do Sul",NA,NA,NA,NA
"9","2019-08-20 10:12:58-03","UNICAMP","UEC","135492","S","Plantae","Fabaceae","Crotalaria","Crotalaria lanceolata","Kinoshita, LS; Belinello, R; Simões, AO","2002","02","03","Brazil","Minas Gerais","Presidente Bernardes","Rodovia SP 170, Sentido Santo Anastácio - Presidente Bernardes.","-51.576361","-22.037528",NA,"Arbusto, cerca de 70 cm, flores amarelas. Em beira de estrada.",NA,"Magnoliopsida","lanceolata","Flores, AS","E.Mey.","2002","02","03","200258","UEC151934","UEC151934",NA,"-51.576361","-22.037528",NA,NA
"10","2019-11-13 11:32:48-03","USP","SPF","117683","PreservedSpecimen","Plantae","Verbenaceae","Lippia","Lippia origanoides","Pietrobom da Silva, MR","1996","03","08","Brasil","Minas Gerais","Presidente Bernardes",NA,"-51.566667","-22.016667",NA,NA,NA,NA,"origanoides","Salimena-Pires, FRG","Kunth","2011","09",NA,"3065","SPF00117683","SPF00117683",NA,"-51.566667","-22.016667","430","430"
"11","2019-11-13 11:15:44-03","USP","SPF","117528","PreservedSpecimen","Plantae","Araliaceae","Schefflera","Schefflera vinosa","Pietrobom da Silva, MR","1996","03","10","Brasil","Minas Gerais","Presidente Bernardes",NA,"-51.566667","-22.016667",NA,NA,NA,NA,"vinosa","Fiaschi, P","(Cham. & Schltdl.) Frodin & Fiaschi","2002",NA,NA,"3171","SPF00117528","SPF00117528",NA,"-51.566667","-22.016667","400","450"
