"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","individualCount","class","relatedCatalogItem"
"1","2019-12-16 18:15:54-03","NYBG","NYBG","00940343","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","ericoides","Cuphea ericoides","Cham. & Schltdl.","T. B. Cavalcanti","1989","02","15","T. B. Cavalcanti","179","1989","02","15","South America","Brazil","Minas Gerais","Presidente Kubitschek","BR-269 - Serro-Datas. 35 km.","-43.65","-18.47","-43.65","-18.47","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968505 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00940343","NY00940343",NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 16:51:14-03","NYBG","NYBG","908837","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","pohlii","Lychnophora pohlii","Sch.Bip.","B. Loeuille","2009",NA,NA,"T. B. Cavalcanti","183","1989","02","15","South America","Brazil","Minas Gerais","Presidente Kubitschek","BR-269, Serro-Datas, 35 km.","-43.65","-18.47","-43.65","-18.47","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978634 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00908837","NY00908837",NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:41:52-03","NYBG","NYBG","00898501","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Actinocephalus","geniculatus","Actinocephalus geniculatus","(Bong.) F.N.Costa","M. L. O. Trovó","2015",NA,NA,"N. Hensold","529","1982","02","20","South America","Brazil","Minas Gerais","Presidente Kubitschek","Along the Datas-Sêrro road, 9 km E of jct. with road to Costa Sena.","-43.575","-18.5722","-43.5750","-18.5722","1250","1250","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970935 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00898501","NY00898501",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:34:18-03","NYBG","NYBG","898693","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","longiflora","Barbacenia longiflora","Mart.","R. de Mello-Silva","1998","06",NA,"J. R. Pirani","4075","1998","03","01","South America","Brazil","Minas Gerais","Presidente Kubitschek","Rodovia Datas-Serro, ramal para Costa Senna","-43.6722","-18.6528","-43.6722","-18.6528","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=976866 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00898693","NY00898693",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 17:17:56-03","NYBG","NYBG","02707951","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","ramosa","Chamaecrista ramosa","(Vogel) H.S.Irwin & Barneby",NA,NA,NA,NA,"M. M. T. Cota","661","2014","01","13","South America","Brazil","Minas Gerais","Presidente Kubitschek","Trinta Réis, rodovia Datas-Serro (BR 259), km 442, ca. de 500 m NW de Trinta Réis. Grande inselberg quartzitico ao lado da rodovia.","-43.59189","-18.57269","-43.59189","-18.57269","1190","1190","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2992889 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02707951","NY02707951",NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 17:18:28-03","NYBG","NYBG","00960873","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","semaphora","Chamaecrista semaphora","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","R. C. Barneby",NA,NA,NA,"G. G. Hatschbach","53106","1989","05","23","South America","Brazil","Minas Gerais","Presidente Kubitschek","Rod. BR-259","-43.5619","-18.6144","-43.5619","-18.6144","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051767 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00960873","NY00960873",NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:15:53-03","NYBG","NYBG","00940576","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","acinos","Cuphea acinos","A.St.-Hil.","T. B. Cavalcanti",NA,NA,NA,"S. A. T. Graham","875","1982","03","13","South America","Brazil","Minas Gerais","Presidente Kubitschek","At Pedro Lesso, 38 km. SE of intersection of Diamantina-Curvelo road on Serro Road.","-43.5619","-18.6144","-43.5619","-18.6144","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00940576","NY00940576",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:15:54-03","NYBG","NYBG","00940306","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","diosmifolia","Cuphea diosmifolia","A.St.-Hil.","T. B. Cavalcanti",NA,NA,NA,"S. A. T. Graham","876","1982","03","13","South America","Brazil","Minas Gerais","Presidente Kubitschek","At Pedro Lesso, 38 km. SE of intersection of Diamantina-Curvelo road on Serro Road.","-43.5619","-18.6144","-43.5619","-18.6144","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959327 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00940306","NY00940306",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 17:38:53-03","NYBG","NYBG","950073","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Declieuxia",NA,"Declieuxia",NA,NA,NA,NA,NA,"T. B. Cavalcanti","182","1989","02","15","South America","Brazil","Minas Gerais","Presidente Kubitschek","BR-269 - Serro-Datas. 35 km.","-43.65","-18.47","-43.65","-18.47","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049246 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00950073","NY00950073",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 18:16:12-03","NYBG","NYBG","00940277","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","glaucescens","Diplusodon glaucescens","DC.","S. A. T. Graham",NA,NA,NA,"S. A. T. Graham","874","1982","03","13","South America","Brazil","Minas Gerais","Presidente Kubitschek","33 km. SE of intersection of Diamantina-Curvelo road with road to Serro, on Serro Road.","-43.5619","-18.6144","-43.5619","-18.6144","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1012054 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00940277","NY00940277",NA,NA,NA,NA,NA,NA,NA
