"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","identifiedBy","recordNumber","year","month","day","barcode","yearIdentified","imagecode","locality","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","infraspecificEpithet","continentOcean"
"1","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2123","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Octomeria","crassifolia","Octomeria crassifolia","Lindl.","Rubens Custódio;","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2151","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Xylobium","variegatum","Xylobium variegatum","(Ruiz & Pav.) Garay & Dunst.","Rubens Custódio;","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-07-11 08:56:49-03","ESALQ","ESA","15468","S","Plantae","Magnoliophyta",NA,NA,"Plantaginaceae","Scoparia","dulcis","Scoparia dulcis","L.","Carvalho, A.M.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,NA,"auto","Souza, V.C.","135","1992","09","04","ESA015468",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-22 15:17:15-03","ESALQ","ESA","48462","S","Plantae","Magnoliophyta",NA,NA,"Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa",NA,"Salino, A.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,NA,"auto","Lewis, G.P.","3922","1998","02","03","ESA048462","2009","ESA048462",NA,NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:30:17-03","UFV","VIC","48779","PreservedSpecimen","Plantae",NA,NA,NA,"Poaceae","Merostachys",NA,"Merostachys",NA,"Cupertino-Eisenlohr, M.A.; Cupertino, M.R.; Cupertino, A.C.","Brasil","Minas Gerais","Raul Soares","-42","-19",NA,NA,"Indivíduos com, aproximadamente, 7.5 m de altura, inicialmente eretos e arqueando-se sobre a vegetação. Entrenós com 5-60 cm de comprimento, verde azulado, escabro; parede com 2-3 mm de espessura.",NA,"Cupertino-Eisenlohr, M.A.","79","2016","01","24","VIC048779",NA,"VIC048779","Santana do Tabuleiro, Córrego Grande, Propriedade da Senhora Maria do Carmo Cupertino divisa com a Propriedade de Ângelo Cupertino","-42","-19",NA,NA,NA,NA
"6","2020-03-10 08:30:17-03","UFV","VIC","48781","PreservedSpecimen","Plantae",NA,NA,NA,"Poaceae","Merostachys","tatianae","Merostachys tatianae","Santos-Gonç., Carv.-Okano & Filg.","Cupertino-Eisenlohr, M.A.; Cupertino, M.R.; Cupertino, A.C.","Brasil","Minas Gerais","Raul Soares","-42","-19",NA,NA,"Indivíduos com, aproximadamente, 11 m de altura. Colmo ereto com tricomas esbranquiçado. Entrenós com 16-95 cm de comprimento; parede com 1 mm de espessura.",NA,"Vinícius-Silva, R.","81","2016","01","24","VIC048781","2016","VIC048781","Santana do Tabuleiro, Córrego Grande, Propriedade do Modesto Badú, divisa com a Propriedade de Ângelo Cupertino","-42","-19","02","24",NA,NA
"7","2020-03-10 08:30:17-03","UFV","VIC","48780","PreservedSpecimen","Plantae",NA,NA,NA,"Poaceae","Merostachys","tatianae","Merostachys tatianae","Santos-Gonç., Carv.-Okano & Filg.","Cupertino-Eisenlohr, M.A.; Cupertino, M.R.; Cupertino, A.C.","Brasil","Minas Gerais","Raul Soares","-42","-19",NA,NA,"Indivíduos com, aproximadamente, 9 m de altura. Colmo ereto com tricomas esbranquiçado. Entrenós com 14-65 cm de comprimento; parede com 1 mm de espessura.",NA,"Vinícius-Silva, R.","80","2016","01","24","VIC048780","2016","VIC048780","Santana do Tabuleiro, Córrego Grande, Propriedade do Modesto Badú, divisa com a Propriedade de Ângelo Cupertino","-42","-19","02","24",NA,NA
"8","2020-03-10 08:30:43-03","UFV","VIC","011613","PreservedSpecimen","Plantae",NA,NA,NA,"Sapindaceae","Serjania",NA,"Serjania",NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Cipó de flores creme.","auto",NA,"33","1992","08","03","VIC011613",NA,"VIC011613",NA,NA,NA,NA,NA,NA,NA
"9","2020-03-10 08:27:31-03","UFV","VIC","11612","PreservedSpecimen","Plantae",NA,NA,NA,"Bignoniaceae","Pyrostegia","venusta","Pyrostegia venusta","(Ker Gawl.) Miers","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Cipó de flores alaranjadas.","auto",NA,"32","1992","08","03","VIC011612",NA,"VIC011612",NA,NA,NA,NA,NA,NA,NA
"10","2020-03-10 08:30:59-03","UFV","VIC","11746","PreservedSpecimen","Plantae",NA,NA,NA,"Verbenaceae","Lantana","fucata","Lantana fucata","Lindl","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva de +/- 1m, flores brancas","auto","Silva, T.R.S.","154","1992","09","09","VIC011746","1999","VIC011746",NA,NA,NA,"10",NA,NA,NA
"11","2020-03-10 08:30:08-03","UFV","VIC","11618","PreservedSpecimen","Plantae",NA,NA,NA,"Piperaceae","Piper","aduncum","Piper aduncum","L.","Carvalho, A. .F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Arbusto de ca de 2,5 m.","auto",NA,"38","1992","08","03","VIC011618",NA,"VIC011618",NA,NA,NA,NA,NA,NA,NA
