"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","specificEpithet","scientificNameAuthorship","recordNumber","locality","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","occurrenceRemarks","phylum","continentOcean","minimumElevationInMeters","maximumElevationInMeters","class","order"
"1","2020-02-13 14:06:09-03","MN","R","230480","S","Plantae","Alismataceae","Echinodorus","Echinodorus","Lourenço, A.R 62; Pavan, D. 160","2016","04","03","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142","R010068130","R010068130","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-13 14:06:51-03","MN","R","220622","S","Plantae","Apocynaceae","Laseguea","Laseguea erecta","Sampaio, A.J.","1905","11","24","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142","R010014609,R010014610",NA,"auto","erecta","Müll. Arg.","254","Campo Alegre de Minas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:29:12-03","UFV","VIC","37799","PreservedSpecimen","Plantae","Mimosoideae","Albizia","Albizia polycephala","Batista, M.L.; Vieira, D.M.","2011","12","14","Brasil","Minas Gerais","Resplendor","-41.2625","-19.326944",NA,"VIC037799",NA,NA,"polycephala","(Benth.) Killip","s.n.","P.E.S.S., Estrada de terra.","Batista, M.L.","2012","04","19","-41.2625","-19.326944","Árvore 8m alt., com flores.",NA,NA,NA,NA,NA,NA
"4","2020-03-10 08:29:29-03","UFV","VIC","46386","PreservedSpecimen","Plantae","Mimosoideae","Senegalia","Senegalia loretensis","A.A. da Luz","2005","04","14","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142","VIC046386","VIC046386","auto","loretensis","(J.F.Macbr.) Seigler & Ebinger","284","BR #?# 259","Terra, V.","2014","03",NA,NA,NA,"Pasto. Árvore, 13m. Flor branca, botão verde. Seiva incolor; descamação ausente.; Árvore, 13m. Flor branca, botão verde. Seiva incolor; descamação ausente.; Pasto",NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:28:56-03","UFV","VIC","3926","PreservedSpecimen","Plantae","Malvaceae","Pavonia","Pavonia","Castro, R.","1942","07","17","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142","VIC003926","VIC003926","auto",NA,NA,"s.n.","medeiros, 150m alt.",NA,NA,NA,NA,NA,NA,"Fruto comestivel",NA,NA,NA,NA,NA,NA
"6","2020-03-26 11:48:49-03","UFOPA","HSTM","8986","PreservedSpecimen","Plantae","Gleicheniaceae","Sticherus","Sticherus nigropaleaceus","A. Salino; T.E. Almeida & G. Heringer","2006","05","08","Brasil","Minas Gerais","Resplendor","-43.789444","-20.0875",NA,"HSTM008986",NA,NA,"nigropaleaceus","(J.W.Sturm) J.Prado & Lellinger","10939","Parque Estadual de Sete Salões. Em estrada, perto da torre de rádio de Resplendor, a 820m de altitude, Lat.19º2005,4.","A. Salino",NA,NA,NA,"43º47'22''W","20º5'15''S",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:51:49-03","UFJF","CESJ","57318","PreservedSpecimen","Plantae","Cyatheaceae","Cyathea","Cyathea corcovadensis","A. Salino; T.E. Almeida; G. Heringer","2006","05","08","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142","CESJ057318",NA,"auto","corcovadensis","(Raddi) Domin","10944","Parque Estadual de Sete Salões, Em estrada perto da torre de rádio de Resplendor, a 820m de altitude; Lat.:19º20'05,4S; Lon.:41º19'10,9W.","A. Salino","2006","05",NA,NA,NA,"Em Floresta Semidecidual com Attalea, arborescente, com 1m de altura, em borda de mata. Pecíolo com 95cm compr, lâmina com 210cm compr. (Prensado em álcool).","Polypodiopsida","América do Sul",NA,NA,NA,NA
"8","2019-11-21 14:52:44-03","UFJF","CESJ","57289","PreservedSpecimen","Plantae","Gleicheniaceae","Sticherus","Sticherus nigropaleaceus","A. Salino; T.E. Almeida; G. Heringer","2006","05","08","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142","CESJ057289",NA,"auto","nigropaleaceus","(J.W.Sturm) J.Prado & Lellinger","10939","Parque Estadual de Sete Salões, Em estrada, perto da torre de rádio de Resplendor, a 820m de altitude, Lat.19º20'05,4S; Lon. 41º19'10,9W.","A. Salino","2006","05",NA,NA,NA,"Terrestre, em barranco de estrada, em Floresta Estacional Semidecidual com Attalea. (Prensado em álcool)","Polypodiopsida","América do Sul",NA,NA,NA,NA
"9","2019-11-21 14:36:59-03","UFJF","CESJ","33317","PreservedSpecimen","Plantae","Fabaceae","Platymiscium","Platymiscium floribundum","E. Tameirão-Neto","1997","01","29","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142","CESJ033317",NA,"auto","floribundum","Vogel","2355","UHE Aimorés","E. Tameirão-Neto",NA,NA,NA,NA,NA,"Floresta Semidecidual. Arbóreo.","Angiosperma","América do Sul",NA,NA,NA,NA
"10","2019-11-08 08:52:24-03","FURB","FURB","54151","PreservedSpecimen","Plantae","Gleicheniaceae","Sticherus","Sticherus nigropaleaceus","Salino, A.; Almeida, T.E.; Heringer, G.","2006","05","08","Brasil","Minas Gerais","Resplendor","-41.3197223","-19.3347222",NA,"FURB54151","FURB54151",NA,"nigropaleaceus","(J.W.Sturm) J.Prado & Lellinger","10939","Estrada perto da torre de rádio Resplendor. Parque Estadual de Sete Salões","Salino, A.","2006","05",NA,"-41.3197223","-19.3347222",NA,NA,NA,"820","820",NA,NA
"11","2019-12-05 18:44:19-03","UTFPR","HCF","30030","S","Plantae","Verbenaceae","Lippia","Lippia alba","F. Marinero","2019","02","14","Brasil","MG","Resplendor","-41.253889","-19.301944",NA,NA,NA,NA,"alba","(Mill.) N.E.Br. ex P.Wilson","1173","Rio Doce","F. Marinero","2019","07","11","41°15'14 W","19°18'07 S","subarbusto 40 cm. Flores de corola lilás com fauce amarelada. Várzea.",NA,NA,"99","99",NA,NA
"12","2019-11-26 13:10:39-03","UTFPR","HCF","29835","S","Plantae","Fabaceae","Sesbania","Sesbania virgata","F. Marinero","2019","02","15","Brasil","MG","Resplendor","-41.220278","-19.351111",NA,NA,NA,NA,"virgata","(Cav.) Pers.","1184","Rio Doce","J. Cordeiro & F. Marinero","2019","03","12","41°13'13 W","19°21'04 S","árvore 3 m. Frutos castanhos. Várzea.",NA,NA,"89","89",NA,NA
"13","2019-12-06 15:24:52-03","MBM","MBM","418913","S","Plantae","Verbenaceae","Lippia","Lippia alba","Marinero, F.; Nardin, E.C.; Nardin, E.C.","2019","02","14","Brazil","Minas Gerais","Resplendor","-41.253889","-19.301944",NA,"MBM418913",NA,NA,"alba","(Mill.) N.E. Brown ex Britton & Wilson","1173","Rio Doce","Marinero, F.","1905","07","11","-41.253889","-19.301944",NA,NA,"Southern America","99","99",NA,NA
