"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","continentOcean","infraspecificEpithet","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","order","class"
"1","2019-08-27 12:07:09-03","IAP","PACA-BRYOPHYTES","67225","PreservedSpecimen","Plantae","Pallaviciniaceae","Symphyogyna","brasiliensis","Symphyogyna brasiliensis","Nees","R. Grolle","Daniel M. Vital","132790","1977","07","26","Brasil","MG","Ressaquinha","-43.7627983093262","-21.0625","16778","Habitat: On walls and bordersof na irrigation ditch, along road.","PACA067225","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-13 14:13:29-03","MN","R","11964","S","Plantae","Solanaceae","Nierembergia","graveolens","Nierembergia graveolens","A. St.-Hil.",NA,"Glaziou, A.F.M.","1973","1892","05","09","Brasil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778","Plantas do Brasil Central","R000011964","auto","R000011964_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-13 14:12:59-03","MN","R","11074","S","Plantae","Plantaginaceae","Stemodia","durantifolia","Stemodia durantifolia","(L.) Sw.","Souza, V.C.","Glaziou, A.F.M.","13106","1882","06","07","Brasil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778","Plantas do Brasil Central","R000011074","auto","R000011074_001","1994","06","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:50:29-02","IPA","IPA","24476","S","Plantae","Schizaeaceae","Anemia","oblongifolia","Anemia oblongifolia","(Cav.) Sw.","Leão Barros, I.C.","Duarte, A.P.","723","1946","12","02","Brasil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778",NA,"IPA0024476","auto",NA,"1980","01","04","Plantae","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:50:27-02","IPA","IPA","24551","S","Plantae","Schizaeaceae","Anemia","ferruginea","Anemia ferruginea ferruginea","Kunth","Mickel, J.T.","Duarte, A.P.","748","1946","12","02","Brasil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778",NA,"IPA0024551","auto",NA,"1961",NA,NA,"Plantae","Southern America","ferruginea",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:50:27-02","IPA","IPA","24507","S","Plantae","Schizaeaceae","Anemia","ferruginea","Anemia ferruginea ahenobarba","(Christ.) Mickel","Leão Barros, I.C.","Duarte, A.P.","750","1946","12","02","Brasil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778",NA,"IPA0024507","auto",NA,"1980","01","04","Plantae","Southern America","ahenobarba",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-02-15 11:50:27-02","IPA","IPA","24499","S","Plantae","Schizaeaceae","Anemia","hirsuta","Anemia hirsuta","(L.) Sw.","Leão Barros, I.C.","Duarte, A.P.","749","1946","12","02","Brasil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778",NA,"IPA0024499","auto",NA,"1980","01","04","Plantae","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:03:34-03","UNICAMP","UEC","44958","S","Plantae","Apocynaceae","Mandevilla","novocapitalis","Mandevilla novocapitalis","Markgr.","Sales, MF","Duarte, AP","s.n.","1996","12","02","Brazil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778","flor, Campo seco.","UEC138996","auto",NA,NA,NA,NA,"Magnoliopsida",NA,NA,"Ressaquinha",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-06 14:33:15-03","MBM","MBM","42742","S","Plantae","Asteraceae","Mutisia","campanulata","Mutisia campanulata","Less.","Pasini, E.","Hatschbach, G.; Pabst, G.; Pereira, E.; Pabst, G.; Pereira, E.","11494","1964","09","12","Brazil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778","Trepadeiras de flor vermelha","MBM042742","auto","MBM042742","2010","07","29",NA,"Southern America",NA,"Rod. BR-3",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-06 15:04:15-03","MBM","MBM","44443","S","Plantae","Melastomataceae","Cambessedesia","espora","Cambessedesia espora ilicifolia","(DC.) A.B. Martins","Martins, E.","Pereira, E.; et al.; et al.","9156",NA,NA,NA,"Brazil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778",NA,"MBM044443","auto","MBM044443",NA,NA,NA,NA,"Southern America","ilicifolia","Ressaquinha",NA,NA,NA,NA,NA,NA,NA
"11","2019-10-02 14:56:42-03","UFMG","BHCB","59524","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","espora","Cambessedesia espora","(A.St.-Hil. ex Bonpl.) DC.",NA,"Pereira, E; et al.","9156",NA,NA,NA,"Brasil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778",NA,NA,"auto",NA,NA,NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
