"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","class","order","specificEpithet","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","individualCount","geoFlag","scientificNameAuthorship","continentOcean","typeStatus","infraspecificEpithet","preparationType"
"1","2020-03-04 15:24:16-03","UNESC","CRI","9395","PreservedSpecimen","Plantae","Asteraceae","Hypochaeris","Hypochaeris","M. Verdi; A.L. de Gasper","2058","2009","05","07","Brasil","Minas Gerais","Rio Acima","Morro das Torres.","-43.789444","-20.0875","43º47'22''W","20º5'15''S","1432","1432","Floresta Ombrófila Densa Habito: herbácea","CRI001243","CRI001243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3604","S","Plantae","Orchidaceae","Eltroplectus","Eltroplectus triloba","Carlos Alberto Ferreira Júnior; Juliana Ordones","CAF1594","2015","12","16","Brasil","Minas Gerais","Rio Acima","Ponte sobre o Rio das Velhas","-43.7893981933594","-20.0874996185303","43º47'34.6","20º08'17.3","753","753","254",NA,NA,"Magnoliophyta","Equisetopsida","Asparagales","triloba","Carlos Alberto Ferreira Júnior","2015","12","29","13827","1","auto",NA,NA,NA,NA,NA
"3","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","3711","S","Plantae","Pteridaceae","Adiantum","Adiantum sp.","Carlos Alberto Ferreira Júnior; Juliana Ordones","CAF1596","2015","12","16","Brasil","Minas Gerais","Rio Acima","Ponte sobre o Rio das Velhas","-43.7893981933594","-20.0874996185303","43º47'34.6","20º08'17.3","753","753","254",NA,NA,"Pteridophyta",NA,NA,"sp.","Carlos Alberto Ferreira Júnior","2015","12","29","13827",NA,"auto",NA,NA,NA,NA,NA
"4","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","3270","S","Plantae","Araceae","Anthurium","Anthurium sp.","Carlos Alberto F. Jr.; Juliana Ordones","CAF1325","2013","12","27","Brasil","Minas Gerais","Rio Acima","Ponte do Rio das Velhas, estrada de terra entre Rio Acima e Itabirito","-43.7893981933594","-20.0874996185303",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Equisetopsida","Alismatales","sp.","Carlos A. Ferreira Jr.","2013","12","27","13827","1","auto",NA,NA,NA,NA,NA
"5","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","3603","S","Plantae","Araceae","Anthurium","Anthurium sp.","Carlos Alberto Ferreira Júnior; Juliana Ordones","CAF1592","2015","12","16","Brasil","Minas Gerais","Rio Acima","Ponte sobre o Rio das Velhas","-43.7893981933594","-20.0874996185303","43º47'34.6","20º08'17.3","753","753","254",NA,NA,"Magnoliophyta","Equisetopsida","Alismatales","sp.","Carlos Alberto Ferreira Júnior","2015","12","17","13827","1","auto",NA,NA,NA,NA,NA
"6","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","3608","S","Plantae","Aristolochiaceae","Aristolochia","Aristolochia sp.","Carlos Alberto Ferreira Júnior; Juliana Ordones","CAF1598","2015","12","16","Brasil","Minas Gerais","Rio Acima","Ponte sobre o Rio das Velhas","-43.7893981933594","-20.0874996185303","43º47'34.6","20º08'17.3","753","753","254",NA,NA,"Magnoliophyta",NA,"Piperales","sp.","Carlos Alberto Ferreira Júnior","2015","12","29","13827",NA,"auto",NA,NA,NA,NA,NA
"7","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","3605","S","Plantae","Blechnaceae","Blechnum","Blechnum sp.","Carlos Alberto Ferreira Júnior; Juliana Ordones","CAF1595","2015","12","16","Brasil","Minas Gerais","Rio Acima","Ponte sobre o Rio das Velhas","-43.7893981933594","-20.0874996185303","43º47'34.6","20º08'17.3","753","753","254",NA,NA,"Pteridophyta",NA,NA,"sp.","Carlos Alberto Ferreira Júnior","2015","12","29","13827",NA,"auto",NA,NA,NA,NA,NA
"8","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3268","S","Plantae","Orchidaceae","Cyclopogon","Cyclopogon sp.","Carlos Alberto F. Jr.; Juliana Ordones","CAF1323","2013","12","27","Brasil","Minas Gerais","Rio Acima","Ponte do Rio das Velhas, estrada de terra entre Rio Acima e Itabirito","-43.7893981933594","-20.0874996185303",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Equisetopsida","Asparagales","sp.","Carlos A. Ferreira Jr.","2013","12","27","13827",NA,"auto",NA,NA,NA,NA,NA
"9","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","3271","S","Plantae","Melastomataceae","Eriocnema","Eriocnema acaulis","Juliana Ordones Rego; Ferreira Junior, C.A. et all",NA,"2013","12","27","Brasil","Minas Gerais","Rio Acima","Ponte do Rio das Velhas, estrada de terra entre Rio Acima e Itabirito","-43.7893981933594","-20.0874996185303",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta",NA,"Myrtales","acaulis","Carlos A. Ferreira Jr.","2013","12","27","13827",NA,"auto","(Cham.) Triana",NA,NA,NA,NA
"10","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3362","S","Plantae","Orchidaceae","Eurystyles","Eurystyles sp.","Juliana Ordones; Fernando Araújo",NA,"2014","02","12","Brasil","Minas Gerais","Rio Acima","Ponte do Rio das Velhas, estrada de terra entre Rio Acima e Itabirito","-43.7893981933594","-20.0874996185303",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Equisetopsida","Asparagales","sp.","Carlos A. Ferreira Jr.","2014","02","14","13827","1","auto",NA,NA,NA,NA,NA
