"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","class","monthIdentified","dayIdentified","previousCatalogNumber","infraspecificEpithet","individualCount"
"1","2019-12-16 18:14:12-03","NYBG","NYBG","499617","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","multiflora","Pavonia multiflora","A.St.-Hil.","P. A. Fryxell","1994","J. A. Kallunki","588","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=736600 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00499617","NY00499617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:14:12-03","NYBG","NYBG","52511","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","multiflora","Pavonia multiflora","A.St.-Hil.",NA,NA,"J. A. Kallunki","691","1995","04","19","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Fazenda Lagoa Nova, reached by dirt road turning left (± S) at 24 km from bridge at W edge of Linhares on road to Bananal.","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=736603 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00052511","NY00052511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:53:46-03","NYBG","NYBG","880175","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Phyllostemonodaphne","geminiflora","Phyllostemonodaphne geminiflora",NA,NA,NA,"S. de V. A. Pessôa","959","1998","12","12","South America","Brazil","Espírito Santo","Rio Bananal","Estrada para o PN Boaina, mata na propriedade do Sr. Venuti, acima da casa. Na cachoeira da Água Branca.","-40.3333","-19.265","-40.3333","-19.265","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536853 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00880175","NY00880175","900","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 19:02:44-03","NYBG","NYBG","55397","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","caavurana","Solanum caavurana","Vell.","M. H. Nee","1996","J. A. Kallunki","706","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Santa Angelica, gated dirt road to right at 9 km from church in Bananal on paved road from Bananal to Novo Brasil.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239776 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00055397","NY00055397",NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 19:06:44-03","NYBG","NYBG","1801859","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","scuticum","Solanum scuticum","M.Nee","M. H. Nee","2013","L. L. Giacomin","1872","2012","06","10","South America","Brazil","Espírito Santo","Rio Bananal","Comunidade de Alto Bananal. Prop. do Sr. Jonas Grassi.","-40.4192","-19.2503","-40.4192","-19.2503","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2040512 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01801859","NY01801859","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 17:51:53-03","NYBG","NYBG","413647","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Hernandiaceae","Sparattanthelium","tupiniquinorum","Sparattanthelium tupiniquinorum","Mart.","J. A. Kallunki","1997","J. A. Kallunki","584","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353556 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00413647","NY00413647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:52:33-03","NYBG","NYBG","1280134","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","J. D. Mitchell; D. C. Daly","2009","V. Demuner","3783","2007","04","25","South America","Brazil","Espírito Santo","Rio Bananal","Propr. Jonas Graci","-40.4164","-19.2489","-40.4164","-19.2489","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1592564 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01280134","NY01280134","300","600",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 17:34:18-03","NYBG","NYBG","12293","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Forsteronia","rufa","Forsteronia rufa","Müll.Arg.","B. F. Hansen","1995","J. A. Kallunki","705","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Santa Angelica, gated dirt road to right at 9 km from church in Bananal on paved road from Bananal to Novo Brasil.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258152 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00012293","NY00012293",NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 17:54:19-03","NYBG","NYBG","55407","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Siparuna","reginae","Siparuna reginae","(Tul.) A.DC.","S. S. Renner","1996","J. A. Kallunki","703","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Santa Angelica, gated dirt road to right at 9 km from church in Bananal on paved road from Bananal to Novo Brasil.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148221 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00055407","NY00055407",NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 16:57:27-03","NYBG","NYBG","55403","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Ruprechtia","latifunda","Ruprechtia latifunda","Pendry",NA,NA,"J. A. Kallunki","700","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Santa Angelica, gated dirt road to right at 9 km from church in Bananal on paved road from Bananal to Novo Brasil.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=509406 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00055403","NY00055403 NY00055403_01",NA,NA,"22148","auto","holotype",NA,NA,NA,NA,NA,NA
