"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","infraspecificEpithet","relatedCatalogItem"
"1","2019-12-16 19:17:23-03","NYBG","NYBG","838690","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Lygodiaceae","Lygodium","venustum","Lygodium venustum","Sw.","A. Salino","1998","02","A. Salino","3931","1998","02","03","South America","Brazil","Minas Gerais","Rio Casca","Área de inundação da Usina Hidrelétrica de Jurumirim, às margens do Rio Casca.","-42.6506","-20.2261","-42.6506","-20.2261","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961128 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00838690","NY00838690",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-03-20 11:47:19-03","MCN-PUC-MINAS","HPUC-MG","ANG1218","S","Plantae",NA,NA,"Moraceae","Maclura","tinctoria","Maclura tinctoria",NA,"M.F. Starling",NA,NA,"M.F. Starling",NA,"2012","10","13",NA,"Brasil","Minas Gerais","Rio Casca","Fazenda do Roma","-42.6507987976074","-20.2261009216309",NA,NA,NA,"Final do caminho do Mogno.",NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"3","2020-01-28 13:11:33-03","MCN-PUC-MINAS","HPUC-MG","CARP214","S","Plantae",NA,NA,"Sapindaceae","Serjania",NA,"Serjania",NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda do Roma","-42.6507987976074","-20.2261009216309",NA,NA,NA,NA,NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"4","2019-05-07 10:05:22-03","MCN-PUC-MINAS","HPUC-MG","CARP401","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015","02","01",NA,"Brasil","Minas Gerais","Rio Casca","Fazenda do Roma","-42.6507987976074","-20.2261009216309",NA,NA,NA,NA,NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"5","2020-01-28 13:11:12-03","MCN-PUC-MINAS","HPUC-MG","CARP143","S","Plantae",NA,NA,"Fabaceae",NA,NA,NA,NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda do Roma","-42.649444","-20.225556","42°38'58''W","20°13'32''S",NA,NA,NA,NA,NA,NA,"377","377",NA,NA,NA,NA
"6","2020-01-28 13:11:12-03","MCN-PUC-MINAS","HPUC-MG","CARP187","S","Plantae",NA,NA,"Fabaceae",NA,NA,NA,NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","BR 262 - Fazenda do Roma","-42.649444","-20.225556","42°38'58''W","20°13'32''S",NA,"Subfamília Mimosoideae",NA,NA,NA,NA,"377","377",NA,NA,NA,NA
"7","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","SEM369","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.F.V.Starling",NA,"2010","12","01",NA,"Brasil","Minas Gerais","Rio Casca",NA,"-42.6507987976074","-20.2261009216309",NA,NA,NA,NA,NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"8","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","CARP207","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio casca","Fazenda do Roma","-42.6507987976074","-20.2261009216309",NA,NA,NA,NA,NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"9","2020-01-28 13:11:12-03","MCN-PUC-MINAS","HPUC-MG","CARP178","S","Plantae",NA,NA,"Fabaceae",NA,NA,NA,NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda do Roma","-42.6507987976074","-20.2261009216309",NA,NA,NA,NA,NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"10","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","SEM363","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda do Roma","-42.6507987976074","-20.2261009216309",NA,NA,NA,NA,NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"11","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","SEM370","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda do Roma","-42.6507987976074","-20.2261009216309",NA,NA,NA,NA,NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"12","2020-01-28 13:11:34-03","MCN-PUC-MINAS","HPUC-MG","CARP215","S","Plantae",NA,NA,"Solanaceae",NA,NA,NA,NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda Córrego do Ouro","-42.6507987976074","-20.2261009216309",NA,NA,NA,NA,NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"13","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","CARP354","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda Córrego do Ouro","-42.6507987976074","-20.2261009216309",NA,NA,NA,NA,NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"14","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","SEM364","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda Corrégo do Ribeirão do Ouro","-42.6507987976074","-20.2261009216309",NA,NA,NA,"Folhas decíduas",NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"15","2019-03-20 11:47:25-03","MCN-PUC-MINAS","HPUC-MG","CARP265","S","Plantae",NA,NA,"Sapotaceae",NA,NA,NA,NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda do Roma","-42.6507987976074","-20.2261009216309",NA,NA,NA,"Frutos amarelos",NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"16","2019-03-20 11:47:10-03","MCN-PUC-MINAS","HPUC-MG","ANG3471","S","Plantae",NA,NA,"Fabaceae",NA,NA,NA,NA,NA,NA,NA,"M.F. Starling",NA,"2015","06","05",NA,"Brasil","Minas Gerais","Rio Casca","Fazenda do Roma","-42.6507987976074","-20.2261009216309",NA,NA,NA,"Flor lilás.",NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"17","2020-01-28 13:11:34-03","MCN-PUC-MINAS","HPUC-MG","CARP237","S","Plantae",NA,NA,"Urticaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda Roma","-42.6507987976074","-20.2261009216309",NA,NA,NA,NA,NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"18","2019-11-19 10:30:56-03","MCN-PUC-MINAS","HPUC-MG","CARP438","S","Plantae",NA,NA,"Malvaceae","Abelmoschus","esculentus","Abelmoschus esculentus",NA,"M.F.V.Starling",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda do Roma","-42.649444","-20.225556","42º38'58''W","20º13'32''S",NA,"Tipo de Fruto: Cápsula loculicida-rimosa. Material sem dados de coleta",NA,NA,NA,NA,"377","377",NA,NA,NA,NA
"19","2020-01-28 13:11:34-03","MCN-PUC-MINAS","HPUC-MG","CARP232","S","Plantae",NA,NA,"Solanaceae","Acnistus","arborescens","Acnistus arborescens",NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda Córrego do Ouro","-42.6507987976074","-20.2261009216309",NA,NA,NA,"Fruto amarelo qndo maduro. Passarinhos e outros animais adoram (doce)",NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"20","2020-01-28 13:11:12-03","MCN-PUC-MINAS","HPUC-MG","CARP201","S","Plantae",NA,NA,"Fabaceae","Albiza","lebbek","Albiza lebbek",NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda Ribeirão do Ouro","-42.649444","-20.225556","42°38'58''W","20°13'32''S",NA,"Árvore de folhas decíduas.",NA,NA,NA,NA,"377","377",NA,NA,NA,NA
"21","2020-01-28 13:11:12-03","MCN-PUC-MINAS","HPUC-MG","CARP157","S","Plantae",NA,NA,"Fabaceae","Anadenanthera","colubrina","Anadenanthera colubrina",NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda Córrego do Roma","-42.649444","-20.225556","42°38'58''W","20°13'32''S",NA,"Tipo de Fruto: Folículo",NA,NA,NA,NA,"377","377",NA,NA,NA,NA
"22","2020-01-28 13:11:06-03","MCN-PUC-MINAS","HPUC-MG","ANG4837","S","Plantae",NA,NA,"Bignoniaceae","Fridericia","chica","Fridericia chica",NA,NA,NA,NA,"Laura Aquino Generoso",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","quintal","-42.6507987976074","-20.2261009216309",NA,NA,NA,"material sem flores",NA,NA,"26598","auto",NA,NA,NA,NA,NA,NA
"23","2019-10-17 12:38:53-03","MCN-PUC-MINAS","HPUC-MG","CARP111","S","Plantae",NA,NA,"Colchicaceae","Gloriosa","rothschildiana","Gloriosa rothschildiana",NA,NA,NA,NA,"M.F.V.Starling",NA,"2011","02","01",NA,"Brasil","Minas Gerais","Rio Casca","Fazenda Córrego do Ouro","-42.649444","-20.225556","42º38'58''W","20º13'32''S",NA,NA,NA,NA,NA,NA,"377","377",NA,NA,NA,NA
"24","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","CARP202","S","Plantae",NA,NA,"Malvaceae","Gossypium","hirsutum","Gossypium hirsutum",NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda Córrego do Roma","-42.649444","-20.225556","42º38'58''W","20º13'32''S",NA,"Tipo de Fruto: Cápsula trivalvar campanulada com folículo",NA,NA,NA,NA,"377","377",NA,NA,NA,NA
"25","2020-01-28 13:11:15-03","MCN-PUC-MINAS","HPUC-MG","CARP138","S","Plantae",NA,NA,"Fabaceae","Mimosa","caesalpiniifolia","Mimosa caesalpiniifolia",NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda Córrego do Ouro","-42.649444","-20.225556","42°38'58''W","20°13'32''S",NA,"planta introduzida",NA,NA,NA,NA,"377","377",NA,NA,NA,NA
"26","2020-01-28 13:11:15-03","MCN-PUC-MINAS","HPUC-MG","CARP131","S","Plantae",NA,NA,"Fabaceae","Senna",NA,"Senna",NA,NA,NA,NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Casca","Fazenda Roma","-42.649444","-20.225556","42°38'58''W","20°13'32''S",NA,NA,NA,NA,NA,NA,"377","377",NA,NA,NA,NA
