"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","day","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","individualCount","typeStatus"
"1","2019-12-16 18:36:00-03","NYBG","NYBG","00957266","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","arboreum","latifolium","Piper arboreum latifolium","(C.DC.) Yunck.","T. G. Yuncker","J. Vidal","1164","1944","07","South America","Brazil","Minas Gerais","Alto Rio Doce","Alto Rio Doce.","-43.4114","-21.0258","-43.4114","-21.0258","850","850","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091651 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957266","NY00957266",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:26:37-03","NYBG","NYBG","1747414","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","campestris",NA,"Muellera campestris","(Mart. ex Benth.) M.J.Silva & A.M.G.Azevedo","M. J. da Silva","G. M. Magalhaes","5019","1959","06","South America","Brazil","Minas Gerais","Alto Rio Doce","Subarbusto da cidade.","-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1992618 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01747414","NY01747414","2010","12","18968","auto",NA,NA,NA,NA,NA
"3","2019-12-16 18:01:30-03","NYBG","NYBG","01090475","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","subrotundum",NA,"Erythroxylum subrotundum","A.St.-Hil.","J. L. da Costa Lima","E. L. M. Catharino","2181","1997","10","South America","Brazil","Minas Gerais","Rio Doce","Junto ao Rio Doce, próximo da Ilha do Marimbondo","-42.8956","-20.2447","-42.8956","-20.2447",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222548 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01090475","NY01090475","2018","10",NA,NA,"02","12",NA,NA,NA
"4","2019-12-16 18:56:00-03","NYBG","NYBG","00919408","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","pallida",NA,"Trichilia pallida","Sw.","J. A. Pastore","I. Cordeiro","1652","1997","10","South America","Brazil","Minas Gerais","Rio Doce","Junto ao eixo (A) projetado da Barragem do Rio Doce","-42.8956","-20.2447","-42.8956","-20.2447",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006139 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00919408","NY00919408","2002","13",NA,NA,"05",NA,NA,NA,NA
"5","2019-12-16 17:56:20-03","NYBG","NYBG","00837613","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Xylopia","sericea",NA,"Xylopia sericea","A.St.-Hil.","I. Cordeiro","E. L. M. Catharino","2159","1997","10","South America","Brazil","Minas Gerais","Rio Doce","Em frente à Sao Sebastiao do Soberbo","-42.8956","-20.2447","-42.8956","-20.2447",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930894 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00837613","NY00837613",NA,"13",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-03 10:31:01-03","UNESP-IBB","BOTU","25192","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","ambiguum",NA,"Erythroxylum ambiguum","Peyr.","Cordeiro, I.","Catharino, L.M.E.","2181","1997","10",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Arbusto ca., 1,5 m de altura, folhas discolores, flores cremes","BOTU025192",NA,NA,"10","14517","auto",NA,NA,NA,NA,NA
"7","2019-12-12 15:31:31-03","UFABC","HUFABC","001358","PreservedSpecimen","Plantae",NA,NA,"Lejeuneaceae","Mastigolejeunea","auriculata",NA,"Mastigolejeunea auriculata","(Wilson) Schiffn.","Peralta, DF","Vital, DM","8883","1980","04",NA,"Brasil","Minas Gerais","Alto Rio Doce","Parque Florestal do Rio Doce","-42.37","-19.45","-42.37","-19.45","200","200",NA,"sobre tronco de árvore viva, nos bordos da lagoa Don Helvécio","HUFABC001358",NA,"2017","14",NA,NA,"08",NA,NA,NA,NA
"8","2019-07-11 08:53:01-03","ESALQ","ESA","101270","S","Plantae","Magnoliophyta",NA,"Hydrophyllaceae","Hydrolea",NA,NA,"Hydrolea",NA,NA,"Stehmann, J.R.","375","1993","07",NA,"Brasil","Minas Gerais","Rio Doce - Marliéria",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA101270",NA,NA,"18",NA,NA,NA,NA,NA,NA,NA
"9","2019-07-11 08:54:24-03","ESALQ","ESA","125706","S","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia","albicans",NA,"Miconia albicans",NA,NA,"Wendt, T. ; Oliveira, C.L.","11","1985",NA,NA,"Brasil","Minas Gerais","Alto Rio Doce",NA,"-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,NA,"ESA125706","ESA125706",NA,NA,"18968","auto",NA,NA,NA,NA,NA
"10","2019-07-11 10:14:14-03","ESALQ","ESA","97498","S","Plantae","Magnoliophyta",NA,"Siparunaceae","Siparuna","guianensis",NA,"Siparuna guianensis","Aubl.","Cordeiro, I.","Catharino, E.L.M.","2183","1997","10",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,"ESA097498","ESA097498",NA,"10","14517","auto",NA,NA,NA,NA,NA
