"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","order","recordNumber","year","month","day","continentOcean","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus"
"1","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","2287","S","Plantae","Pteridophyta","Thelypteridaceae","Thelypteris","cf. opposita","Thelypteris cf. opposita","(Vahl) Ching","Vinícius Ditttrich","2007","09","21","Lívia Echternacht Andrade;","Brasil","Minas Gerais","Rio Piracicaba","Rancho dos Lagos","-43.1741981506348","-19.92919921875","17919","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2290","S","Plantae","Pteridophyta","Blechnaceae","Blechnum","brasiliense","Blechnum brasiliense","Desv.",NA,NA,NA,NA,"Lívia Echternacht Andrade;","Brasil","Minas Gerais","Rio Piracicaba","Rancho dos Lagos","-43.1741981506348","-19.92919921875","17919","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2289","S","Plantae","Pteridophyta","Blechnaceae","Blechnum","brasiliense","Blechnum brasiliense","Desv.",NA,NA,NA,NA,"Lívia Echternacht Andrade;","Brasil","Minas Gerais","Rio Piracicaba","Rancho dos Lagos","-43.1741981506348","-19.92919921875","17919","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","2288","S","Plantae","Pteridophyta","Thelypteridaceae","Thelypteris","cf. opposita","Thelypteris cf. opposita","(Vahl) Ching","Luciana Maielo","2007","09","16","Pablo Quintão ;","Brasil","Minas Gerais","Rio Piracicaba","Rancho dos Lagos","-43.1741981506348","-19.92919921875","17919","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 17:10:27-03","NYBG","NYBG","02447577","PreservedSpecimen","Plantae","Magnoliophyta","Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum",NA,NA,NA,NA,NA,"A. A. da Luz","Brazil","Minas Gerais","Rio Piracicaba","Estrada da barragem.","-43.1741981506348","-19.92919921875","17919","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2623533 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto",NA,"Ericales","207","2004","07","09","South America","sheet","NY02447577","NY02447577",NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:29:27-03","UFV","VIC","34689","PreservedSpecimen","Plantae",NA,"Mimosoideae","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F. Macbr.","Borges, L.M.","2011",NA,NA,"Rollo, M.A.","Brasil","Minas Gerais","Rio Piracicaba","Pilha de rejeito da mina.","-43.1741981506348","-19.92919921875","17919","Arbustiva.","auto",NA,NA,"s.n.","1990","05","10",NA,NA,"VIC034689","VIC034689",NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:08:08-03","UNICAMP","UEC","65792","S","Plantae","Magnoliopsida","Bignoniaceae","Pyrostegia","venusta","Pyrostegia venusta","(Ker Gawl.) Miers",NA,NA,NA,NA,"Souza, HC","Brazil","Minas Gerais","Rio Piracicaba","Mineração Morro Agudo (SAMITRI)","-43.1741981506348","-19.92919921875","17919","flores alaranjadas, trepadeira; capoeira baixa","auto",NA,NA,"16780","1989","06","23",NA,NA,"UEC140914","UEC140914",NA,NA,NA,NA,NA,NA
"8","2019-11-06 09:56:25-03","UFOP","OUPR","22518","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia",NA,"Miconia","Ruiz & Pav.","Rezende, A.","2011","02","24","Ferreira, F.A.","Brasil","Minas Gerais","Rio Piracicaba",NA,"-43.1741981506348","-19.92919921875","17919","Floresta Estacional Semi-decidual. Arbóreo","auto",NA,NA,"s.n.","2008","07","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-06 09:56:25-03","UFOP","OUPR","22516","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","albicans","Miconia albicans","(Sw.) Triana","Rezende, A.","2011","02","24","Ferreira, M.T.M.","Brasil","Minas Gerais","Rio Piracicaba",NA,"-43.1741981506348","-19.92919921875","17919","Floresta estacional semi-decidual. Arbóreo","auto",NA,NA,"s.n.","2008","07","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-06 09:57:33-03","UFOP","OUPR","22517","PreservedSpecimen","Plantae",NA,"Rutaceae","Esenbeckia","febrifuga","Esenbeckia febrifuga","(A.St.-Hil.) A.Juss. ex Mart.","Horta, M.B.",NA,NA,NA,"Ferreira, M.T.M.","Brasil","Minas Gerais","Rio Piracicaba","Barragem Monjolo, Mina de Água Limpa.","-43.1741981506348","-19.92919921875","17919","Arbóreo. Floresta estacional semidecidual.","auto",NA,NA,"s.n.","2008","03","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-06 09:57:33-03","UFOP","OUPR","22523","PreservedSpecimen","Plantae",NA,"Salicaceae","Casearia","lasiophylla","Casearia lasiophylla","Eichler","Horta, M.",NA,NA,NA,"Ferreira, M.T.M.","Brasil","Minas Gerais","Rio Piracicaba","Barragem Monjolo, Mina de Água Limpa.","-43.1741981506348","-19.92919921875","17919","Arbóreo. Floresta estacional semidecidual.","auto",NA,NA,"s.n.","2008","07","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
