"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","dayIdentified","individualCount","class"
"1","2019-12-16 17:52:42-03","NYBG","NYBG","00918272","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","Nees","J. G. Rohwer","E. P. Heringer","2631","1950","05","10","South America","Brazil","Minas Gerais","Rio Pomba","Fazenda dos Dornela, Rio Pomba.","-43.1792","-21.2747","-43.1792","-21.2747","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986296 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00918272","NY00918272",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:52:42-03","NYBG","NYBG","00918273","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","Nees","J. G. Rohwer","E. P. Heringer","2634","1950","05","15","South America","Brazil","Minas Gerais","Rio Pomba","Rio Pomba.","-43.1792","-21.2747","-43.1792","-21.2747","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986297 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00918273","NY00918273",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:52:42-03","NYBG","NYBG","00918274","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","Nees","J. G. Rohwer","E. P. Heringer","2635","1950","05","15","South America","Brazil","Minas Gerais","Rio Pomba","Rio Pomba.","-43.1792","-21.2747","-43.1792","-21.2747","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986298 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00918274","NY00918274",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-12 15:31:31-03","UFABC","HUFABC","001468","PreservedSpecimen","Plantae",NA,NA,"Entodontaceae","Erythrodontium","squarrosum","Erythrodontium squarrosum","(Hampe) Paris","Henriques, DK","Yano, O; Pirani, JR","7259","1983","05","26",NA,"Brasil","Minas Gerais","Rio Pomba","fazenda Santa Maria, ca 3 km da MG 133","-43.1045","-21.1629","-43.1045","-21.1629",NA,"sobre tronco de Ficus","HUFABC001468",NA,"2012","05","440","440",NA,NA,NA,NA,NA
"5","2019-08-27 12:06:37-03","IAP","PACA-BRYOPHYTES","117295","PreservedSpecimen","Plantae",NA,NA,"Helicophyllaceae","Helicophyllum","torquatum","Helicophyllum torquatum","(Hook.) Brid.","sine determiner","Yano, O.","7260","1983","05","26",NA,"Brasil","MG","Rio Pomba","fazenda santa maria ca 3km da mg133","-43.104444","-21.162778","43º06'16w","21º09'46s",NA,"sp182334 Habitat: sobre tronco de Ficus","PACA117295",NA,NA,NA,"440","440",NA,NA,NA,NA,NA
"6","2020-02-13 14:07:08-03","MN","R","222169","S","Plantae",NA,NA,"Apocynaceae","Peschiera",NA,"Peschiera",NA,NA,"Vidal, J.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,"R010015374,R010015376,R010015375",NA,NA,NA,NA,NA,"18289","auto",NA,NA,NA
"7","2015-07-02 14:01:20-03","JBP","HPL","2277","S","Plantae",NA,NA,"Campanulaceae","Hippobroma","longiflora","Hippobroma longiflora","(L.) G. Don","V.C. Souza","G.F. Arbocz","1335","1995","04","24",NA,"Brasil","MG","Rio Pomba","Nas proximidades do rio, erva nascendo espontâneamente, porém exótica.","-43.1792","-21.2747",NA,NA,NA,NA,NA,NA,"2013","05",NA,NA,"18289","auto","10",NA,NA
"8","2020-03-10 08:26:49-03","UFV","VIC","40432","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Xylopia","sericea","Xylopia sericea","A. St .- Hil.","Simão, M.R.V.C.","Simão, M.V.R.C.","397","2012","12","02",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,"Árvore, 8 m, botão floral verde, flor com cálice verde,corola verde na base e branca acima, ambos levemente pilosos.","VIC040432","VIC040432","2013","06",NA,NA,"18289","auto","13",NA,NA
"9","2020-03-10 08:29:10-03","UFV","VIC","34650","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Abarema","brachystachya","Abarema brachystachya","(DC.) Barneby & J.W. Grimes","Iganci, J.R.V.","Heringer, E.P.","2602","1949","02","18",NA,"Brasil","Minas Gerais","Rio Pomba","Cícero Vidal","-43.17919921875","-21.2747001647949",NA,NA,NA,NA,"VIC034650","VIC034650","2007","03",NA,NA,"18289","auto","02",NA,NA
"10","2020-03-10 08:30:00-03","UFV","VIC","40643","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld","Fernandes, J.M.","Simão, M.V.R.C.","488","2013","02","14",NA,"Brasil","Minas Gerais","Rio Pomba","Estrada Barbacena- Rio Pomba","-43.17919921875","-21.2747001647949",NA,NA,NA,"Árvore, 8 m.","VIC040643","VIC040643","2013","06",NA,NA,"18289","auto","13",NA,NA
