"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","phylum","order","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","infraspecificEpithet","typeStatus","class","individualCount","relatedCatalogItem"
"1","2019-12-05 15:33:24-03","UNESC","CRI","15064","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","theezans","Ilex theezans","Mart. ex Reissek","Silvana Menezes","2007","03","07","P. Occhiani","5314","1972","11","24","Brasil","Minas Gerais","Rio Vermelho","Estrada Barra da Lagoa.","-43.0092010498047","-18.2936000823975","26996","Arbusto de flores brancas.","CRI014499","CRI014499","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:36:02-03","NYBG","NYBG","03044801","PreservedSpecimen","Plantae","Piperaceae","Piper","crassinervium","Piper crassinervium","Kunth",NA,NA,NA,NA,"D. Monteiro","614","2012","03","07","Brazil","Minas Gerais","Rio Vermelho","Parna do Caparaó, margem da estrada próximo a portaria de Pedra Menina.","-41.8211111","-20.4963889",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3281717 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03044801","NY03044801",NA,"Magnoliophyta","Piperales","South America","-41.8211111","-20.4963889","1537","1537","sheet",NA,NA,NA,NA,NA
"3","2019-12-16 18:53:25-03","NYBG","NYBG","929417","PreservedSpecimen","Plantae","Burseraceae","Protium","brasiliense","Protium brasiliense","(Spreng.) Engl.","J. R. Pirani","1985",NA,NA,"J. R. Pirani","CFCR5499","1984","10","14","Brazil","Minas Gerais","Rio Vermelho","Pedra Menina. Fazenda Vargem da Angélica. Morro da Virada do Mato Virgem.","-43.0092","-18.2936",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048024 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00929417","NY00929417",NA,"Magnoliophyta","Sapindales","South America","-43.0092","-18.2936",NA,NA,"sheet",NA,NA,NA,NA,NA
"4","2019-12-16 18:53:25-03","NYBG","NYBG","929418","PreservedSpecimen","Plantae","Burseraceae","Protium","brasiliense","Protium brasiliense","(Spreng.) Engl.","J. R. Pirani","1987",NA,NA,"T. B. Cavalcanti","CFCR10216","1986","09","08","Brazil","Minas Gerais","Rio Vermelho","Pedra Menina. Serra do Ambrósio. Espigão do Meio. Faz. Vargem do Anjo.","-43.0594","-18.1422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048025 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00929418","NY00929418",NA,"Magnoliophyta","Sapindales","South America","-43.0594","-18.1422","830","830","sheet",NA,NA,NA,NA,NA
"5","2019-12-16 18:40:30-03","NYBG","NYBG","00938475","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","elatior","Rhynchospora elatior brevispiculosa","(Kük.) A.C.Araújo","A. C. Araújo","2004","08",NA,"M. Meguro","5436","1984","10","13","Brazil","Minas Gerais","Rio Vermelho","Pedra Menina. Faz. Vargem do Anjo - Morro Espigão do Meio.","-43.0594","-18.1422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008339 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00938475","NY00938475",NA,"Magnoliophyta","Poales","South America","-43.0594","-18.1422",NA,NA,"sheet","brevispiculosa",NA,NA,NA,NA
"6","2019-12-16 18:41:18-03","NYBG","NYBG","00939142","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","speciosa","Rhynchospora speciosa","(Kunth) Boeckeler",NA,NA,NA,NA,"J. R. Pirani","7840","1985","08","01","Brazil","Minas Gerais","Rio Vermelho","Pedra Menina. Fazenda Vargem do Anjo.","-43.0594","-18.1422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954192 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00939142","NY00939142",NA,"Magnoliophyta","Poales","South America","-43.0594","-18.1422",NA,NA,"sheet",NA,NA,NA,NA,NA
"7","2019-12-16 18:09:08-03","NYBG","NYBG","00972695","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","lagevianae","Sauvagesia lagevianae","D.B.O.S.Cardoso","D. B. O. S. Cardoso",NA,NA,NA,"R. de Mello-Silva","CFCR-10237","1986","09","09","Brazil","Minas Gerais","Rio Vermelho","Pedra Menina. Platô Pedra Menina.","-43.0092","-18.2936",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114506 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00972695","NY00972695",NA,"Magnoliophyta","Malpighiales","South America","-43.0092","-18.2936","1460","1460","sheet",NA,NA,NA,NA,NA
"8","2019-12-16 18:09:08-03","NYBG","NYBG","1842997","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","lagevianae","Sauvagesia lagevianae","D.B.O.S.Cardoso",NA,NA,NA,NA,"P. L. Viana","4436 = Herb. BHCB 13","2009","10","30","Brazil","Minas Gerais","Rio Vermelho","Pedra Menina, Serra da Pedra Menina","-43.1397","-18.1136",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085600 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01842997","NY01842997",NA,"Magnoliophyta","Malpighiales","South America","-43.1397","-18.1136","1503","1503","sheet",NA,"isotype",NA,NA,NA
"9","2019-12-16 16:42:01-03","NYBG","NYBG","1145214","PreservedSpecimen","Plantae","Araliaceae","Schefflera","vinosa","Schefflera vinosa","(Cham. & Schltdl.) Frodin & Fiaschi","P. Fiaschi","2009",NA,NA,"P. Fiaschi","419","2000","08","01","Brazil","Minas Gerais","Rio Vermelho","Estrada para a Vila de Pedra Menina. Ramificação à esquerda, ca. 4 km após a vila.","-43.13","-18.1",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1307168 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01145214","NY01145214",NA,"Magnoliophyta","Apiales","South America","-43.13","-18.10","1400","1400","sheet",NA,NA,NA,NA,NA
"10","2019-12-16 16:42:01-03","NYBG","NYBG","1145224","PreservedSpecimen","Plantae","Araliaceae","Schefflera","vinosa","Schefflera vinosa","(Cham. & Schltdl.) Frodin & Fiaschi","P. Fiaschi","2009",NA,NA,"R. de Mello-Silva","CFCR7866","1985","08","01","Brazil","Minas Gerais","Rio Vermelho","Pedra Menina. Serra do Ambrósio, Espigão do Meio.","-43.0092","-18.2936",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1307186 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01145224","NY01145224 NY01145224_01",NA,"Magnoliophyta","Apiales","South America","-43.0092","-18.2936",NA,NA,"sheet",NA,NA,NA,NA,NA
